district_std,filename,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std
h dousaa,A086_A086003,3mahukhedaa,:,NA,mahukhedaa
ajamer,A105_A105153,153ATEAST,naaeekhed഼aa,naaeekhedaa,ateast
joodhapur,A123_A123178,178fAeat wr Aaa,nimboo kaa thaalaab,nimboo kaa thaalaab,faeat wr aaa
savaaeemaadhoopur,A092_A092214,mathadaan kendr kaa bhavan evam pathaa  :,savaaee maadhoopur,savaaee maadhoopur,NA
bheelavaadaa,A182_A182053,53bilethaa,bilethaa,bilethaa,bilethaa
seekar,A038_A038033,33jaataahaalaa,jaataahaalaa,jaataahaalaa,jaataahaalaa
seekar,A033_A033100,mathadaan kendr kaa bhavan evam pathaa  :,naroodadaa,naroodadaa,NA
hi joodhapur,A131_A131018,18jaalelee phoojadaaraa,:,NA,jaalelee phoojadaaraa
ajamer,A104_A104202,202chaampaaneree,chaapaaneree,chaapaaneree,chaampaaneree
udayapur,A156_A156049,49batukaa,batukaa,batukaa,batukaa
dhoulapur,A077_A077056,56puraapaatour,:,NA,puraapaatour
hi jayapur,A058_A058159,159chaakasoo,chaakasoo,chaakasoo,chaakasoo
hanumaanagadh,A009_A009242,242 1aaradablyooem,०dhaanee maaloo bijaaraniyaam,dhaanee maaloo bijaaraniyaam,aaradablyooem
jaalour,A145_A145236,236vaadaabhavajee,Bara Bhawji,bara bhawji,vaadaabhavajee
karoulee,A082_A082248,248phulavaadaa,phulavaadaa,phulavaadaa,phulavaadaa
gamgaanagar,A003_A003077,77sreekaranapur,sreekaranapur,sreekaranapur,sreekaranapur
toumk,A097_A097139,139dhuaaamkalaa,dhumaa kalaa,dhumaa kalaa,dhuaaamkalaa
savaaeemaadhoopur,A090_A090143,143baadh഼ saaloudaa saharee,gamgaapur sitee,gamgaapur sitee,baadh saaloudaa saharee
ajamer,A105_A105034,mathadaan kendr kaa bhavan evam pathaa  :,phathehagadh഼,phathehagadh,NA
ajamer,A104_A104131,131kaaniyaa,kaaniyaa,kaaniyaa,kaaniyaa
dousaa,A087_A087254,254ast actrees,patatee salehasimh,patatee salehasimh,254ast actrees
ajamer,A103_A103142,142ganesapuraa,ganesapuraa,ganesapuraa,ganesapuraa
jaisalamer,A133_A133010,10 235ae St,235aar dee,235aar dee,ae st
beekaaner,A013_A013087,"vidyaalay (haal), kootaget ke andar,",beekaaner,beekaaner,haal kootaget andar
ajamer,A101_A101038,38phakeeraa khedaa,ajamer (nagar nigam,ajamer nagar nigam,phakeeraa khedaa
ajamer,A104_A104075,75begaliyaavaas,begaliyaavaas,begaliyaavaas,begaliyaavaas
naagour,A114_A114169,169likhiyaas,likhiyaas,likhiyaas,likhiyaas
chiththoudagadh,A168_A168173,173begooഁ,begoom,begoom,begoo
gamgaanagar,A006_A006251,251 7BATT,7kepeedee,kepeedee,batt
gamgaanagar,A006_A006118,118 22ees-e,e,NA,eese
naagour,A111_A111007,7Wet,gootan,gootan,7wet
bheelavaadaa,A182_A182141,141devaraa,devaraa,devaraa,devaraa
naagour,A107_A107040,mathadaan kendr kaa bhavan evam pathaa  :,deedavaanaa myunisapalitee,deedavaanaa myunisapalitee,NA
hi bharathapur,A070_A070063,63piparoulee,Piproli,piproli,piparoulee
chiththoudagadh,A168_A168183,183begooഁ,begoom,begoom,begoo
gamgaanagar,A006_A006181,"181 1esaelakesee-see, jaalavaalee",see,see,esaelakeseesee jaalavaalee
savaaeemaadhoopur,A092_A092185,185jilaa udyoog kendr s“amaa൦,savaaee maadhoopur,savaaee maadhoopur,jilaa udyoog samaa
hanumaanagadh,A009_A009062,62thiraajavaalaa,thiraajavaalaa,thiraajavaalaa,thiraajavaalaa
gamgaanagar,A006_A006036,36anoopagadh഼,anoopagadh഼,anoopagadh,anoopagadh
alavar,A068_A068228,228lakshmanagadh,hi Lachhmangarh,hi lachhmangarh,lakshmanagadh
dousaa,A087_A087097,97baharaavandaa,०baharaavandaa,baharaavandaa,baharaavandaa
naagour,A111_A111115,115med഼athaa,medathaasitee,medathaasitee,medathaa
suajhhun,A028_A028252,252Fat,nooaaam,nooaaam,252fat
naagour,A107_A107236,"236riksaabaas,",rikshaabaas,rikshaabaas,riksaabaas
hi suajhhun,A027_A027179,179khaajapur kaa baas,०khaajapur kaa baas,khaajapur kaa baas,khaajapur baas
dousaa,A086_A086051,51mandaavar,gaamv  ०mandaavar,gaamv mandaavar,mandaavar
gamgaanagar,A005_A005092,92mukalaavaa  (17tee ke,17TK,17tk,mukalaavaa tee
gamgaanagar,A006_A006216,"216 17HUASI-U, khaanoovaalee",17keenadee-e,keenadeee,huasiu khaanoovaalee
prathaapagadh,A157_A157177,177bujhhoo kaa paadalaa,bujookaa paanasadalaa,bujookaa paanasadalaa,bujhhoo paadalaa
prathaapagadh,A157_A157215,215raathoodoo kaa semaliyaa,raathoudoom kaa semaliyaa,raathoudoom kaa semaliyaa,raathoodoo semaliyaa
naagour,A113_A113065,65bharanaaee,bharanaaee,bharanaaee,bharanaaee
prathaapagadh,A172_A172003,3bad഼eelaamk,badee laamk,badee laamk,badeelaamk
suajhhun,A026_A026169,169saamvalood,saamvalood,saamvalood,saamvalood
jayapur,A045_A045162,162mumgeethalaa,moomgee thalaa,moomgee thalaa,mumgeethalaa
seekar,A036_A036001,syaamapuraa (baayaa bhaag,syaamapuraa,syaamapuraa,syaamapuraa baayaa
hi suajhhun,A030_A030033,33kheevaamsar,kheevaamsar,kheevaamsar,kheevaamsar
ajamer,A103_A103087,"87neharoo get, byaavar",byaavar,byaavar,neharoo get byaavar
gamgaanagar,A003_A003005,5 6vee dhanoor,6avee,avee,6vee dhanoor
beekaaner,A014_A014155,155Stata,beekaaner,beekaaner,stata
naagour,A107_A107244,244bhaadaasar,bhaadaasar,bhaadaasar,bhaadaasar
suajhhun,A029_A029187,mathadaan kendr kaa bhavan evam pathaa  :,parasaraamapuraa,parasaraamapuraa,NA
hi suajhhun,A028_A028189,189seegadee,seegadee,seegadee,seegadee
hanumaanagadh,A007_A007169,169tibbee,० 8jeejeeaar (tibbee,jeejeeaar tibbee,tibbee
joodhapur,A122_A122159,159baavadee kalaam,baavadee kalaam,baavadee kalaam,baavadee kalaam
ajamer,A105_A105241,241TATTTAT,prathaapapuraa,prathaapapuraa,tatttat
karoulee,A081_A081245,245medhe kaa puraa,medhe kaa puraa,medhe kaa puraa,medhe puraa
hanumaanagadh,A007_A007064,64samgariyaa,samgariyaa,samgariyaa,samgariyaa
savaaeemaadhoopur,A092_A092197,mathadaan kendr kaa bhavan evam pathaa  :,savaaee maadhoopur,savaaee maadhoopur,NA
gamgaanagar,A004_A004064,64 7Ua at,710,NA,ua at
bharathapur,A070_A070100,100sahasan,Sahsan,sahsan,sahasan
suajhhunoo,A029_A029094,mathadaan kendr kaa bhavan evam pathaa  :,soumthalee,soumthalee,NA
naagour,A113_A113100,100paaladeeraajaa,paaladeeraajaa,paaladeeraajaa,paaladeeraajaa
suajhhun,A027_A027040,40jhhunjhhunoo,jhhujhhanoom,jhhujhhanoom,jhhunjhhunoo
hanumaanagadh,A008_A008027,27subhaan vaalaa,2911 ५४(subhaanavaalaa,subhaanavaalaa,subhaan vaalaa
savaaeemaadhoopur,A091_A091127,127jaaharaa,Jahra,jahra,jaaharaa
gamgaanagar,A006_A006047,47anoopagadh഼,anoopagadh഼,anoopagadh,anoopagadh
suajhhunoo,A029_A029215,215khirood഼,khirood,khirood,khirood
naagour,A111_A111242,242jadaaookalaam,jadaaukalaa,jadaaukalaa,jadaaookalaam
gamgaanagar,A001_A001097,97 6e chhootee,6A CHOTTI,6a chotti,e chhootee
paalee,A116_A116137,137khedaa devagadh഼,khedaa devagadh,khedaa devagadh,khedaa devagadh
booadee,A186_A186204,204bughapuraa,budhapuraa (see.tee,budhapuraa seetee,bughapuraa
beekaaner,A014_A014015,15beekaaner,beekaaner,beekaaner,beekaaner
ajamer,A101_A101031,mathadaan kendr kaa bhavan evam pathaa  :,ajamer (nagar nigam,ajamer nagar nigam,NA
h dousaa,A088_A088055,55lootavaad഼aa,lootavaadaa,lootavaadaa,lootavaadaa
chooru,A021_A021158,158saradaarasahar,saradaarasahar,saradaarasahar,saradaarasahar
h dousaa,A087_A087114,114meenaavaadaa,meenaavaadaa,meenaavaadaa,meenaavaadaa
alavar,A065_A065216,216Wear,:,NA,wear
seekar,A038_A038040,mathadaan kendr kaa bhavan evam pathaa  :,paatan,paatan,NA
joodhapur,A122_A122060,60bhaakhariyaam,bhaakhariyaam,bhaakhariyaam,bhaakhariyaam
chiththoudagadh,A168_A168275,275raavathabhaataa,०raavathabhaataa,raavathabhaataa,raavathabhaataa
suajhhunoo,A030_A030062,62teetanavaad഼,teetanavaad,teetanavaad,teetanavaad
dousaa,A088_A088112,mathadaan kendr kaa bhavan evam pathaa  :,dousaa,dousaa,NA
seekar,A034_A034067,vidyaalay syaamapuraa (baayaa bhaag,syaamapuraa,syaamapuraa,syaamapuraa baayaa
hanumaanagadh,A010_A010072,72phephaanaa,phephaanaa,phephaanaa,phephaanaa
baamsavaadaa,A162_A162067,67bakhthood,bakhthood഼,bakhthood,bakhthood
bheelavaadaa,A178_A178012,12jnjaanagadh,jnjaanagadh,jnjaanagadh,jnjaanagadh
gamgaanagar,A006_A006098,98 3enaem (dhaabaam,3enaem,enaem,enaem dhaabaam
jayapur,A043_A043203,203choumoo,choumoom,choumoom,choumoo
udayapur,A152_A152177,177manavaakhed഼aa,manavaakhed഼aa,manavaakhedaa,manavaakhedaa
hanumaanagadh,A009_A009104,104peeleebamgaa mamdee,०peeleebamgaa,peeleebamgaa,peeleebamgaa mamdee
alavar,A060_A060089,89bhoojaraajakaa,Bhojrajka,bhojrajka,bhoojaraajakaa
suajhhun,A027_A027010,10jhhunjhhunoo,jhhujhhanoom,jhhujhhanoom,jhhunjhhunoo
ajamer,A104_A104122,122hanuthiyaa,hanuthiyaa,hanuthiyaa,hanuthiyaa
suajhhunoo,A030_A030090,90dudiyaa,dudiyaa,dudiyaa,dudiyaa
suajhhunoo,A025_A025223,223daalamiyoom kee dh഼aanee,daalamiyoom kee dhaanee,daalamiyoom kee dhaanee,daalamiyoom dhaanee
toumk,A094_A094193,193pandraahed഼aa,pandraahedaa,pandraahedaa,pandraahedaa
baadamer,A136_A136235,235cheebee,cheebee,cheebee,cheebee
h baaraa,A195_A195154,154bhaimsadaa,WaT,wat,bhaimsadaa
doomgarapur,A158_A158103,103hathoud,hathood,hathood,hathoud
baamsavaadaa,A162_A162288,288Gleararet,०khadiyaavaanee,khadiyaavaanee,gleararet
naagour,A106_A106177,177Helvarg,hasainapuraa,hasainapuraa,helvarg
savaaeemaadhoopur,A091_A091171,171Stats,Sitor,sitor,stats
gamgaanagar,A006_A006008,8 68/2jeebee,० 68/2jeebee,jeebee,jeebee
h jaalour,A142_A142005,5siraanaa,Sirana,sirana,siraanaa
udayapur,A155_A155245,245dhooleekhed഼aa,dhooleekhedaa,dhooleekhedaa,dhooleekhedaa
bheelavaadaa,A182_A182063,63jahaajapur,jahaajapur,jahaajapur,jahaajapur
paalee,A121_A121202,202Tate,thakhathagadh഼,thakhathagadh,tate
naagour,A107_A107164,164saradaarapuraa kalaam,saradaarapuraa kalaam,saradaarapuraa kalaam,saradaarapuraa kalaam
alavar,A067_A067157,157looharavaadee,:,NA,looharavaadee
naagour,A113_A113206,206AHCAT,०makaraanaa,makaraanaa,ahcat
joodhapur,A122_A122155,155hindaal gool,gool hindaal,gool hindaal,hindaal gool
paalee,A116_A116004,mathadaan kendr kaa bhavan evam pathaa  :,kaikindadaa,kaikindadaa,NA
suajhhunoo,A026_A026019,19aasalavaas,०aasalavaas,aasalavaas,aasalavaas
bheelavaadaa,A182_A182007,7ooamchaa,uamchaa,uamchaa,ooamchaa
suajhhunoo,A029_A029213,mathadaan kendr kaa bhavan evam pathaa  :,khirood,khirood,NA
paalee,A116_A116053,53boogaasanee kalaam,boogaasanee,boogaasanee,boogaasanee kalaam
suajhhun,A026_A026121,121kuhaad഼avaas,kuhaadavaas,kuhaadavaas,kuhaadavaas
paalee,A116_A116017,17aanandapur kaaloo,aanandapur kaalu,aanandapur kaalu,aanandapur kaaloo
udayapur,A152_A152034,34naaee,०naaee,naaee,naaee
h karoulee,A084_A084122,122sapootaraa dvitheey bhaag,sapootaraa,sapootaraa,sapootaraa dvitheey
suajhhunoo,A030_A030069,69bhoud഼akee,bhoodakee,bhoodakee,bhoudakee
jaalour,A143_A143067,67kaaletee,Kaleti,kaleti,kaaletee
jaalour,A141_A141195,195raseeyaavaas,Rasiyawas,rasiyawas,raseeyaavaas
hi bharathapur,A070_A070068,68patharaalee,Pathrali,pathrali,patharaalee
baadamer,A136_A136051,51Gla dakshin,khookhar dakshin,khookhar dakshin,51gla dakshin
alavar,A062_A062047,47kaanhaavaas,०kaanhaavaas,kaanhaavaas,kaanhaavaas
ajamer,A099_A099209,209thabeejee,thabeejee (grameen,thabeejee grameen,thabeejee
h seekar,A038_A038183,183kurabad഼aa,krabad഼aa,krabadaa,kurabadaa
kootaa,A188_A188228,228devalee,devalee,devalee,devalee
udayapur,A149_A149074,74taamkadaa kee bhaagal,taamkadaa kee bhaagal,taamkadaa kee bhaagal,taamkadaa bhaagal
qe,A023_A023027,mathadaan kendr kaa bhavan evam pathaa  :,rathanagadh഼,rathanagadh,NA
joodhapur,A125_A125235,235bijaariyaa baavad഼ee,०bijavaadiyaa baavadee,bijavaadiyaa baavadee,bijaariyaa baavadee
booadee,A186_A186044,44boondee,boomdee,boomdee,boondee
seekar,A032_A032170,170kaaramgaa badaa,kaaramgaa badaa,kaaramgaa badaa,kaaramgaa badaa
suajhhunoo,A026_A026190,190udaamaandee,udaamaandee,udaamaandee,udaamaandee
joodhapur,A122_A122066,66baap,baap,baap,baap
suajhhun,A026_A026085,85ismaaeel pur,isamaail pur,isamaail pur,ismaaeel pur
jayapur,A045_A045181,181jhhaag,jhhaag,jhhaag,jhhaag
suajhhunoo,A028_A028163,163sat |e,hameeree khurd,hameeree khurd,163sat
jaalour,A141_A141159,159Breet,Jora,jora,breet
jayapur,A040_A040180,180bhooree bhadaaj,bhooree bhadaaj,bhooree bhadaaj,bhooree bhadaaj
karoulee,A081_A081055,55toodaabheem,toodaabheem,toodaabheem,toodaabheem
qe,A024_A024208,mathadaan kendr kaa bhavan evam pathaa  :,sujaanagadh഼,sujaanagadh,NA
toumk,A096_A096053,53maaliyoo kee jhhoopadiyaa,:,NA,maaliyoo jhhoopadiyaa
४bharathapur,A076_A076063,63bayaanaa,bayaanaa,bayaanaa,bayaanaa
naagour,A115_A115227,227mundagasooee,moondagasooee,moondagasooee,mundagasooee
suajhhunoo,A029_A029234,234toomk chhilaree,toomk chhilaree,toomk chhilaree,toomk chhilaree
bharathapur,A071_A071027,27mitthupuraa,Mitthoopura,mitthoopura,mitthupuraa
bharathapur,A072_A072052,52girase,Girse,girse,girase
jayapur,A044_A044047,47Peers Laat,kisanagadh഼ renavaal,kisanagadh renavaal,peers laat
jaalour,A141_A141133,133roond഼amaal kee dhaanee,Rundmal Ki Dhani,rundmal ki dhani,roondamaal dhaanee
qe,A022_A022128,128chooroo,chooru,chooru,chooroo
udayapur,A153_A153202,mathadaan kendr kaa bhavan evam pathaa  :,udayapur,udayapur,NA
bharathapur,A075_A075186,186raayapur,raayapur,raayapur,raayapur
qe,A019_A019107,107raajagadh,raajagadh഼,raajagadh,raajagadh
h jaalour,A144_A144210,210jhhaab,Jhab,jhab,jhhaab
chiththoudagadh,A168_A168268,268raavathabhaataa,०raavathabhaataa,raavathabhaataa,raavathabhaataa
naagour,A110_A110171,171dhumdhiyaadee,dhundhiyaadee,dhundhiyaadee,dhumdhiyaadee
ajamer,A103_A103038,38raamagadh഼ jhhoothaa,:,NA,raamagadh jhhoothaa
udayapur,A152_A152138,138bhuvaanaa,bhuvaanaa,bhuvaanaa,bhuvaanaa
suajhhunoo,A029_A029132,132Aas,navalagadh഼,navalagadh,132aas
alavar,A062_A062148,148thaseemg,thaseemg,thaseemg,thaseemg
udayapur,A152_A152086,mathadaan kendr kaa bhavan evam pathaa  :,udayapur,udayapur,NA
chooru,A021_A021137,137saradaarasahar,chooru,chooru,saradaarasahar
hanumaanagadh,A009_A009020,20sooraavaalee,sooraavaalee,sooraavaalee,sooraavaalee
savaaeemaadhoopur,A092_A092074,74devalee,devalee,devalee,devalee
naagour,A109_A109116,mathadaan kendr kaa bhavan evam pathaa  :,baasanee belimaa,baasanee belimaa,NA
kootaa,A192_A192158,158suketh,suketh,suketh,suketh
baadamer,A136_A136037,37paamchaa kee dhaanee,paamchaa kee dhaanee,paamchaa kee dhaanee,paamchaa dhaanee
raajasamand,A174_A174072,72goorelaakuaaam,goorelaakuaaam,goorelaakuaaam,goorelaakuaaam
paalee,A117_A117008,8choupadaa,choupadaa,choupadaa,choupadaa
jayapur,A040_A040176,176ajeethapuraa kalaam,ajeethapuraa kalaam,ajeethapuraa kalaam,ajeethapuraa kalaam
paalee,A118_A118037,37gadhavaadaa,gadhavaadaa,gadhavaadaa,gadhavaadaa
ajamer,A105_A105211,211devakhed഼ee,devakhed഼ee,devakhedee,devakhedee
savaaeemaadhoopur,A091_A091163,163livaalee,Liwali,liwali,livaalee
h baadamer,A139_A139192,192doulooniyoom kee dhaanee,Berdo Ka Pana,berdo ka pana,doulooniyoom dhaanee
hanumaanagadh,A008_A008091,mathadaan kendr kaa bhavan evam pathaa  :,hanumaanagadh഼,hanumaanagadh,NA
jayapur,A045_A045080,80doodoo,doodoo,doodoo,doodoo
jayapur,A044_A044152,152saambhar lek,saambhar nagar paalikaa,saambhar nagar paalikaa,saambhar lek
udayapur,A153_A153055,mathadaan kendr kaa bhavan evam pathaa  :,udayapur,udayapur,NA
chiththoudagadh,A168_A168286,mathadaan kendr kaa bhavan evam pathaa  :,०raavathabhaataa,raavathabhaataa,NA
gamgaanagar,A006_A006133,133 3Wadtare,3esateeaar,esateeaar,wadtare
jayapur,A043_A043201,201choumoo,choumoom,choumoom,choumoo
ajamer,A099_A099018,18paaladee bhoopathoothaan,paaladee bhoopathoothaan,paaladee bhoopathoothaan,paaladee bhoopathoothaan
naagour,A106_A106160,160ghirad഼oodaa meethaa,gheeradoodaa meethaa,gheeradoodaa meethaa,ghiradoodaa meethaa
h jaalour,A145_A145044,44sediyaa,Sediya,sediya,sediyaa
hi suajhhun,A031_A031215,"215kaamkariyaa,",०kamkaariyaa,kamkaariyaa,kaamkariyaa
ajamer,A098_A098049,49saamvathasar,kisanagadh (n.parishad,kisanagadh nparishad,saamvathasar
jayapur,A044_A044192,192naraayanaa,gaamv  ०naraayanaa,gaamv naraayanaa,naraayanaa
suajhhun,A029_A029011,11ghood഼eevaaraa kalaam,ghoodeevaaraa kalaam,ghoodeevaaraa kalaam,ghoodeevaaraa kalaam
raajasamand,A174_A174018,18sailaagudaa(baamyaa bhaag,sailaagudaa,sailaagudaa,sailaagudaabaamyaa
jayapur,A041_A041048,48relaa kaaroolee,kaaroolee,kaaroolee,relaa kaaroolee
jayapur,A044_A044040,40avast |e,baasadee khurd,baasadee khurd,avast
gamgaanagar,A003_A003019,19 2tee joodhevaalaa,2atee,atee,tee joodhevaalaa
dousaa,A086_A086079,79dhoulakhed഼aa,:,NA,dhoulakhedaa
hanumaanagadh,A008_A008121,hanumaanagadh taaoon,hanumaanagadh഼,hanumaanagadh,hanumaanagadh taaoon
toumk,A097_A097051,51maadhoosihapuraa urph doolathaa,devalee,devalee,maadhoosihapuraa urph doolathaa
jayapur,A041_A041050,50kaaroolee,kaaroolee,kaaroolee,kaaroolee
ajamer,A099_A099170,mathadaan kendr kaa bhavan evam pathaa  :,ganaahedaa,ganaahedaa,NA
jaalour,A144_A144124,124jaisalaa,Jaisla,jaisla,jaisalaa
naagour,A108_A108073,73Vara,aivaad,aivaad,vara
naagour,A106_A106132,132khamgaar,khamgaar,khamgaar,khamgaar
ajamer,A103_A103108,"108kaamlej rood഼, byaavar",byaavar,byaavar,kaamlej rood byaavar
h dousaa,A086_A086206,206thaalachid഼ee,:,NA,thaalachidee
baamsavaadaa,A162_A162073,73peepalakhoomt,peepal khumt,peepal khumt,peepalakhoomt
jaalour,A142_A142003,3chouchavaa,Chonchawan,chonchawan,chouchavaa
jayapur,A058_A058140,140wagqhkar,raayapuriyaa,raayapuriyaa,wagqhkar
siroohee,A148_A148184,184aakaraabhattaa-2,aaboorood,aaboorood,aakaraabhattaa
8toumk,A096_A096102,mathadaan kendr kaa bhavan evam pathaa  :,toomk,toomk,NA
alavar,A063_A063111,111baanasoor,baanasur,baanasur,baanasoor
bheelavaadaa,A181_A181186,186Fret sahanaa,kaadeesahanaa,kaadeesahanaa,fret sahanaa
bheelavaadaa,A182_A182061,61jahaajapur,jahaajapur,jahaajapur,jahaajapur
naagour,A114_A114154,154parabathasar,parabathasar,parabathasar,parabathasar
naagour,A114_A114108,108toorad഼aa panamvaad഼ee,tooradaa,tooradaa,tooradaa panamvaadee
seekar,A033_A033028,28baatad഼aanaaoo,baatadaanaaoo,baatadaanaaoo,baatadaanaaoo
jaalour,A143_A143033,33devadaa kaa gooleeyaa,Deoda Ka Goliya,deoda ka goliya,devadaa gooleeyaa
udayapur,A153_A153152,152mevaad഼ odyoogik kshethr udayapur,udayapur,udayapur,mevaad odyoogik kshethr udayapur
suajhhun,A029_A029177,177ATT,baay,baay,177att
gamgaanagar,A005_A005190,190 90st st,० 90jeebee,jeebee,st st
seekar,A039_A039203,203ajeethagadh഼,ajeethagadh,ajeethagadh,ajeethagadh
baamsavaadaa,A166_A166138,138baavadeepaadaa,baavad഼eepaad഼aa,baavadeepaadaa,baavadeepaadaa
hanumaanagadh,A007_A007054,54samgariyaa,samgariyaa,samgariyaa,samgariyaa
suajhhunoo,A029_A029127,127navalagadh,navalagadh഼,navalagadh,navalagadh
bharathapur,A070_A070155,155gundagaamv,Gurgaon,gurgaon,gundagaamv
hi bharathapur,A072_A072122,122sikarooree,sikarooree,sikarooree,sikarooree
