district_std,filename,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std
ajamer,A098_A098095,mathadaan kendr kaa bhavan evam pathaa  :,kisanagadh (n.parishad,kisanagadh nparishad,NA
naagour,A113_A113106,106khed഼eeseelaa,khed഼eeseelaa,khedeeseelaa,khedeeseelaa
hanumaanagadh,A009_A009101,101peeleebamgaa mamdee,०peeleebamgaa,peeleebamgaa,peeleebamgaa mamdee
qe,A022_A022010,10kootavaad thaal,kootavaad thaal,kootavaad thaal,kootavaad thaal
hi suajhhun,A028_A028206,206mandaavaa,gaamv mandaavaa,gaamv mandaavaa,mandaavaa
hi jayapur,A045_A045224,224ghatiyaalee,gaamv  ०ghatiyaalee,gaamv ghatiyaalee,ghatiyaalee
jaalour,A145_A145110,110saamtharoo,Satroo,satroo,saamtharoo
qe,A024_A024191,mathadaan kendr kaa bhavan evam pathaa  :,sujaanagadh഼,sujaanagadh,NA
udayapur,A152_A152139,139bhuvaanaa,bhuvaanaa,bhuvaanaa,bhuvaanaa
seekar,A038_A038137,neemakaathaanaa,०neem kaa thaanaa,neem kaa thaanaa,neemakaathaanaa
suajhhunoo,A025_A025044,44pilaanee,pilaanee,pilaanee,pilaanee
jayapur,A042_A042189,189jaajaikhurd urph bisanapuraa,saahapuraa,saahapuraa,jaajaikhurd urph bisanapuraa
bharathapur,A075_A075012,12naivaadaa,nevaadaa,nevaadaa,naivaadaa
jayapur,A043_A043169,169ATT,choumoom,choumoom,169att
karoulee,A081_A081216,216raayasanaa,gaamv  ०raayasanaa,gaamv raayasanaa,raayasanaa
jayapur,A041_A041203,203paaladee,paaladee,paaladee,paaladee
siroohee,A146_A146249,mathadaan kendr kaa bhavan evam pathaa  :,siroohee,siroohee,NA
karoulee,A083_A083141,141gadhaa pich pheeld ke paas karoulee,karoulee,karoulee,gadhaa pich pheeld karoulee
kootaa,A188_A188108,mathadaan kendr kaa bhavan evam pathaa  :,Sangod Municipality,sangod municipality,NA
gamgaanagar,A006_A006031,31anoopagadh഼,anoopagadh഼,anoopagadh,anoopagadh
udayapur,A153_A153066,mathadaan kendr kaa bhavan evam pathaa  :,udayapur,udayapur,NA
ajamer,A098_A098084,84madanagamj,kisanagadh (n.parishad,kisanagadh nparishad,madanagamj
hi alavar,A061_A061174,174ATTA Gla,Majri Khola,majri khola,atta gla
paalee,A116_A116021,21chhaaliyaa baadh (aanandapur kaaloo  ),aanandapur kaalu,aanandapur kaalu,chhaaliyaa baadh aanandapur kaaloo
hi joodhapur,A125_A125196,196kootadaa,kootadaa,kootadaa,kootadaa
qe,A019_A019108,108raajagadh഼,raajagadh഼,raajagadh,raajagadh
hi joodhapur,A125_A125190,190beejavaadiyaa,०bijavaadiyaa,bijavaadiyaa,beejavaadiyaa
8toumk,A096_A096117,117toomk,toomk,toomk,toomk
bharathapur,A070_A070217,217chhichharavaad഼ee,Chhichharwari,chhichharwari,chhichharavaadee
hi suajhhun,A028_A028227,227laadasar,laadasar,laadasar,laadasar
alavar,A062_A062074,74naayasaraanaa,०naayasaraanaa,naayasaraanaa,naayasaraanaa
raajasamand,A175_A175240,240nayaadareebaa  (kootadee  ),kootadee,kootadee,nayaadareebaa kootadee
naagour,A115_A115095,mathadaan kendr kaa bhavan evam pathaa  :,kuchaaman sitee,kuchaaman sitee,NA
8gamgaanagar,A005_A005213,213 6bee el em e,6BLM-A,blma,bee el em
alavar,A061_A061108,mathadaan kendr kaa bhavan evam pathaa  :,Pehal,pehal,NA
booadee,A186_A186093,93guvaad഼ee,Tatst,tatst,guvaadee
seekar,A033_A033114,lakshmanagadh,lakshmanagadh഼,lakshmanagadh,lakshmanagadh
suajhhunoo,A027_A027115,115sulathaanaa,sulathaanaa,sulathaanaa,sulathaanaa
qe,A023_A023038,38CaS,rathanagadh഼,rathanagadh,38cas
h jaalour,A145_A145166,166raaneevaadaa kalaa,Raniwara Kalan,raniwara kalan,raaneevaadaa kalaa
udayapur,A156_A156213,213bujhhaadaa,prathaap nagar,prathaap nagar,bujhhaadaa
udayapur,A152_A152184,184thitharadee,thitharadee,thitharadee,thitharadee
jayapur,A058_A058220,220syaamapuraa,syaamapuraa,syaamapuraa,syaamapuraa
karoulee,A081_A081253,253ralaavathaa,ralaavathaa,ralaavathaa,ralaavathaa
bheelavaadaa,A181_A181018,mathadaan kendr kaa bhavan evam pathaa  :,nimbaahedaa kalaam,nimbaahedaa kalaam,NA
alavar,A059_A059098,98laadamakaa,laadamakaa,laadamakaa,laadamakaa
amet,A196_A196145,145umarathaanaa,Umar Thana,umar thana,umarathaanaa
jayapur,A041_A041091,91aaamthelaa,aaamthelaa,aaamthelaa,aaamthelaa
suajhhun,A030_A030077,mathadaan kendr kaa bhavan evam pathaa  :,simganour,simganour,NA
savaaeemaadhoopur,A090_A090223,223GET ale WAITS,khed഼aabaadh഼ raamagadh഼,khedaabaadh raamagadh,223get ale waits
ajamer,A100_A100152,mathadaan kendr kaa bhavan evam pathaa  :,ajamer (nagar nigam,ajamer nagar nigam,NA
ajamer,A103_A103044,mathadaan kendr kaa bhavan evam pathaa  :,byaavar,byaavar,NA
kootaa,A191_A191123,123kaithoon,Ward No.14,ward no,kaithoon
bharathapur,A072_A072127,127kumher,kumher,kumher,kumher
joodhapur,A130_A130234,234paal,paal,paal,paal
gamgaanagar,A004_A004127,127soorathagadh,soorathagadh഼,soorathagadh,soorathagadh
alavar,A062_A062137,mathadaan kendr kaa bhavan evam pathaa  :,mahaaraajaavaas,mahaaraajaavaas,NA
४bharathapur,A076_A076080,80bayaanaa,bayaanaa,bayaanaa,bayaanaa
hi suajhhun,A027_A027175,175kaalee pahaadee,०kaalee pahaadee,kaalee pahaadee,kaalee pahaadee
