birth_year,window,a1,a2,frac_2005,frac_2010,frac_2015
1971,alt2,10,16,0,0,0
1972,main,5,15,0,0,0
1972,alt1,6,16,0,0,0
1972,alt2,10,16,0,0,0
1973,main,5,15,0,0,0
1973,alt1,6,16,0,0,0
1973,alt2,10,16,0,0,0
1974,main,5,15,0,0,0
1974,alt1,6,16,0,0,0
1974,alt2,10,16,0,0,0
1975,main,5,15,0,0,0
1975,alt1,6,16,0,0,0
1975,alt2,10,16,0,0,0
1976,main,5,15,0,0,0
1976,alt1,6,16,0,0,0
1976,alt2,10,16,0,0,0
1977,main,5,15,0,0,0
1977,alt1,6,16,0,0,0
1977,alt2,10,16,0,0,0
1978,main,5,15,0,0,0
1978,alt1,6,16,0,0,0
1978,alt2,10,16,0,0,0
1979,main,5,15,0,0,0
1979,alt1,6,16,0,0,0
1979,alt2,10,16,0,0,0
1980,main,5,15,0,0,0
1980,alt1,6,16,0,0,0
1980,alt2,10,16,0,0,0
1981,main,5,15,0,0,0
1981,alt1,6,16,0,0,0
1981,alt2,10,16,0,0,0
1982,main,5,15,0,0,0
1982,alt1,6,16,0,0,0
1982,alt2,10,16,0,0,0
1983,main,5,15,0,0,0
1983,alt1,6,16,0,0,0
1983,alt2,10,16,0,0,0
1984,main,5,15,0,0,0
1984,alt1,6,16,0,0,0
1984,alt2,10,16,0,0,0
1985,main,5,15,0,0,0
1985,alt1,6,16,0,0,0
1985,alt2,10,16,0,0,0
1986,main,5,15,0,0,0
1986,alt1,6,16,0,0,0
1986,alt2,10,16,0,0,0
1987,main,5,15,0,0,0
1987,alt1,6,16,0,0,0
1987,alt2,10,16,0,0,0
1988,main,5,15,0,0,0
1988,alt1,6,16,0,0,0
1988,alt2,10,16,0,0,0
1989,main,5,15,0,0,0
1989,alt1,6,16,0.2,0,0
1989,alt2,10,16,0.2,0,0
1990,main,5,15,0.2,0,0
1990,alt1,6,16,0.4,0,0
1990,alt2,10,16,0.4,0,0
1991,main,5,15,0.4,0,0
1991,alt1,6,16,0.6,0,0
1991,alt2,10,16,0.6,0,0
1992,main,5,15,0.6,0,0
1992,alt1,6,16,0.8,0,0
1992,alt2,10,16,0.8,0,0
1993,main,5,15,0.8,0,0
1993,alt1,6,16,1,0,0
1993,alt2,10,16,1,0,0
1994,main,5,15,1,0,0
1994,alt1,6,16,1,0.2,0
1994,alt2,10,16,1,0.2,0
1995,main,5,15,1,0.2,0
1995,alt1,6,16,1,0.4,0
1995,alt2,10,16,1,0.4,0
1996,main,5,15,1,0.4,0
1996,alt1,6,16,1,0.6,0
1996,alt2,10,16,0.8,0.6,0
1997,main,5,15,1,0.6,0
1997,alt1,6,16,1,0.8,0
1997,alt2,10,16,0.6,0.8,0
1998,main,5,15,1,0.8,0
1998,alt1,6,16,1,1,0
1998,alt2,10,16,0.4,1,0
1999,main,5,15,1,1,0
1999,alt1,6,16,1,1,0.16666666666666666
1999,alt2,10,16,0.2,1,0.16666666666666666
