district_std,filename,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std
baharaaich,AC285_S24A285P210, 210praa൦avi൦-saaradaasimh puravaa (paandeyapuravaa k൦anam൦-൨ ,babhanoutee urph sahar ,babhanoutee urph sahar,praaavisaaradaasimh puravaa paandeyapuravaa kanam
kaanapur nagar,AC210_S24A210P180, 180poorv maa vidyaalay bagahaa kaksh sam  1,sen paschimapaaraa ,sen paschimapaaraa,poorv maa vidyaalay bagahaa sam
mujaphpharanagar,AC012_S24A012P239," 239praathamik vidyaalay k0anam0-3, harasoulee ",harasoolee ,harasoolee,praathamik vidyaalay k0anam03 harasoulee
sraavasthee,AC289_S24A289P055, 55patanaa ,patanaa ,patanaa,patanaa
chithrakoot,AC237_S24A237P160, 160poorv maadhyamik vidyaalay gaahar ,gaahar ,gaahar,poorv maadhyamik vidyaalay gaahar
goorakhapur,AC328_S24A328P289, 289praa0 vi0 davanaadeeh poorab ,kakarahee ,kakarahee,praa0 vi0 davanaadeeh poorab
phiroojaabaad,AC097_S24A097P047, 47raashteey sraamik vidhaalay karabalaa k൦ s൒  ०४,phiroojaabaad ,phiroojaabaad,raashteey sraamik vidhaalay karabalaa k s
kannouj,AC198_S24A198P435, 435praa0apaa0 bhakharoulee k0anam0-2 ,NA,NA,praa0apaa0 bhakharoulee k0anam02
kannouj,AC197_S24A197P386, 386baaraathaghar balepurvaa ,NA,NA,baaraathaghar balepurvaa
kaanapur dehaath,AC208_S24A208P255, 255poorv maadhyamik vidyaalay goopaalapur bhooganeepur ,goopaalapur bhooganeepur ,goopaalapur bhooganeepur,poorv maadhyamik vidyaalay goopaalapur bhooganeepur
jhhaamsee,AC224_S24A224P437, 437praa.vidyaalay simgaravaaraa ,simgaravaaraa ,simgaravaaraa,praavidyaalay simgaravaaraa
muraadaabaad,AC029_S24A029P325, 325joo0 haa0 skool majhhoulee khaas kaksh-1 ,majhhoulee khaas ,majhhoulee khaas,joo0 haa0 skool majhhoulee khaas kaksh1
phaijaabaad,AC273_S24A273P384, 384praathamik vidyaalay ghurehataa-poorvee ,ghurehataa ,ghurehataa,praathamik vidyaalay ghurehataapoorvee
prathaapagadh,AC249_S24A249P354, 354praa0avi0 roodaa pur k0asam0  -१,roodaapur ,roodaapur,praa0avi0 roodaa pur k0asam0
badaayoom,AC116_S24A116P373, 373praa0 vidhaalay bilaharee k0anam0  1,bilaharee ,bilaharee,praa0 vidhaalay bilaharee k0anam0
aleegadh,AC077_S24A077P357, 357praa0 skool vyouharaa kamaraa n0  २,n0 phalaahar ,n0 phalaahar,praa0 skool vyouharaa kamaraa n0
sambhal,AC031_S24A031P161, 161chandousee intar kaalej chandousee kaksh-1 ,chandousee ,chandousee,chandousee intar kaalej chandousee kaksh1
phiroojaabaad,AC095_S24A095P330, 330praa0avi0 roodhaoo ,pachavaan ,pachavaan,praa0avi0 roodhaoo
ilaahaabaad,AC263_S24A263P014, 14yaadagaar hasain i0 kaa0anakaas koonaa kaksh sam൦  8,ilaahaabaad ,ilaahaabaad,yaadagaar hasain i0 kaa0anakaas koonaa sam
sahaaranapur,AC007_S24A007P279, 279praathamik vighaalay k0an0-1 khaanapur aphagaan ,khaanapur aphagaan ,khaanapur aphagaan,praathamik vighaalay k0an01 khaanapur aphagaan
vaaraanasee,AC384_S24A384P201, 201joo0 haa0 skool puraaraghunaathapur aams ,puraaraghunaathapur ,puraaraghunaathapur,joo0 haa0 skool puraaraghunaathapur aams
phathehapur,AC238_S24A238P119, 119praa0avi0 eesepur ,eesepur ,eesepur,praa0avi0 eesepur
sraavasthee,AC289_S24A289P094, 94lakshmanapurabhagavaanapur ,lakshmanapurabhagavaanapur ,lakshmanapurabhagavaanapur,lakshmanapurabhagavaanapur
bulandasahar,AC065_S24A065P294, 294bulandasahar muslim intar kaalej k.n൑am  3,bulandasahar ,bulandasahar,bulandasahar muslim intar kaalej knam
gaajeepur,AC373_S24A373P110, 110sree mahanth raamabaran daas haa0ase0 bhudakudaa madhy ,bhrudakudaa ,bhrudakudaa,sree mahanth raamabaran daas haa0ase0 bhudakudaa madhy
goorakhapur,AC324_S24A324P314, 314poo0amaa0avi0 kandaraaee k0anam0  1,heats ,heats,poo0amaa0avi0 kandaraaee k0anam0
baamdaa,AC232_S24A232P296, 296poo0amaa0avi0amahookhar kaksh sam൦  ३,mahookhar ,mahookhar,poo0amaa0avi0amahookhar sam
aagaraa,AC090_S24A090P395, 395parishadeey poorv maa0 vi0 ethmaadapur madaraa k0an൦-൯ ,ethmaadapur madaraa ,ethmaadapur madaraa,parishadeey poorv maa0 vi0 ethmaadapur madaraa k0an
bulandasahar,AC065_S24A065P364, 364raamapur kaaloonee urph mirjaapur praaeemaree skool Hat.  1,raamapur kaalounee urph ,raamapur kaalounee urph,raamapur kaaloonee urph mirjaapur praaeemaree skool hat
sambhal,AC033_S24A033P282, 282jooniyar haaee skool navaabapuraa kaksh-൧ ,NA,NA,jooniyar haaee skool navaabapuraa kaksh
jounapur,AC365_S24A365P347, 347praa0apaa0ausaroooulee ,usaroulee ,usaroulee,praa0apaa0ausaroooulee
phathehapur,AC241_S24A241P146, 146praa0avi0 banakataa ,banakataa ,banakataa,praa0avi0 banakataa
mahaaraajagamj,AC315_S24A315P007, 7praa൦ vi൦ gurachihaa k൦ n൦  1,gurachihaa ,gurachihaa,praa vi gurachihaa k n
badaayoom,AC114_S24A114P004, 4joo0ahaa0askool gudhanee k0 n0  1,gudhanee ,gudhanee,joo0ahaa0askool gudhanee k0 n0
ambedakar nagar,AC279_S24A279P218, 218praathamik vidyaalay jahaamgeeragamj pratham seemaa navaagaamv poorvee kaksh ,navaagaamv ,navaagaamv,praathamik vidyaalay jahaamgeeragamj pratham seemaa navaagaamv poorvee
baagapath,AC050_S24A050P014, 14athi harijan chaaഁapaal kamaraa n0  1thugaanaa ,thugaanaa ,thugaanaa,athi harijan chaaapaal kamaraa n0 1thugaanaa
bulandasahar,AC064_S24A064P033, 33aasaphaabaad chandapuraa praaeemaree FRAT Hat.  1,aasaphaabaad chandapuraa ,aasaphaabaad chandapuraa,aasaphaabaad chandapuraa praaeemaree frat hat
kousaambee,AC253_S24A253P077, 77praa0avi0 kyaamudadeenapur ,kyaamavadhaddeenapur ,kyaamavadhaddeenapur,praa0avi0 kyaamudadeenapur
lakhanaoo,AC171_S24A171P038, 38green ve pablik skool ramanaa Ace kaksh samkhyaa-2 ,lakhanaoo ,lakhanaoo,green ve pablik skool ramanaa ace samkhyaa2
saahajahaaapur,AC134_S24A134P108, 108praaepaa0 charakhee devaree ,charakheedevaree ,charakheedevaree,praaepaa0 charakhee devaree
baaraabamkee,AC267_S24A267P398, 398poo0amaa0avi0 kootavaadhaam kaksh sam0-2 ,ariyaamaoo ,ariyaamaoo,poo0amaa0avi0 kootavaadhaam sam02
