district_std,filename,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std
gaajeepur,AC375_S24A375P146, 146praa0apaa0 islaamaabaad ,islaamaabaad ,islaamaabaad,praa0apaa0 islaamaabaad
goorakhapur,AC326_S24A326P252, 252pam0abh0atoo0 chhaa0 bandhoo simh raajadhaanee k0asam0  2,raajadhaanee ,raajadhaanee,pam0abh0atoo0 chhaa0 bandhoo simh raajadhaanee k0asam0
seethaapur,AC150_S24A150P039, 39pamchaayathabhavan sisaiyaadariyaanaa sthith dariyaanaa ,sisaiyaadariyaanaa ,sisaiyaadariyaanaa,pamchaayathabhavan sisaiyaadariyaanaa dariyaanaa
sambhal,AC111_S24A111P046, 46praa0apaa൦ k൦an൦൧ mutainaapatee giradhaaree simh ,mutainaa pattee giradhaaree ,mutainaa pattee giradhaaree,praa0apaa kan mutainaapatee giradhaaree simh
unnaav,AC165_S24A165P237, 237praa0 vi0 abbaasabaag paschim saahagamj kaksh  २,un‍naav ,unnaav,praa0 vi0 abbaasabaag paschim saahagamj
basthee,AC307_S24A307P235, 235praathamik vidyaalay souree ,souree ,souree,praathamik vidyaalay souree
aagaraa,AC086_S24A086P050, 50praa൦ vi൦ puraa goovardhan k൦ nam൦  1,aagaraa ,aagaraa,praa vi puraa goovardhan k nam
phaijaabaad,AC275_S24A275P029, 29praathamik vidyaalay hasanoo kataraa athirikth kaksh uththaree ,phaijaabaad ,phaijaabaad,praathamik vidyaalay hasanoo kataraa athirikth uththaree
gaajeepur,AC376_S24A376P279, 279praa0 paa0 chakasaaphiyaa ,chakasaaphiyaa ,chakasaaphiyaa,praa0 paa0 chakasaaphiyaa
gaajiyaabaad,AC053_S24A053P045, 45praa.vi saadulal‍laabaad ,loonee ,loonee,praavi saadulallaabaad
gaajiyaabaad,AC055_S24A055P067, 67praa0 vi0 pasounan‍daa n0-2 ,gaajiyaabaad ,gaajiyaabaad,praa0 vi0 pasounandaa n02
raay barelee,AC179_S24A179P229, 229adhaghooraa ,adhooraa ,adhooraa,adhaghooraa
santh kabeer nagar,AC313_S24A313P325, 325praa0avi0 visayaa hanan ,bisayaahannoo ,bisayaahannoo,praa0avi0 visayaa hanan
goorakhapur,AC328_S24A328P409, 409praa0 vi0 rajoulee bujurg ,kasvaathelee ,kasvaathelee,praa0 vi0 rajoulee bujurg
etaa,AC106_S24A106P098, 98praa0apaa0abuththapuraa ,abadulahaeepur ,abadulahaeepur,praa0apaa0abuththapuraa
prathaapagadh,AC249_S24A249P295, 295praa0avi0 redee gaaraapur k0asam0  -१,redeegaaraapur ,redeegaaraapur,praa0avi0 redee gaaraapur k0asam0
ilaahaabaad,AC259_S24A259P295, 295raajakeey i0akaa0 suravaadalaapur d0 bhaag ,Agaa we ,agaa we,raajakeey i0akaa0 suravaadalaapur d0 bhaag
merath,AC049_S24A049P045, 45praa0 vi0 maliyaanaa k0 n൦-2 ,ANS ,ans,praa0 vi0 maliyaanaa k0 n2
goorakhapur,AC325_S24A325P084, 84praa0 vi0 jamoulee khurd ,jamoulee bu0 ,jamoulee bu0,praa0 vi0 jamoulee khurd
saahajahaaapur,AC133_S24A133P087, 87praa൦ paa൦ saph഼ooraa ,saphouraraa ,saphouraraa,praa paa saphooraa
baagapath,AC050_S24A050P242, 242nethaa jee subhaash chandr boos maimooriyal maadhyamik vidyaalay k.n.-1 thabelaagadhee ,thabelaagadhee ,thabelaagadhee,nethaa jee subhaash chandr boos maimooriyal maadhyamik vidyaalay kn1 thabelaagadhee
gaajeepur,AC374_S24A374P237, 237poo൦amaa൦achakiyaa nevaadaa p൦achhoor ,chakiyaa masoon ,chakiyaa masoon,pooamaaachakiyaa nevaadaa pachhoor
seethaapur,AC151_S24A151P294, 294praa0 vi0 neebaadeharaa ,neebaadeharaa ,neebaadeharaa,praa0 vi0 neebaadeharaa
NA,AC058_S24A058P074, 74laalaa gamgaa sahaay dharmasaalaa pilkhuvaa kamaraa nam0  4,NA,NA,laalaa gamgaa sahaay dharmasaalaa pilkhuvaa kamaraa nam0
haapud,AC060_S24A060P258, 258aadars kanyaa i0akaa0 gadamukthesvar ,gathamukthesvar ,gathamukthesvar,aadars kanyaa i0akaa0 gadamukthesvar
ilaahaabaad,AC255_S24A255P027, 27praathamik vidyaalay maanee umarapur uththaree bhaag-1 ,maanee umarapur ,maanee umarapur,praathamik vidyaalay maanee umarapur uththaree bhaag1
lakhanaoo,AC168_S24A168P305, 305praa0 vi0 siragaamaoo kaksh sam0  1,siragaamaoo ,siragaamaoo,praa0 vi0 siragaamaoo sam0
phaijaabaad,AC275_S24A275P203, 203d൉0 brijakisoor hoomiyoopaithik medikal kaalej devakaalee phaijaabaad kaksh samkhyaa-4 ,devakaalee ,devakaalee,d0 brijakisoor hoomiyoopaithik medikal kaalej devakaalee phaijaabaad samkhyaa4
goondaa,AC295_S24A295P344, 344praa0 paa0 poore samval k0 n0  2,ujjaineekalaa ,ujjaineekalaa,praa0 paa0 poore samval k0 n0
saamalee,AC008_S24A008P026, 26praathamik vidyaalay k0 n0  1ajeejapur ,ajeejapur ,ajeejapur,praathamik vidyaalay k0 n0 1ajeejapur
basthee,AC311_S24A311P084, 84praathamik vidyaalay haluaapaar ,haluaapaar ,haluaapaar,praathamik vidyaalay haluaapaar
kannouj,AC197_S24A197P166, 166praa0apaa0 purvaanayan majare kharagapur bilandapur ,kharagapur bilandapur ,kharagapur bilandapur,praa0apaa0 purvaanayan majare kharagapur bilandapur
peeleebheeth,AC129_S24A129P054, 54sabalapur mu0 raamapur phakeere ,sabalapur m0 raamapur ,sabalapur m0 raamapur,sabalapur mu0 raamapur phakeere
mahaaraajagamj,AC319_S24A319P049, 49raa0aaaee0atee0aaaee0askool jamgal badaharaa k0anam01 ,j0abad഼aharaa ,j0abadaharaa,raa0aaaee0atee0aaaee0askool jamgal badaharaa k0anam01
vaaraanasee,AC388_S24A388P246, 246krischiyan n0aevam0apraa0 skool  51kaint poorvee chhoor k0asam0  6,vaaraanasee ,vaaraanasee,krischiyan n0aevam0apraa0 skool 51kaint poorvee chhoor k0asam0
aajamagadh,AC346_S24A346P300, 300praa0avi0 bhaagavath kakshas sam0-൧ ,bhaagavath ,bhaagavath,praa0avi0 bhaagavath kakshas sam0
muraadaabaad,AC027_S24A027P163, 163praa0 skool kaaphiyaabaad ,kaaphiyaabaad ,kaaphiyaabaad,praa0 skool kaaphiyaabaad
aagaraa,AC089_S24A089P178, 178rathnamuni jain garls i0akaa൦ loohaamandee k0anam൦-൬ ,aagaraa ,aagaraa,rathnamuni jain garls i0akaa loohaamandee k0anam
barelee,AC120_S24A120P281, 281praa൦ paa൦ phathehapur durgaaprasaad k0 n0  १,phathehapur durgaa prasaad ,phathehapur durgaa prasaad,praa paa phathehapur durgaaprasaad k0 n0
aajamagadh,AC352_S24A352P208, 208praa0avi0 mahoolee kaksh  -९,mahoulee ,mahoulee,praa0avi0 mahoolee
mathuraa,AC082_S24A082P331, 331praa൦avi൦ dunaitiyaa ,dunaitiyaa ,dunaitiyaa,praaavi dunaitiyaa
saahajahaaapur,AC131_S24A131P331, 331praa0 skool daheliyaa ,dahiliyaa ,dahiliyaa,praa0 skool daheliyaa
baaraabamkee,AC266_S24A266P401, 401praa0 vi0 odaar kaksh sam0  ९,odaar ,odaar,praa0 vi0 odaar sam0
ilaahaabaad,AC260_S24A260P193, 193raajakeey kanyaa poo0 maa0 vi0 mugaaree d0 bhaag ,mumgaaree ,mumgaaree,raajakeey kanyaa poo0 maa0 vi0 mugaaree d0 bhaag
aajamagadh,AC350_S24A350P257, 257u0apraa0avi0 nan‍daamv ,NA,NA,u0apraa0avi0 nandaamv
badaayoom,AC116_S24A116P217, 217praa0 vidhaalay ahiravaaraa k0anam02 ,aharavaaraa ,aharavaaraa,praa0 vidhaalay ahiravaaraa k0anam02
kheeree,AC142_S24A142P025, 25piparaa karamachand ,piparaakaramachand ,piparaakaramachand,piparaa karamachand
aagaraa,AC087_S24A087P212, 212pairaamaaunt haa0 sai0 skool raam vihaar kaaloonee phes-3 devaree rood k0 n0  6,aagaraa ,aagaraa,pairaamaaunt haa0 sai0 skool raam vihaar kaaloonee phes3 devaree rood k0 n0
NA,AC236_S24A236P046, 46praathamik vidyaalay sidhoumlee-m0abhaag ,NA,NA,praathamik vidyaalay sidhoumleem0abhaag
maoo,AC355_S24A355P154, 154praa0 paa0 bad഼aar poo0 bhaag ,bad഼aar ,badaar,praa0 paa0 badaar poo0 bhaag
vaaraanasee,AC391_S24A391P112, 112praa0 paa0 pachavaar ke baaundree ke andar k0asam02 ,pachavaar ,pachavaar,praa0 paa0 pachavaar baaundree andar k0asam02
barelee,AC122_S24A122P114, 114praa0 paa0 jaganiyaa harachaar muhaal ,jiganiyaa harachaar ,jiganiyaa harachaar,praa0 paa0 jaganiyaa harachaar muhaal
goondaa,AC301_S24A301P338, 338kanyaa praaimaree paathasaalaa banakatavaa ditheey sabarapur ,banakatavaa ,banakatavaa,kanyaa praaimaree paathasaalaa banakatavaa ditheey sabarapur
itaavaa,AC201_S24A201P144, 144praa0apaa0 khusaalapur ,raamapur ,raamapur,praa0apaa0 khusaalapur
merath,AC043_S24A043P271, 271uchch praa0avi0 kuraalee k0anam0-3 ,kuraalee ,kuraalee,uchch praa0avi0 kuraalee k0anam03
gaajiyaabaad,AC055_S24A055P501, 501sanaraaeej ekedamee sipraa san sitee ,gaajiyaabaad ,gaajiyaabaad,sanaraaeej ekedamee sipraa san sitee
badaayoom,AC113_S24A113P155, 155praa0 vi0 gathee khaanapur k0an0  2,gathee khaanapur ,gathee khaanapur,praa0 vi0 gathee khaanapur k0an0
ilaahaabaad,AC259_S24A259P293, 293praa0avi0 raamapur siriyaa ,raamapur ,raamapur,praa0avi0 raamapur siriyaa
unnaav,AC166_S24A166P422, 422praa൦ vi൦ poorv baaraaharadoo ,baaraa haradoo ,baaraa haradoo,praa vi poorv baaraaharadoo
phaijaabaad,AC275_S24A275P210," 210bhouthikee bhavan daa raamamanoohar loohiyaa avadh visvavidyaalay, phaijaabaad paschimee ",janouraa ,janouraa,bhouthikee daa raamamanoohar loohiyaa avadh visvavidyaalay phaijaabaad paschimee
sulthaanapur,AC187_S24A187P250, 250praa൦anavi൦ soohagoulee ,soohagoulee ,soohagoulee,praaanavi soohagoulee
aajamagadh,AC345_S24A345P262, 262islaamiyaa skool kasbaa sagad഼ee kaksh sam0  2,joogiyaaveer ,joogiyaaveer,islaamiyaa skool kasbaa sagadee sam0
basthee,AC310_S24A310P128, 128sakak‍seriyaa intar kaalej basthee ,basthee ,basthee,sakakseriyaa intar kaalej basthee
barelee,AC126_S24A126P292, 292garls i0 kaalej aaamvalaa dakshinee blaak k0 nam0  1,aaamvalaa ,aaamvalaa,garls i0 kaalej aaamvalaa dakshinee blaak k0 nam0
mujaphpharanagar,AC011_S24A011P117, 117praathamik vidhaalay hasainapur kalaa k0an0  2,hasainapur kalaa ,hasainapur kalaa,praathamik vidhaalay hasainapur kalaa k0an0
phathehapur,AC242_S24A242P313, 313praa0avi0 daavathamaee kasaar ,daavathamaee kasaar ,daavathamaee kasaar,praa0avi0 daavathamaee kasaar
sraavasthee,AC289_S24A289P038, 38katharaaphaaphee ,katharaamaaphee ,katharaamaaphee,katharaaphaaphee
merath,AC049_S24A049P413, 413uchch praa0avi0 phathehaullaapur k0anam0-2 ,merath ,merath,uchch praa0avi0 phathehaullaapur k0anam02
siddhaarthanagar,AC304_S24A304P428, 428akoolhee ,NA,NA,akoolhee
mahaaraajagamj,AC318_S24A318P414, 414joo0ahaa0asakool joogiyaa k0anam൦൨ ,ghughulee ,ghughulee,joo0ahaa0asakool joogiyaa k0anam
kaanapur nagar,AC210_S24A210P160, 160praa skool itaaraa k0asam0  1,itaaraa ,itaaraa,praa skool itaaraa k0asam0
unnaav,AC166_S24A166P265, 265praa൦ vi൦ poorv parasandaa ,West ,west,praa vi poorv parasandaa
gaajeepur,AC375_S24A375P184, 184praa0apaa0 dhelavaa p0achhoor ,dhelavaa ,dhelavaa,praa0apaa0 dhelavaa p0achhoor
lakhanaoo,AC175_S24A175P244, 244indastriyal intar kaalej baamsamandee choumraahaa kaksh s05 ,NA,NA,indastriyal intar kaalej baamsamandee choumraahaa s05
vaaraanasee,AC387_S24A387P237, 237praa0apaa0aramanaa k0asam03 ,ramanaa ,ramanaa,praa0apaa0aramanaa k0asam03
chandoulee,AC380_S24A380P165, 165joo൦ haa൦ skool dharanaa kaksh sam൦൨ ,NA,NA,165joo haa skool dharanaa sam
aagaraa,AC088_S24A088P242, 242saint j൉ans i൦ kaa൦ h൉aspeetal rood k൦ n൦  ७,aagaraa ,aagaraa,saint jans i kaa haspeetal rood k n
saamalee,AC010_S24A010P135, 135praaimaree paathasaalaa n0  2k0 n0  1l൉ak ,laak ,laak,praaimaree paathasaalaa n0 2k0 n0 1lak
basthee,AC309_S24A309P516, 516praathamik vidyaalay padiyaakhaas poorvee ,padiyaakhaas ,padiyaakhaas,praathamik vidyaalay padiyaakhaas poorvee
kuseenagar,AC332_S24A332P009, 9praa൦ paa൦ jamgal naamgaavaam ,jamgal nougaavaa ,jamgal nougaavaa,praa paa jamgal naamgaavaam
itaavaa,AC200_S24A200P109, 109praa0 paa0 saraay esar kaksh-2 ,saraay esar ,saraay esar,praa0 paa0 saraay esar kaksh2
haradooee,AC160_S24A160P139, 139praanpaa൦ goothavaa m൦ gaajoo k൦anam൦-൨ ,gaajoo ,gaajoo,praanpaa goothavaa m gaajoo kanam
baaraabamkee,AC272_S24A272P127, 127nanni൦apraanavi൦ bhavaniyaapur majare saraay paandey poo eC OFTST ,saraamy paandey ,saraamy paandey,nanniapraanavi bhavaniyaapur majare saraay paandey poo ec oftst
NA,AC123_S24A123P138, 138praa൦ paa൦ jithour kamaraa nam:ഃ൦  02,NA,NA,praa paa jithour kamaraa nam 02
bulandasahar,AC064_S24A064P302, 302sarasvathee vidyaa mandir haachhelee melaa rood sikandraabaad k.nam  2,sikandraabaad dehaath ,sikandraabaad dehaath,sarasvathee vidyaa haachhelee melaa rood sikandraabaad knam
bulandasahar,AC065_S24A065P379, 379bahaleemapuraa praaeemaree skool k.n൑  1,bahaleemapuraa ,bahaleemapuraa,bahaleemapuraa praaeemaree skool kn
barelee,AC125_S24A125P114, 114kusu&൭am kumaaree i0akaa൦ jagathapur k0anam൦  २,barelee ,barelee,kusuam kumaaree i0akaa jagathapur k0anam
haapud,AC059_S24A059P058, 58taigoor sikshaa sadan i0 kaa0 samjay vihaar kaaloonee haapud k0an0  1,haapashud ,haapashud,taigoor sikshaa sadan i0 kaa0 samjay vihaar kaaloonee haapud k0an0
ilaahaabaad,AC258_S24A258P019, 19praathamik vidyaalay damagathaa poo0 bhaag ,damagadhaa ,damagadhaa,praathamik vidyaalay damagathaa poo0 bhaag
raay barelee,AC182_S24A182P327, 327umaraamaoo ,umaraamaoo ,umaraamaoo,umaraamaoo
gaajeepur,AC379_S24A379P397, 397praa0apaa0 maniyaa (madhy ,maniyaa ,maniyaa,praa0apaa0 maniyaa madhy
kuseenagar,AC333_S24A333P355, 355praaimaree paathasaalaa premavaliyaa kaksh n  ०३,premavaliyaa ,premavaliyaa,praaimaree paathasaalaa premavaliyaa
garaget,AC068_S24A068P096, 96indour khedaa praaeemaree skool k൦n൦൩ ,indour khed഼aa ,indour khedaa,indour khedaa praaeemaree skool kn
goorakhapur,AC320_S24A320P057, 57praa0avi0amajhhagaamvaa ,machhaleegaasachhav ,machhaleegaasachhav,praa0avi0amajhhagaamvaa
phiroojaabaad,AC096_S24A096P177, 177praa.aa milaavalee k0an01 ,milaavalee ,milaavalee,praaaa milaavalee k0an01
bhadoohee,AC392_S24A392P108, 108praa൦paa൦ poore badal kaksh  १,saadaa ,saadaa,praapaa poore badal
haradooee,AC161_S24A161P046, 46mi0ajoo0avi0 malheraa k0anam0  2,malaharaa ,malaharaa,mi0ajoo0avi0 malheraa k0anam0
aagaraa,AC094_S24A094P320, 320praa0avi0 pahaadapuraa k0an0  2,pahaadapuraa ,pahaadapuraa,praa0avi0 pahaadapuraa k0an0
phaijaabaad,AC271_S24A271P281, 281praathamik vidyaalay akhithayaarapur kaksh sam  1,akhithayaarapur ,akhithayaarapur,praathamik vidyaalay akhithayaarapur sam
baharaaich,AC287_S24A287P027, 27praa0apaa൦ basaneraa kam0anam൦-1 ,basaneraa ,basaneraa,praa0apaa basaneraa kam0anam1
saahajahaaapur,AC134_S24A134P278, 278praa0apaa0ak0asam02 kaihamaariyaa ,NA,NA,praa0apaa0ak0asam02 kaihamaariyaa
baamdaa,AC234_S24A234P323, 323praa0 vi0 gaamaapuravaa aams utharavaam ,utharavaa ,utharavaa,praa0 vi0 gaamaapuravaa aams utharavaam
ilaahaabaad,AC257_S24A257P119, 119iam൦akaa൦ajalaalapur kasbaa p൦ bhaag ,jalaalapur kasbaa ,jalaalapur kasbaa,iamakaaajalaalapur kasbaa p bhaag
prathaapagadh,AC250_S24A250P317, 317praa0 vi0 behadoul kalaa kaksh sam  2,behadaaഁal kalaa ,behadaaal kalaa,praa0 vi0 behadoul kalaa sam
mahaaraajagamj,AC316_S24A316P301, 301praa൦ paa൦ laalapur kalyaanapur ,laalapur kalyaanapur ,laalapur kalyaanapur,praa paa laalapur kalyaanapur
phathehapur,AC238_S24A238P073, 73praa0avi0 ghoorahaa ,ghoorahaa ,ghoorahaa,praa0avi0 ghoorahaa
merath,AC047_S24A047P041, 41hooreetej p0 skool palal‍lavapuram phej ditheey k0 s0  ३,ANS ,ans,hooreetej p0 skool palallavapuram phej ditheey k0 s0
unnaav,AC164_S24A164P030, 30praa0apaa0 goohalee ,goohalee ,goohalee,praa0apaa0 goohalee
aleegadh,AC077_S24A077P321, 321praa0 skool nagalaa nahachalaa ,n moohan ,n moohan,praa0 skool nagalaa nahachalaa
ilaahaabaad,AC255_S24A255P028, 28praathamik vidyaalay maanee umarapur dakshinee bhaag ,maanee umarapur ,maanee umarapur,praathamik vidyaalay maanee umarapur dakshinee bhaag
aajamagadh,AC344_S24A344P328, 328poo0 maa0 vi0 bilariyaagamj kaksh sam0  5,bilariyaagamj ,bilariyaagamj,poo0 maa0 vi0 bilariyaagamj sam0
mahaaraajagamj,AC315_S24A315P093, 93praa൦ vi൦ soonaabandee k൦ n൦  1,soonaabandee ,soonaabandee,praa vi soonaabandee k n
badaayoom,AC117_S24A117P288, 288neharoo aadars vidhaalay alaapur kaa puraanaa bhavan kaa uththaree bhaag k0 sam0  8,alaapur ,alaapur,neharoo aadars vidhaalay alaapur puraanaa uththaree bhaag k0 sam0
pharookhaabaad,AC195_S24A195P075, 75sinoudaa prithvee ,sinaaoudaa prathvee ,sinaaoudaa prathvee,sinoudaa prithvee
gaajeepur,AC376_S24A376P135, 135praa0 paa0 beerabalapur ,beerabalapur ,beerabalapur,praa0 paa0 beerabalapur
merath,AC045_S24A045P152, 152islaamiyaam skool k0 nam0-1 mavaanaa kalaam ,mavaanaa ,mavaanaa,islaamiyaam skool k0 nam01 mavaanaa kalaam
mirjaapur,AC395_S24A395P184, 184praa0avi0apamjaraa ,rujhhouhee ,rujhhouhee,praa0avi0apamjaraa
mahoobaa,AC230_S24A230P079, 79poo൦amaa൦avi൦ phathehapur bajariyaa kaksh sam൦  1,mahoobaa ,mahoobaa,pooamaaavi phathehapur bajariyaa sam
gaajiyaabaad,AC055_S24A055P451, 451semt eleen kaanvet jooniyar haaee skool pragathi vihaar khoodaa ,khoodaa ,khoodaa,semt eleen kaanvet jooniyar haaee skool pragathi vihaar khoodaa
baaraabamkee,AC270_S24A270P092, 92poo0amaa0avi0adadiyaamaoo kaksh sam0  1,ariyaamaoo ,ariyaamaoo,poo0amaa0avi0adadiyaamaoo sam0
mainapuree,AC107_S24A107P197, 197praa0apaa0 dhalouaapur ,mainapuree ,mainapuree,praa0apaa0 dhalouaapur
lakhanaoo,AC176_S24A176P309, 309praa0 vi0 tikaraa ,tikaraa ,tikaraa,praa0 vi0 tikaraa
baamdaa,AC232_S24A232P315, 315poo0amaa0avi0alrukatharaa Hat Ho  3,Amdt ,amdt,poo0amaa0avi0alrukatharaa hat ho
phathehapur,AC242_S24A242P183, 183praa0avi0 biradhourapur majare iraadathapur chathurbhujapur ,iraadathapur chathumbhujapur ,iraadathapur chathumbhujapur,praa0avi0 biradhourapur majare iraadathapur chathurbhujapur
pharrookhaabaad,AC193_S24A193P102, 102nibiyaa ,gaadhee ,gaadhee,nibiyaa
chandoulee,AC381_S24A381P206, 206joo൦ haa൦ kurahanaa ,NA,NA,206joo haa kurahanaa
gaajeepur,AC378_S24A378P207, 207praa0apaa0 raajaapur (p0achhoor ,raajaapur ,raajaapur,praa0apaa0 raajaapur p0achhoor
mujaphpharanagar,AC013_S24A013P228, 228praathamik vidyaalay simarthee ,simarthee ,simarthee,praathamik vidyaalay simarthee
basthee,AC311_S24A311P086, 86pamchaayath bhavan oraee ,oraee ,oraee,pamchaayath oraee
badaayoom,AC112_S24A112P229, 229bhrusaayaa praa vi k nam.-൨ ,sar ,sar,bhrusaayaa praa vi nam
etaa,AC103_S24A103P265, 265praa0apaa൦ roopadhanee ,roopadhanee ,roopadhanee,praa0apaa roopadhanee
badaayoom,AC117_S24A117P250, 250praa0 vi0 k0 nam0  4chamgaasee ,chamgaasee ,chamgaasee,praa0 vi0 k0 nam0 4chamgaasee
sulthaanapur,AC191_S24A191P380, 380praa0avi0 pathajoo pahaadapur kaksh sam0  3,pathajoo pahaadapur ,pathajoo pahaadapur,praa0avi0 pathajoo pahaadapur sam0
raay barelee,AC183_S24A183P246, 246chad഼araee ,UNS ,uns,chadaraee
kousaambee,AC252_S24A252P329, 329praa.vi umaraavaam ,umaraavaam uparahaar ,umaraavaam uparahaar,praavi umaraavaam
aajamagadh,AC352_S24A352P158, 158praa0avi0 katahan kaksh  -१,raamapur ,raamapur,praa0avi0 katahan
bhadoohee,AC393_S24A393P152, 152poo0amaa0avi0 tedhee uparavaar ,athibalasaahapadattee ,athibalasaahapadattee,poo0amaa0avi0 tedhee uparavaar
gaajiyaabaad,AC053_S24A053P176, 176saradaar patel joo.haa skool paaveesaadakapur ,loonee ,loonee,saradaar patel joohaa skool paaveesaadakapur
goondaa,AC295_S24A295P324, 324praa0 paa0 u0 bhaag0 rethavaagaad഼aa athirikth kaksh  1,rethavaagaad഼aa ,rethavaagaadaa,praa0 paa0 u0 bhaag0 rethavaagaadaa athirikth
kaasagamj,AC102_S24A102P138, 138praa0apaa0 bachhueeyaa ,dent ,dent,praa0apaa0 bachhueeyaa
prathaapagadh,AC249_S24A249P211, 211praa0 vi0 goopaalapur mustharkaa ,goopaalapur musthakaa ,goopaalapur musthakaa,praa0 vi0 goopaalapur mustharkaa
merath,AC043_S24A043P025, 25sanan‍th kesav daas intar kaalij mulhaidaa kam0 nam0  2,mulhaidaa ,mulhaidaa,sananth kesav daas intar kaalij mulhaidaa kam0 nam0
saahajahaaapur,AC132_S24A132P391, 391praa0apaa൦ choukhutiyaa ,lahasanaa ,lahasanaa,praa0apaa choukhutiyaa
kousaambee,AC252_S24A252P129, 129intar k൉alej karaaree kamaraa nam  17,karaaree ,karaaree,intar kalej karaaree kamaraa nam 17
saahajahaaapur,AC136_S24A136P344, 344praa0 skool daaraapur chathiyaa ,daaraapur chathiyaa ,daaraapur chathiyaa,praa0 skool daaraapur chathiyaa
kaanapur nagar,AC210_S24A210P386, 386praa.paa baraeegadh഼ k0asam0  3,NA,NA,praapaa baraeegadh k0asam0
lakhanaoo,AC171_S24A171P218, 218kaajamain skool choupatiyaa kaksh samkhyaa-2 ,lakhanaoo ,lakhanaoo,kaajamain skool choupatiyaa samkhyaa2
phaijaabaad,AC275_S24A275P282, 282praathamik vidyaalay sukkhaapur itouraa dakshinee ,sukkhaapur sehr ,sukkhaapur sehr,praathamik vidyaalay sukkhaapur itouraa dakshinee
phathehapur,AC238_S24A238P316, 316praa0avi0 nayaapuravaa majare thenduleelaakheepur ,thendulee laakheepur ,thendulee laakheepur,praa0avi0 nayaapuravaa majare thenduleelaakheepur
merath,AC049_S24A049P069, 69praa0 vi0 naee basthee lallaapuraa k0 n൦  2,ANS ,ans,praa0 vi0 naee basthee lallaapuraa k0 n
aleegadh,AC073_S24A073P165, 165praaimaree skool dathaachoolee khurd k൦ nam൦-൨ ,dathaa dev we ,dathaa dev we,praaimaree skool dathaachoolee khurd k nam
aagaraa,AC090_S24A090P401, 401praa൦ vi൦ vijnjaamaee k0an൦-൨ ,bijnjaamad഼ ,bijnjaamad,praa vi vijnjaamaee k0an
baliyaa,AC362_S24A362P156, 156praa0 paa0 mid൒athaa ,mid൒athaa thaa0 sukhapuraa ,midathaa thaa0 sukhapuraa,praa0 paa0 midathaa
mathuraa,AC084_S24A084P166, 166ramanalaal sooraavaalaa pablik skool mathuraa k0anam0  9,mathuraa vrindaavan ,mathuraa vrindaavan,ramanalaal sooraavaalaa pablik skool mathuraa k0anam0
seethaapur,AC150_S24A150P025, 25poo0amaa0avi0 koodavaadhamadhamapur sthith dhamadhamapur ,koodavaadhamadhamapur ,koodavaadhamadhamapur,poo0amaa0avi0 koodavaadhamadhamapur dhamadhamapur
haatharas,AC079_S24A079P048, 48praa0 paa0 kharagoo ,kharagoo ,kharagoo,praa0 paa0 kharagoo
aajamagadh,AC349_S24A349P082, 82praa0apaa0 khairooddeenapur aleeajeem kaksh  १,khamruchaanapur ulaam ,khamruchaanapur ulaam,praa0apaa0 khairooddeenapur aleeajeem
barelee,AC126_S24A126P099, 99praa0apaa0 pipariyaa uparaalaa kam0anam  2,pipariyaa uparaalaa ,pipariyaa uparaalaa,praa0apaa0 pipariyaa uparaalaa kam0anam
merath,AC047_S24A047P286, 286kaaryaa0arakshaa lekhaaniyanthrak pemsan vitharan vibhaag deepeedeeo praamgan k0anam-൨ ,merath kaimt ,merath kaimt,kaaryaa0arakshaa lekhaaniyanthrak pemsan vitharan vibhaag deepeedeeo praamgan k0anam
bhadoohee,AC394_S24A394P287, 287joo0ahaa0askool daththeepur ,daththeepur ,daththeepur,joo0ahaa0askool daththeepur
aagaraa,AC089_S24A089P203, 203hoom saaiams insteetyoot khan‍daaree k0anam൦-൫ ,aagaraa ,aagaraa,hoom saaiams insteetyoot khandaaree k0anam
prathaapagadh,AC245_S24A245P144, 144praa0avi0 gujavar kaksh sam0  01,gujavar ,gujavar,praa0avi0 gujavar sam0 01
mainapuree,AC108_S24A108P126, 126praa0 paa0 dulee bhaag misouraa ,misouraa ,misouraa,praa0 paa0 dulee bhaag misouraa
baaraabamkee,AC266_S24A266P450, 450praa0 vi0 agaasand kaksh sam0  १,agaasand ,agaasand,praa0 vi0 agaasand sam0
haradooee,AC161_S24A161P144, 144aaee0aaar0ai0akaa0 k0anam0  ४n0apaa0apari0 ,sandeelaa ,sandeelaa,aaee0aaar0ai0akaa0 k0anam0 n0apaa0apari0
muraadaabaad,AC027_S24A027P111, 111praa0 vidhaalay laathoovaalaa kaksh-3 ,laalathoobavaalaa mu0 ,laalathoobavaalaa mu0,praa0 vidhaalay laathoovaalaa kaksh3
aleegadh,AC074_S24A074P010, 10praa skool naanaoo HO nam0  1,naanaoo ,naanaoo,praa skool naanaoo ho nam0
lakhanaoo,AC171_S24A171P291, 291praathamik skool alata kaksh samkhyaa-1 ,lakhanaoo ,lakhanaoo,praathamik skool alata samkhyaa1
haradooee,AC161_S24A161P386, 386praa൦apaa൦ banee ,bhatathapuravaa ,bhatathapuravaa,praaapaa banee
saamalee,AC010_S24A010P171, 171visraam bhavan choupaal lisaadh഼ ,lisaadh഼ ,lisaadh,visraam choupaal lisaadh
