Variable,Open,Quota,Diff.
pc01_pca_tot_p,4196.59,4060.86,135.73$^{***}$
pc01_pca_tot_f,2035.93,1957.85,78.08$^{***}$
pc01_pca_p_lit,1968.22,1795.54,172.69$^{***}$
pc01_pca_f_lit,669.52,576.22,93.30$^{***}$
