lgd_district,mandal_std,subdistrict_ref,tehsil_match_distance
kota,laadapuraa,ladpura,0.21904761904761905
kota,deegood,digod,0.20952380952380956
kota,kanavaas,kanwas,0.18055555555555555
nagaur,laadanoom,NA,NA
nagaur,deedavaanaa,NA,NA
nagaur,naagour,nagaur,0.10317460317460315
nagaur,kheemvasar,kheenvsar,0.14537037037037034
nagaur,moondavaa,NA,NA
nagaur,medathaa,NA,NA
nagaur,riyaa badee,riyan badi,0.2200757575757576
nagaur,degaanaa,degana,0.1388888888888889
nagaur,makaraanaa,NA,NA
nagaur,parabathasar,NA,NA
nagaur,kuchaaman sitee,NA,NA
nagaur,naavaam,NA,NA
pali,maaravaad jamksan,NA,NA
pali,baalee,NA,NA
pali,paalee,NA,NA
pali,sumerapur,sumerpur,0.037037037037037104
churu,raajagadh,rajgarh,0.24206349206349215
churu,chooroo,NA,NA
rajsamand,bheem,bhim,0.21666666666666667
rajsamand,devagadh,NA,NA
rajsamand,aamet,amet,0.06666666666666678
rajsamand,kumbhalagadh,kumbhalgarh,0.1191919191919192
rajsamand,raajasamand,rajsamand,0.1346801346801347
rajsamand,naathadvaaraa,NA,NA
rajsamand,khamanoor,khamnor,0.07407407407407415
rajsamand,relamagaraa,railmagra,0.2112794612794614
sawai madhopur,vajeerapur,NA,NA
sawai madhopur,gamgaapur,NA,NA
sawai madhopur,boumlee,NA,NA
sawai madhopur,baamanavaas,NA,NA
sawai madhopur,malaaranaa doomgar,malarna doongar,0.17962962962962964
sawai madhopur,savaaee maadhoopur,sawai madhopur,0.20039682539682546
sawai madhopur,khandaar,khandar,0.04166666666666672
sikar,raamagadh sekhaavaatee,NA,NA
sikar,seekar,sikar,0.17777777777777778
sikar,sreemaadhoopur,NA,NA
sikar,neem kaa thaanaa,NA,NA
sirohi,siroohee,sirohi,0.18055555555555555
sirohi,pindavaadaa,pindwara,0.23484848484848492
sirohi,aaboorood,NA,NA
sirohi,revadar,reodar,0.21746031746031746
jhunjhunun,soorajagadh,NA,NA
jhunjhunun,malaseesar,NA,NA
jhunjhunun,udayapuravaatee,NA,NA
jhunjhunun,tai,NA,NA
jhunjhunun,navalagadh,NA,NA
jhunjhunun,chidaavaa,NA,NA
jhunjhunun,buhaanaa,NA,NA
tonk,maalapuraa,malpura,0.21904761904761905
tonk,toodaaraayasimh,NA,NA
tonk,peepaloo,peeplu,0.18055555555555555
tonk,nivaaee,NA,NA
udaipur,googundaa,gogunda,0.07407407407407415
udaipur,badagaamv,NA,NA
udaipur,kootadaa,kotra,0.23333333333333345
udaipur,khairavaadaa,NA,NA
udaipur,rishabhadev,rishabhdeo,0.09393939393939396
udaipur,maavalee,mavli,0.23333333333333345
udaipur,girvaa,girwa,0.17777777777777778
udaipur,vallabhanagar,vallabhnagar,0.08119658119658126
udaipur,saloombar,NA,NA
pratapgarh,peepalakhoomt,peepalkhoont,0.07905982905982913
sawai madhopur,chidaavaa,NA,NA
ajmer,saavar,NA,NA
alwar,raamagadh,ramgarh,0.24206349206349215
alwar,rainee,NA,NA
alwar,katoomar,kathumar,0.1666666666666667
barmer,pachapadaraa,NA,NA
barmer,sivaanaa,NA,NA
barmer,samadadee,NA,NA
bikaner,poogal,poogal,5.551115123125783e-17
bikaner,koolaayath,kolayat,0.14761904761904773
bikaner,loonakaranasar,lunkaransar,0.2422077922077922
bharatpur,kumher,NA,NA
bharatpur,nadabaee,nadbai,0.24722222222222212
bharatpur,pahaadee,NA,NA
bhilwara,maandal,mandal,0.130952380952381
bhilwara,sate,NA,NA
bhilwara,raayapur,raipur,0.18055555555555555
bhilwara,sahaadaa,sahara,0.18055555555555555
bhilwara,phooliyaakalaam,NA,NA
bhilwara,kootdee,NA,NA
dholpur,saipaoo,NA,NA
dholpur,raajaakhedaa,NA,NA
dausa,lavaan,lawan,0.17777777777777778
jhalawar,raniwara,asnawar,0.24206349206349215
hanumangarh,bhaadaraa,bhadra,0.19444444444444453
jaipur,jamavaaraamagadh,NA,NA
jaisalmer,jaisalamer,jaisalmer,0.033333333333333416
jaisalmer,pookaran,pokaran,0.04166666666666672
jaisalmer,bhaniyaanaa,bhaniyana,0.09764309764309766
jaipur,viraatanagar,NA,NA
jaipur,doodoo,NA,NA
jodhpur,bilaadaa,bilara,0.18055555555555555
karauli,mamdarel,NA,NA
kota,raamagamj mandee,NA,NA
pali,jaithaaran,NA,NA
pali,raayapur,NA,NA
pali,desuree,desuri,0.1507936507936509
pratapgarh,prathaapagadh,pratapgarh,0.22849002849002847
pratapgarh,aranood,arnod,0.09523809523809525
jhunjhunun,jhhunjhhunoo,NA,NA
udaipur,saraadaa,sayra,0.23333333333333345
alwar,kootakaaseem,NA,NA
alwar,kisanagadhabaas,NA,NA
bharatpur,vair,NA,NA
jhalawar,jhhaalaraapaatan,jhalrapatan,0.17992424242424254
pali,soojath,sojat,0.09523809523809525
pali,raanee,NA,NA
ajmer,bhinaay,NA,NA
ajmer,chheepaabadoud,NA,NA
barmer,raamasar,ramsar,0.1666666666666667
banswara,peepalakhumt,NA,NA
banswara,gaamgadathalaaee,NA,NA
bikaner,chhaththaragadh,chhatargarh,0.20808080808080806
bharatpur,kaamaam,NA,NA
bharatpur,roopabaas,NA,NA
bhilwara,karedaa,kareda,0.04761904761904765
bhilwara,saahapuraa,sahara,0.24444444444444452
dholpur,baadee,NA,NA
ganganagar,saadulasahar,sadulshahar,0.20252525252525252
dholpur,dhoulapur,dhaulpur,0.0995370370370371
jaisalmer,phathehagadh,NA,NA
jodhpur,loohaavat,NA,NA
nagaur,jaayal,jayal,0.12222222222222213
pali,roohat,rohat,0.05555555555555556
churu,thaaraanagar,taranagar,0.17592592592592593
rajsamand,gadhaboor,garhbor,0.1587301587301588
sirohi,sivagamj,NA,NA
ajmer,t൉atootee,NA,NA
bikaner,khaajoovaalaa,NA,NA
jhalawar,saayalaa,NA,NA
jhalawar,pachapahaad,pachpahar,0.2112794612794614
jhalawar,gamgadhaar,gangdhar,0.21309523809523812
jodhpur,peepaadasahar,NA,NA
sawai madhopur,chouth kaa baravaadaa,chauth ka barwara,0.20112044817927163
udaipur,semaaree,NA,NA
alwar,thijaaraa,jaitaran,0.21097883597883602
bharatpur,bayaanaa,bayana,0.1388888888888889
dausa,agar,NA,NA
ajmer,pushkar,pushkar,5.551115123125783e-17
jaipur,moujamaabaad,NA,NA
bhilwara,aaseend,asind,0.20952380952380956
bundi,thaaledaa,NA,NA
jhunjhunu,soorajagadh,surajgarh,0.242905242905243
ajmer,chhabadaa,NA,NA
dungarpur,galiyaakoot,galiyakot,0.06060606060606061
ajmer,sarwar,NA,NA
jhunjhunu,chidaavaa,chirawa,0.24338624338624346
pratapgarh,dhariyaavad,dhariawad,0.12794612794612809
sawai madhopur,malaseesar,NA,NA
bhilwara,arta,NA,NA
sawai madhopur,jhhunjhhunoo,NA,NA
alwar,maalaakhedaa,NA,NA
barmer,chheepaabadoud,NA,NA
