birth_year,n_cells,mean_dose,max_dose,share_any_exposure
1907,24,0,0,0
1908,115,0,0,0
1909,61,0,0,0
1910,36,0,0,0
1911,65,0,0,0
1912,94,0,0,0
1913,529,0,0,0
1914,1567,0,0,0
1915,874,0,0,0
1916,1734,0,0,0
1917,2276,0,0,0
1918,1577,0,0,0
1919,2447,0,0,0
1920,1985,0,0,0
1921,1961,0,0,0
1922,3894,0,0,0
1923,3311,0,0,0
1924,5631,0,0,0
1925,4026,0,0,0
1926,4933,0,0,0
1927,5833,0,0,0
1928,10037,0,0,0
1929,13523,0,0,0
1930,9772,0,0,0
1931,12319,0,0,0
1932,16032,0,0,0
1933,14281,0,0,0
1934,17086,0,0,0
1935,14474,0,0,0
1936,16415,0,0,0
1937,16865,0,0,0
1938,18049,0,0,0
1939,19048,0,0,0
1940,18544,0,0,0
1941,18580,0,0,0
1942,19927,0,0,0
1943,19185,0,0,0
1944,20128,0,0,0
1945,19515,0,0,0
1946,20366,0,0,0
1947,20116,0,0,0
1948,20431,0,0,0
1949,20599,0,0,0
1950,19581,0,0,0
1951,20416,0,0,0
1952,20797,0,0,0
1953,19470,0,0,0
1954,20725,0,0,0
1955,19639,0,0,0
1956,19247,0,0,0
1957,20762,0,0,0
1958,20947,0,0,0
1959,20950,0,0,0
1960,20986,0,0,0
1961,20948,0,0,0
1962,21051,0,0,0
1963,20955,0,0,0
1964,21034,0,0,0
1965,20996,0,0,0
1966,21053,0,0,0
1967,21049,0,0,0
1968,21055,0,0,0
1969,20737,0,0,0
1970,21083,0,0,0
1971,21016,0,0,0
1972,20238,0,0,0
1973,20926,0,0,0
1974,18736,0,0,0
1975,20271,0,0,0
1976,20993,0,0,0
1977,21049,0,0,0
1978,21083,0,0,0
1979,21080,0,0,0
1980,21032,0,0,0
1981,21074,0,0,0
1982,21092,0,0,0
1983,21095,0,0,0
1984,21095,0,0,0
1985,21094,0,0,0
1986,21096,0,0,0
1987,21089,0,0,0
1988,21076,0,0,0
1989,21092,0,0,0
1990,21091,0.09271253141150257,0.2,0.4635626570575127
1991,21096,0.18540007584376184,0.4,0.46350018960940464
1992,21094,0.27806959324926545,0.6,0.46344932208210865
1993,21095,0.3708177293197438,0.8,0.46352216164968
1994,21094,0.4635441357732059,1,0.46354413577320563
1995,21089,0.5295651761581873,1.2,0.6463559201479444
1996,20919,0.5956881304077639,1.4,0.6464458148095034
1997,21006,0.6615633628487109,1.6,0.646243930305627
1998,20548,0.7268347284407243,1.8,0.6455616118357018
1999,125,0.8000000000000002,2,0.64
