district_part,n_rows,n_files,n_year_values
8ajamer,4692,5,1
8alavar,163740,193,1
8baadamer,93819,99,1
8baaraa,19210,29,1
8beekaaner,14704,18,1
8bharathapur,21268,23,1
8chooru,32013,28,1
8dhoulapur,8003,11,1
8dousaa,11847,13,1
8gamgaanagar,142867,152,1
8jaalour,24965,28,1
8jaisalamer,879,2,1
8jayapur,22326,25,1
8karoulee,17737,20,1
8paalee,170801,188,1
8savaaeemaadhoopur,107346,121,1
8seekar,17228,17,1
8suajhhun_,5712,6,1
8toumk,108507,110,1
_alavar,4655,6,1
_baadamer,22642,26,1
_baamsavaadaa,99617,117,1
_baaraa,4910,6,1
_beekaaner,5750,7,1
_bharathapur,28019,26,1
_chiththoudagadh,142528,174,1
_chooru,2277,2,1
_dhoulapur,4776,6,1
_hanumaanagadh,538,1,1
_jaalour,5751,7,1
_jayapur,5690,6,1
_jhhaalaavaad,46174,59,1
_joodhapur,2619,3,1
_naagour,712,1,1
_paalee,33194,38,1
_prathaapagadh,55051,66,1
_savaaeemaadhoopur,65016,73,1
_seekar,157743,168,1
_siroohee,2369,2,1
_suajhhun_,1140,1,1
_toumk,26372,24,1
a_savaaeemaadhoopur,540,1,1
aad,11852,15,1
ajamer,1767395,1884,1
alavar,2018195,2268,1
amet,2416,4,1
baadamer,1214369,1688,1
baamsavaadaa,1008945,1158,1
baaraa,550378,662,1
beekaaner,1125826,1153,1
bharathapur,1307469,1363,1
bheelavaadaa,1371410,1582,1
booadee,750354,876,1
chiththoudagadh,104188,138,1
chooru,122037,126,1
dhoulapur,528867,645,1
doomgarapur,882051,1003,1
dousaa,687174,791,1
ee_jhhaalaavaad,8031,10,1
gamgaanagar,1061991,1243,1
h_alavar,2566,3,1
h_aret,6032,8,1
h_baadamer,203994,285,1
h_baaraa,255634,318,1
h_beekaaner,214252,237,1
h_dhoulapur,211241,260,1
h_dousaa,351850,425,1
h_jaalour,271681,286,1
h_jaisalamer,105051,179,1
h_jayapur,46124,55,1
h_karoulee,288162,321,1
h_paalee,89056,109,1
h_savaaeemaadhoopur,8913,9,1
h_seekar,518596,550,1
h_toumk,106151,127,1
hai_ajamer,845,1,1
hai_bharathapur,3592,4,1
hai_chiththoudagadh,1410,3,1
hai_jayapur,1691,2,1
hai_jhhaalaavaad,6210,7,1
hai_savaaeemaadhoopur,6597,8,1
hanumaanagadh,1046678,1059,1
he_ajamer,1222,1,1
he_alavar,5018,7,1
he_bheelavaadaa,10710,13,1
he_jayapur,7240,8,1
he_kootaa,2310,3,1
hi_ajamer,4404,8,1
hi_alavar,155841,186,1
hi_bharathapur,262971,292,1
hi_chooru,66547,76,1
hi_hanumaanagadh,10644,11,1
hi_jayapur,1553799,1445,1
hi_joodhapur,165030,198,1
hi_kootaa,80099,106,1
hi_qe,21238,26,1
hi_savaaeemaadhoopur,1073,1,1
hi_suajhhun_,371563,432,1
hu_seekar,1701,2,1
jaalour,942689,1001,1
jaisalamer,290925,427,1
jayapur,2798648,2991,1
jhhaalaavaad,516219,594,1
joodhapur,1997713,2119,1
karoulee,635888,687,1
kootaa,1211060,1272,1
naagour,2291386,2481,1
paalee,1245443,1370,1
prathaapagadh,288106,351,1
qe,1134992,1261,1
raajasamand,802351,954,1
sajhhuajhhunoo,2725,4,1
savaaeemaadhoopur,687983,729,1
seekar,1112224,1204,1
siroohee,691295,702,1
suajhhun_,372287,408,1
suajhhunoo,815692,884,1
toumk,676325,804,1
udayapur,2054674,2362,1
