lgd_district,mandal_std,subdistrict_ref,tehsil_match_distance
agra,aagaraa,NA,NA
agra,kiraavalee,NA,NA
agra,khairaagadh,NA,NA
agra,phathehaabaad,NA,NA
azamgarh,badhanapur,burhanpur,0.2216931216931217
azamgarh,sagadee,NA,NA
azamgarh,phoolapur,phulpur,0.1587301587301588
azamgarh,rak,NA,NA
azamgarh,maartinagamj,NA,NA
azamgarh,nijaamaabaad,nizamabad,0.2314814814814816
azamgarh,laalagamj,lalganj,0.24206349206349215
azamgarh,maimhanagar,NA,NA
aligarh,khair,khair,5.551115123125783e-17
aligarh,gabhaanaa,gabhana,0.12169312169312176
aligarh,atharoulee,atrauli,0.2365079365079366
aligarh,kool,koil,0.1666666666666667
aligarh,igalaas,iglas,0.16190476190476197
ambedkar nagar,t൉adaa,tanda,0.17777777777777778
ambedkar nagar,bheetee,NA,NA
ambedkar nagar,aalaapur,allapur,0.18650793650793648
ambedkar nagar,jalaalapur,jalalpur,0.06666666666666678
ambedkar nagar,akabarapur,akbarpur,0.10833333333333345
amethi,goureegamj,gauriganj,0.24444444444444452
amethi,amethee,amethi,0.1507936507936509
auraiya,bidhunaa,bidhuna,0.04166666666666672
auraiya,auraiyaa,auraiya,0.04166666666666672
baghpat,badouth,NA,NA
banda,pailaanee,pailani,0.1587301587301588
banda,baberoo,baberu,0.1507936507936509
banda,atharraa,atarra,0.08333333333333338
bara banki,phathehapur,NA,NA
bara banki,raamanagar,ramnagar,0.1500000000000001
bara banki,navaabagamj,NA,NA
bara banki,haidaragadh,haidergarh,0.2200757575757576
bara banki,siroulee gaaasapur,sirauli gauspur,0.23960113960113968
bara banki,raamasaneheeghaat,ramsanehighat,0.23479135243841137
banda,badaayoo,banda,0.23333333333333345
banda,badaayaa,banda,0.23333333333333345
bahraich,baharaaich,bahraich,0.10833333333333345
bahraich,feet,NA,NA
bahraich,mahasee,mahasi,0.1507936507936509
bahraich,payaagapur,payagpur,0.06666666666666678
balrampur,utharoulaa,utraula,0.14761904761904773
balrampur,balaraamapur,balrampur,0.12037037037037043
ballia,beltharaa rood,belthara road,0.07509157509157517
ballia,rasadaa,rasra,0.20952380952380956
ballia,baliyaa,ballia,0.1507936507936509
bareilly,barelee,bareilly,0.22023809523809523
bareilly,bahedee,NA,NA
bareilly,phareedapur,faridpur,0.23484848484848492
bareilly,aaavalaa,NA,NA
basti,bhaanapur,bhanpur,0.07407407407407415
basti,rudhoulee,rudhauli,0.19444444444444453
basti,basthee,basti,0.20952380952380956
bhadohi,jnjaanapur,NA,NA
bhadohi,auraaee,aurai,0.20952380952380956
bijnor,dhaamapur,dhampur,0.07407407407407415
bijnor,bijanour,bijnor,0.08333333333333338
bijnor,chaaadapur,chandpur,0.14166666666666666
bulandshahr,sikandraabaad,sikandrabad,0.08158508158508157
bulandshahr,bulandasahar,bulandshahr,0.13585858585858596
bulandshahr,syaanaa,NA,NA
bulandshahr,gail,NA,NA
bulandshahr,khurjaa,khurja,0.04761904761904765
bulandshahr,anoopasahar,NA,NA
chandauli,chandoulee,chandauli,0.1740740740740741
chitrakoot,karvee,NA,NA
etah,aleegamj,aliganj,0.22023809523809523
etah,etaa,etah,0.1666666666666667
etah,jalesar,jalesar,5.551115123125783e-17
ghazipur,jakhaniyaa,jakhania,0.06666666666666678
ghazipur,saidapur,saidpur,0.04166666666666672
ghazipur,gaajeepur,NA,NA
ghazipur,kaasimaabaad,kasimabad,0.19444444444444453
ghazipur,muhammadaabaad,mohammadabad,0.12950937950937963
ghazipur,jamaaniyaa,NA,NA
ghazipur,sevaraaee,sewarai,0.24338624338624346
ghaziabad,loonee,NA,NA
ghaziabad,moodeenagar,modinagar,0.12794612794612809
ghaziabad,gaajiyaabaad,NA,NA
agra,dibaaee,NA,NA
gautam buddha nagar,paghanaghataa,NA,NA
gonda,goondaa,gonda,0.09523809523809525
gonda,tharabagamj,tarabganj,0.16961279461279474
gonda,manakaapur,mankapur,0.10833333333333345
gorakhpur,goorakhapur sadar,gorakhpur,0.1568627450980393
