district_part,n_rows,n_files,n_year_values
_muraadaabaad_,10375,11,1
aaajamagadh_,1993,2,1
aagaraa_,3126658,3612,1
aajamagadh_,3320176,3636,1
ad_,262916,263,1
ajnjaapagadh_,1008,1,1
aleegadh_,2554555,2997,1
ambedakar_nagar_,1613193,1925,1
ambedaphar_nagar_,61424,77,1
amethee_,907165,1060,1
as_,1374,1,1
auraiyaa_,976477,1110,1
baagapath_,902146,948,1
baamdaa_,1169200,1342,1
baaraabamkee_,2150656,2649,1
badaayoom_,2215835,2395,1
baharaaich_,2271629,2725,1
balaraamapur_,1521271,1820,1
baliyaa_,2326321,2450,1
barelee_,2925777,3202,1
basthee_,1803039,2307,1
bhadoohee_,1119852,1237,1
bijanour_,2314677,2826,1
boer_,1416,2,1
bulandasahar_,1850935,2201,1
bulanvasahar_,76591,94,1
chandoulee_,1051799,1192,1
chithrakoot_,631050,772,1
ded_ha_nagar_,672,1,1
devariyaa_,290328,354,1
elds_,2390,2,1
ergs_,1954,2,1
etaa_,1216448,1575,1
fed_ha_nagar_,15583,17,1
gaajeepur_,2582788,2974,1
gaajiyaabaad_,2435373,2625,1
garaget_,539279,655,1
ged_ha_nagar_,1352,1,1
ged_han_nagar_,1074,2,1
ged_kabeer_nagar_,679,2,1
goondaa_,2340179,2874,1
goorakhapur_,3388607,3788,1
goutham_buddh_nagar_,1284336,1371,1
haapud_,932008,957,1
haatharas_,993294,1213,1
hameerapur_,519336,562,1
haradooee_,2770345,3440,1
heese_,1797,2,1
helse_,53942,64,1
ilaahaabaad_,4163576,4705,1
ilaahaabaav_,51570,55,1
itaavaa_,1127883,1304,1
jaaloun_,1034521,1363,1
jhhaamsee_,1274604,1499,1
jounapur_,580765,727,1
kaanapur_dehaath_,1260304,1550,1
kaanapur_nagar_,2541369,2796,1
kaasagamj_,958802,1121,1
kannouj_,1106267,1491,1
kheeree_,2652629,2800,1
kousaambee_,1084019,1188,1
kuseenagar_,2443031,2657,1
lakhanaoo_,3482852,3431,1
lalithapur_,684591,764,1
mahaaraajagamj_,1825092,2058,1
mahoobaa_,481036,557,1
mainapuree_,1002239,1736,1
maoo_,1311638,1392,1
mathuraa_,1704298,1964,1
merath_,2424521,2575,1
mirjaapur_,1785514,1933,1
missing,976570,1107,1
mujaphpharanagar_,1335636,1385,1
muraadaabaad_,2179881,2340,1
muraavaabaad_,673,1,1
n_,12263,15,1
peeleebheeth_,1278118,1483,1
phaijaabaad_,1720149,2039,1
phararookhaabaad_,231017,264,1
pharookhaabaad_,367566,414,1
pharrookhaabaad_,681740,778,1
phathehapur_,1786618,1985,1
phiroojaabaad_,1689009,1923,1
prathaapagadh_,2302375,2547,1
raamapur_,1633477,1793,1
raay_barelee_,1630173,1768,1
ret_se_,2625,5,1
saahajahaaapur_,2024771,2367,1
saamalee_,598477,629,1
sahaaranapur_,1893862,2048,1
sajnjaathragadh_,546,1,1
sambhal_,1422684,1487,1
san_th_kabeer_nagar_,752807,997,1
seco_,1368,2,1
seethaapur_,2787925,3642,1
siddhaarthanagar_,1812708,2213,1
soonabhadr_,1277813,1439,1
sraavasthee_,532357,897,1
st_aag_,1883,2,1
sulthaanapur_,1778914,2191,1
un_naav_,2050546,2572,1
vaaraanasee_,2776593,2820,1
wed_kabeer_nagar_,271801,378,1
wh_,1125,1,1
