covar,term,estimate,se,p,state
log_pop,treat_2005,-0.004223767044886577,0.01049119513744716,0.6872666851993077,raj
log_pop,treat_2010,-0.014622476373107197,0.010328525901848464,0.15694302116635808,raj
lit_rate,treat_2005,-0.0064425906645178095,0.002569537717628109,0.012211614254068748,raj
lit_rate,treat_2010,-2.836617727633081e-5,0.002450140507550737,0.9907634746546821,raj
f_lit_rate,treat_2005,-0.006235723234163083,0.0028302608220695173,0.02764438615619413,raj
f_lit_rate,treat_2010,-7.424988196245933e-4,0.002708738284399238,0.7840146790938776,raj
