Variable,Open,Quota,Diff.
pc01_pca_tot_p,2318.85,2350.25,-31.40
pc01_pca_tot_f,1103.41,1109.66,-6.26
pc01_pca_p_lit,984.47,1007.05,-22.58$^{**}$
pc01_pca_f_lit,329.47,334.99,-5.52
