sex_std,age,n
f,18,812
f,19,329881
f,20,776010
f,21,669983
f,22,1132943
f,23,1223989
f,24,1582197
f,25,1492560
f,26,1551001
f,27,1292169
f,28,1325891
f,29,1167520
f,30,1426271
f,31,1745893
f,32,1311160
f,33,1444148
f,34,1491487
f,35,1299074
f,36,1146286
f,37,1108075
f,38,966113
f,39,1131421
f,40,1156974
f,41,1081988
f,42,901048
f,43,738203
f,44,871058
f,45,1122331
f,46,914754
f,47,978927
f,48,908822
f,49,906901
f,50,898252
f,51,975632
f,52,690981
f,53,1015932
f,54,649483
f,55,888976
f,56,542642
f,57,617278
f,58,694710
f,59,494380
f,60,455244
f,61,507316
f,62,357807
f,63,518627
f,64,304931
f,65,509158
f,66,292092
f,67,321137
f,68,414143
f,69,298211
f,70,278668
f,71,342088
f,72,208122
f,73,346251
f,74,158431
f,75,244184
f,76,131241
f,77,135215
f,78,191325
f,79,124145
f,80,122553
f,81,114299
f,82,76912
f,83,149759
f,84,66862
f,85,93611
f,86,42515
f,87,36817
f,88,69540
f,89,27938
f,90,19970
f,91,15195
f,92,9773
f,93,18968
f,94,6637
f,95,10064
f,96,3789
f,97,4690
f,98,5662
f,99,2743
f,100,4093
f,101,3104
f,102,1474
f,103,2850
f,104,795
f,105,173
f,106,88
f,107,67
f,108,85
f,109,645
f,110,40
m,18,1243
m,19,533761
m,20,728634
m,21,692425
m,22,1898975
m,23,1815440
m,24,2621623
m,25,2366308
m,26,2236893
m,27,1875288
m,28,1891203
m,29,2036669
m,30,2012067
m,31,1922123
m,32,1953130
m,33,2459875
m,34,2062780
m,35,1945952
m,36,1332988
m,37,1430768
m,38,1185655
m,39,1271729
m,40,1268390
m,41,1726216
m,42,1291612
m,43,1089454
m,44,1309221
m,45,1319533
m,46,1051741
m,47,1176409
m,48,1135112
m,49,1057236
m,50,1111274
m,51,1139847
m,52,856363
m,53,1206877
m,54,846044
m,55,1124133
m,56,675767
m,57,729499
m,58,960645
m,59,728812
m,60,676662
m,61,542909
m,62,426634
m,63,700321
m,64,414621
m,65,589500
m,66,351013
m,67,329872
m,68,529177
m,69,381740
m,70,356017
m,71,302726
m,72,248563
m,73,391964
m,74,230355
m,75,286877
m,76,150441
m,77,146522
m,78,201849
m,79,133196
m,80,118674
m,81,86265
m,82,64652
m,83,129168
m,84,60771
m,85,82808
m,86,36407
m,87,23285
m,88,52496
m,89,25369
m,90,16511
m,91,10265
m,92,8370
m,93,16349
m,94,6330
m,95,7676
m,96,3266
m,97,2235
m,98,4023
m,99,2445
m,100,2876
m,101,1938
m,102,1028
m,103,1936
m,104,744
m,105,104
m,106,77
m,107,49
m,108,73
m,109,45
m,110,25
NA,18,67
NA,19,71503
NA,20,82258
NA,21,94492
NA,22,231961
NA,23,233691
NA,24,314640
NA,25,245770
NA,26,256080
NA,27,206432
NA,28,225150
NA,29,243964
NA,30,181583
NA,31,211337
NA,32,321689
NA,33,218657
NA,34,171492
NA,35,176002
NA,36,168126
NA,37,137540
NA,38,128989
NA,39,192872
NA,40,103195
NA,41,162821
NA,42,180727
NA,43,124274
NA,44,184523
NA,45,108760
NA,46,61834
NA,47,145638
NA,48,107218
NA,49,92773
NA,50,99846
NA,51,131924
NA,52,103171
NA,53,137996
NA,54,96781
NA,55,106113
NA,56,93391
NA,57,90281
NA,58,94094
NA,59,79210
NA,60,80647
NA,61,59086
NA,62,53486
NA,63,63584
NA,64,52729
NA,65,57799
NA,66,43130
NA,67,50938
NA,68,53647
NA,69,41338
NA,70,41398
NA,71,46361
NA,72,36929
NA,73,52038
NA,74,43169
NA,75,37011
NA,76,21960
NA,77,23521
NA,78,30374
NA,79,20338
NA,80,13281
NA,81,14718
NA,82,12036
NA,83,16322
NA,84,8201
NA,85,9710
NA,86,5976
NA,87,4675
NA,88,7924
NA,89,3877
NA,90,2072
NA,91,2291
NA,92,1413
NA,93,2174
NA,94,605
NA,95,1384
NA,96,413
NA,97,4203
NA,98,683
NA,99,292
NA,100,203
NA,101,193
NA,102,120
NA,103,163
NA,104,139
NA,105,16
NA,106,9
NA,107,8
NA,108,6
NA,109,6
NA,110,3
