district,n,n_00,n_01,n_10,n_11,chisq_p,state,random_rotation
AJMER,247,94,66,41,46,0.07963695570221355,raj,TRUE
ALWAR,429,148,143,72,66,0.7991073753620993,raj,TRUE
BANSWARA,220,71,79,40,30,0.17527852635142646,raj,TRUE
BARAN,195,100,31,45,19,0.3657242913097377,raj,TRUE
BARMER,354,127,110,58,59,0.47695145375852877,raj,TRUE
BHARATPUR,336,123,105,48,60,0.10367455674788846,raj,TRUE
BHILWARA,342,112,114,62,54,0.4956197961454867,raj,TRUE
BIKANER,167,68,46,29,24,0.5476788682974797,raj,TRUE
BUNDI,140,52,39,23,26,0.24821307898992356,raj,TRUE
CHITTAURGARH,260,90,79,49,42,0.9273054549487567,raj,TRUE
CHURU,225,81,71,34,39,0.3455616726117777,raj,TRUE
DAUSA,203,75,62,34,32,0.6655695297383388,raj,TRUE
DHAULPUR,143,48,48,25,22,0.7198787594795378,raj,TRUE
DUNGARPUR,219,78,72,32,37,0.4394320166482392,raj,TRUE
GANGANAGAR,157,59,51,23,24,0.5892146016528856,raj,TRUE
HANUMANGARH,78,28,24,11,15,0.3366683676100388,raj,TRUE
JAIPUR,365,133,106,57,69,0.05838493412691633,raj,TRUE
JAISALMER,124,42,41,20,21,0.8486129147933335,raj,TRUE
JALOR,195,73,57,40,25,0.472726953996532,raj,TRUE
JHALAWAR,202,75,55,35,37,0.21450584311751394,raj,TRUE
JHUNJHUNUN,265,103,73,47,42,0.3754346306283003,raj,TRUE
JODHPUR,290,101,93,51,45,0.8645422073663807,raj,TRUE
KARAULI,206,66,66,42,32,0.35152074304677056,raj,TRUE
KOTA,142,48,45,27,22,0.6921463521044469,raj,TRUE
NAGAUR,422,137,147,78,60,0.11035038886224906,raj,TRUE
PALI,295,100,92,52,51,0.7934898565236599,raj,TRUE
RAJSAMAND,183,58,60,39,26,0.15940625551360652,raj,TRUE
SAWAI MADHOPUR,186,63,60,34,29,0.722464627668009,raj,TRUE
SIKAR,308,102,104,57,45,0.29258801944325746,raj,TRUE
SIROHI,144,45,49,29,21,0.24701003687144912,raj,TRUE
TONK,219,76,67,42,34,0.7648863535151126,raj,TRUE
UDAIPUR,406,145,125,65,71,0.2607194353079956,raj,TRUE
Agra,572,247,90,177,58,0.5863200838394599,up,TRUE
Allahabad,1201,427,223,372,179,0.5050917259409762,up,TRUE
Ambedkar Nagar,712,222,102,256,132,0.47258582107173835,up,TRUE
Auraiya,411,138,78,134,61,0.30145306782449627,up,TRUE
Bagpat,218,69,47,73,29,0.061697722637548316,up,TRUE
Bahraich,791,290,163,238,100,0.05888361307922945,up,TRUE
Baliya,722,233,153,257,79,3.690805391779616e-6,up,FALSE
Balrampur,649,216,131,200,102,0.29208668816008687,up,TRUE
Banda,427,151,100,133,43,8.974364424890427e-4,up,FALSE
Barabanki,834,328,137,243,126,0.14820231187324656,up,TRUE
Bareilly,832,236,129,316,151,0.3621429830232485,up,TRUE
Basti,989,335,196,321,137,0.020213663186323144,up,FALSE
Bijnaur,751,289,150,207,105,0.8832998778152124,up,TRUE
Budaun,817,244,135,296,142,0.33527001114231036,up,TRUE
Bulandshahr,817,302,169,241,105,0.09781034506977208,up,TRUE
Chandauli,455,168,77,141,69,0.7448629715192605,up,TRUE
Chitrakoot,309,120,53,84,52,0.1614974106271252,up,TRUE
Faizabad,504,215,120,121,48,0.0953321373205183,up,TRUE
Fatehpur,709,250,129,220,110,0.843288813019867,up,TRUE
