district,n,n_00,n_01,n_10,n_11,chisq_p,state,random_rotation
Firozabad,468,131,82,178,77,0.05898891060158609,up,TRUE
Gautam Buddha Nagar,182,65,45,54,18,0.0273859968324694,up,FALSE
Ghaziabad,364,138,89,96,41,0.07342663488765937,up,TRUE
Ghazipur,857,241,113,328,175,0.381080271205583,up,TRUE
Gonda,991,405,222,264,100,0.010144038238586919,up,FALSE
Gorakhpur,1070,323,151,396,200,0.5561802608945889,up,TRUE
Hamirpur,282,69,36,118,59,0.870060684794281,up,TRUE
Hardoi,1008,418,204,254,132,0.6468304822034091,up,TRUE
Hathras,341,127,66,102,46,0.5437189636245413,up,TRUE
Itawah,407,143,55,143,66,0.4017050518058623,up,TRUE
Jalaun,517,239,107,113,58,0.4921249064184571,up,TRUE
Jaunpur,1375,429,215,519,212,0.07960459227127294,up,TRUE
Jhanshi,265,79,36,95,55,0.3622330119702644,up,TRUE
Jyotiba Phule Nagar,431,135,103,135,58,0.004766143352498827,up,FALSE
Kannauj,416,113,62,161,80,0.6352879816560963,up,TRUE
Kanpur Nagar,529,237,67,170,55,0.5161993963702514,up,TRUE
Kaushambi,413,165,90,102,56,0.975454768718445,up,TRUE
Kushinagar,853,213,159,366,115,5.169705928360538e-9,up,FALSE
Lakhimpur Khiri,888,349,160,244,135,0.19023576870963266,up,TRUE
Lalitpur,329,109,53,107,60,0.5396192493329411,up,TRUE
Lucknow,315,125,73,82,35,0.20897065339873938,up,TRUE
Maharajganj,731,166,86,330,149,0.4059395440578273,up,TRUE
Mahoba,218,65,36,83,34,0.2991843813751683,up,TRUE
Mainpuri,438,109,80,180,69,0.0013834444638118014,up,FALSE
Mau,478,155,81,169,73,0.33090374318456894,up,TRUE
Meerut,432,170,75,115,72,0.08634442485727678,up,TRUE
Mirzapur,609,209,115,170,115,0.2173326407434098,up,TRUE
Muradabad,739,302,137,192,108,0.17411649642757587,up,TRUE
Muzzafarnagar,659,207,105,228,119,0.8624887748238999,up,TRUE
Pilibhit,546,185,63,170,128,1.85839216153394e-5,up,FALSE
Pratapgarh,921,358,209,250,104,0.019701750444673784,up,FALSE
Rae bareli,650,290,119,146,95,0.006824523973285539,up,FALSE
Rampur,331,122,51,127,31,0.037943832135134435,up,FALSE
Saharanpur,712,230,115,245,122,0.9794946811703806,up,TRUE
Sant Kabeer Nagar,612,194,100,216,102,0.6104553330598295,up,TRUE
Sant Ravidas Nagar,424,164,97,120,43,0.021616326331882638,up,FALSE
Shahjahnapur,852,337,166,246,103,0.28125530213869704,up,TRUE
Shravasti,320,108,55,100,57,0.6307923550341183,up,TRUE
Siddharth Nagar,943,369,196,254,124,0.5488698915980786,up,TRUE
Sitapur,1216,491,258,313,154,0.5984940720321714,up,TRUE
Sonbhadra,488,173,89,159,67,0.3071565024680035,up,TRUE
Sultanpur,659,263,137,179,80,0.3697378079714007,up,TRUE
Unnao,845,340,151,221,133,0.03847166067448264,up,FALSE
Varanasi,666,166,114,277,109,7.580762229089514e-4,up,FALSE
