state,design,outcome,spec,term,estimate,se,p,n,r2
raj,early_marriage_19-21,share_married_w,s1,dose_main,0.010146410400050149,0.007906736212625493,0.1994862356470685,10371,0.49358422905138255
raj,early_marriage_19-21,share_married_w,s2,dose_main,0.008995324179332492,0.004579095331462275,0.049559982313768625,10335,0.6297694946885862
raj,early_marriage_19-21,natal_share_w,s1,dose_main,-0.01018898151114672,0.00802812517625905,0.2044689235047743,10371,0.49706872851810724
raj,early_marriage_19-21,natal_share_w,s2,dose_main,-0.008806815480343781,0.004598433866071574,0.055552390460088044,10335,0.6335033851145856
raj,early_marriage_22-25,share_married_w,s1,dose_main,0.023401755349245112,0.010863337104942448,0.03129351968342428,13863,0.4950990234378103
raj,early_marriage_22-25,share_married_w,s2,dose_main,0.015180198793758311,0.005555491429164643,0.006318171302242436,13815,0.6623744888251668
raj,early_marriage_22-25,natal_share_w,s1,dose_main,-0.02316231931025569,0.010888252237352111,0.03346754175742687,13863,0.4965856082992284
raj,early_marriage_22-25,natal_share_w,s2,dose_main,-0.014965724500169824,0.005562232796570239,0.007166766154018379,13815,0.6640886549309459
raj,early_marriage_26-30,share_married_w,s1,dose_main,0.05851783429549033,0.02058900619925852,0.004506686757978671,17326,0.3825842968688181
raj,early_marriage_26-30,share_married_w,s2,dose_main,0.035397959903398016,0.009723505697071979,2.761473246222186e-4,17266,0.6108179067011771
raj,early_marriage_26-30,natal_share_w,s1,dose_main,-0.0579112616149255,0.02054703333003934,0.004852622717552211,17326,0.3848612258494084
raj,early_marriage_26-30,natal_share_w,s2,dose_main,-0.0347043926347029,0.009673666674540726,3.3847809128690416e-4,17266,0.6138384538138595
raj,early_marriage_placebo,share_married_w,zero_dose_band,treat_2005,0.007053214059380685,0.001902169454044856,2.121968782408545e-4,20709,0.5411807205045553
raj,early_marriage_placebo,share_married_w,zero_dose_band,treat_2010,2.4745842764564555e-4,0.0017435671313420532,0.8871463158234074,20709,0.5411807205045553
raj,early_marriage_interaction,share_married_w,s2_interacted,dose_main:band19-21,0.009095959704810492,0.0045879361247557066,0.04749322159546569,62125,0.8192292296188558
raj,early_marriage_interaction,share_married_w,s2_interacted,dose_main:band22-25,0.015368180644701863,0.0055827647284221495,0.005939847522290147,62125,0.8192292296188558
raj,early_marriage_interaction,share_married_w,s2_interacted,dose_main:band26-30,0.035476869329812075,0.009733863152590148,2.716591282670826e-4,62125,0.8192292296188558
up,early_marriage_19-21,share_married_w,s1,dose_main,-0.007524661204952833,0.003732866391447127,0.0438362989678161,54119,0.46111182270454554
up,early_marriage_19-21,share_married_w,s2,dose_main,-0.0021772353538293083,0.002264266932938542,0.33628133243123126,54103,0.5469159381565625
up,early_marriage_19-21,natal_share_w,s1,dose_main,0.007444190029064742,0.0036345402351322265,0.04055608069019024,54119,0.46044935908696816
up,early_marriage_19-21,natal_share_w,s2,dose_main,0.0023003382200313034,0.0022403251660531895,0.30453347361842165,54103,0.5450785965269425
up,early_marriage_22-25,share_married_w,s1,dose_main,0.003678630337727742,0.005893416025069243,0.5325081421720129,76296,0.3732033825969263
up,early_marriage_22-25,share_married_w,s2,dose_main,0.009804398415742734,0.002841133714595801,5.599779668077557e-4,76280,0.4844524471035422
up,early_marriage_22-25,natal_share_w,s1,dose_main,-0.0037000858717879124,0.0056916812107739335,0.5156440709628345,76296,0.3723042743312909
up,early_marriage_22-25,natal_share_w,s2,dose_main,-0.009724762039539444,0.0027986435384502483,5.123427930051055e-4,76280,0.4812867522152091
up,early_marriage_26-30,share_married_w,s1,dose_main,0.007906542865697683,0.018301611968868016,0.6657364941558674,94778,0.35417877146234134
up,early_marriage_26-30,share_married_w,s2,dose_main,0.02135978830640948,0.007759887001997008,0.005918161613752128,94758,0.5031696742825249
up,early_marriage_26-30,natal_share_w,s1,dose_main,-0.006220311115207025,0.017716364547397695,0.7255131501832408,94778,0.3610272658146604
up,early_marriage_26-30,natal_share_w,s2,dose_main,-0.019541986493852935,0.007615816878012143,0.01029620779449825,94758,0.5061529423011888
up,early_marriage_placebo,share_married_w,zero_dose_band,treat_2005,0.0030941502044414845,0.0011893103624841083,0.009285231220866455,114586,0.5296934377958853
up,early_marriage_placebo,share_married_w,zero_dose_band,treat_2010,-0.001452322614462682,0.0012333774070960703,0.2390039515612868,114586,0.5296934377958853
up,early_marriage_interaction,share_married_w,s2_interacted,dose_main:band19-21,-0.0020661988836313924,0.00222315307759175,0.3526934628729027,339727,0.7806402609731851
up,early_marriage_interaction,share_married_w,s2_interacted,dose_main:band22-25,0.010558909956539143,0.0027786939963683087,1.4517122849713927e-4,339727,0.7806402609731851
up,early_marriage_interaction,share_married_w,s2_interacted,dose_main:band26-30,0.022815957271525154,0.007783776612423165,0.0033803384345651374,339727,0.7806402609731851
