wife_birth_year,n_couples,mean_gap,med_gap,p10,p90,share_negative,share_implausible,share_contested
1919,193,-40.09844559585492,-41,-67.6,-10.399999999999977,0.9740932642487047,0.8704663212435233,0.32642487046632124
1920,317,-42.08832807570978,-43,-70,-15.599999999999966,0.9558359621451105,0.8990536277602523,0.4668769716088328
1921,363,-33.71349862258953,-36,-68.8,1,0.8126721763085399,0.721763085399449,0.349862258953168
1922,822,-30.52676399026764,-34,-64,2,0.754257907542579,0.6861313868613139,0.3722627737226277
1923,570,-23.575438596491228,-23,-61.099999999999994,3,0.5859649122807018,0.531578947368421,0.30526315789473685
1924,1093,-15.369624885635865,2,-56.8,4,0.42451967063129004,0.37328453796889294,0.22140896614821592
1925,1248,-17.389423076923077,1,-58,5,0.46073717948717946,0.4206730769230769,0.25560897435897434
1926,1613,-10.543707377557347,2,-46,5,0.347179169249845,0.30254184748915064,0.20706757594544328
1927,3501,-9.527849185946872,3,-45,5,0.33590402742073694,0.28820337046558125,0.20165666952299344
1928,2179,-6.800826067003213,2,-40.19999999999999,5,0.26480036714089034,0.22303809086737036,0.14960991280403854
1929,2759,-5.776368249365712,2,-37,5,0.2508155128669808,0.20877129394708227,0.15911562160202972
1930,4927,-6.199106961639943,3,-39,5,0.25471889587984575,0.218591434950274,0.1591231987010351
1931,5146,-3.6068791294209093,3,-33,5,0.20579090555771473,0.16731441896618732,0.13058686358336571
1932,11082,-2.89550622631294,3,-31,5,0.18868435300487277,0.15827467966071107,0.128135715574806
1933,6901,-1.751775105057238,2,-25,5,0.16113606723663237,0.1205622373569048,0.10157948123460368
1934,12247,-1.004572548379195,2,-17,5,0.13342042949293706,0.10165754878745815,0.09055278843798481
1935,12504,-1.2029750479846448,3,-23,5,0.15195137555982086,0.11612284069097889,0.10812539987204095
1936,15344,0.30761209593326383,3,-5,6,0.11854796663190824,0.08276850886339937,0.08035714285714286
1937,26535,0.6140945920482381,4,-5,5,0.11268136423591484,0.08321085358959865,0.08230638778971171
1938,17425,1.085509325681492,3,0,6,0.09486370157819225,0.060832137733142035,0.06949784791965567
1939,21380,1.3792329279700655,3,0,6,0.08713751169317119,0.05729653882132835,0.06318989710009354
1940,31954,1.5628716279652,3,0,6,0.08546660824935845,0.05714464542780247,0.06415472241346937
1941,30090,2.0336989032901296,3,0,6,0.07720172814888668,0.04556331006979063,0.05812562313060818
1942,57292,2.315366892410808,4,1,7,0.07196467220554353,0.04557355302660057,0.05892620261118481
1943,39689,2.16903928040515,3,1,6,0.06868401824183024,0.03519866965657991,0.05286099423013933
1944,56728,2.2143738541813565,2,1,6,0.06039345649414751,0.030443519954872374,0.049446481455365954
1945,55296,2.474464699074074,3,1,6,0.06419994212962964,0.033619068287037035,0.051576967592592594
1946,62366,2.7832633165506846,3,1,6,0.057996344161883075,0.025350351152871757,0.04762210178622968
1947,98726,3.1109636772481415,4,1,6,0.0507768976763973,0.024026092417397647,0.046644247715900575
