wife_birth_year,n_couples,mean_gap,med_gap,p10,p90,share_negative,share_implausible,share_contested
1948,64973,2.7882197220383853,3,1,6,0.0522063010789097,0.01974666399889185,0.04367968232958306
1949,73457,2.9683624433341955,3,1,6,0.04681650489401963,0.016839783819105055,0.04218794668990021
1950,103642,3.201346944288995,3,1,6,0.043119584724339556,0.016711371837671987,0.04235734547770209
1951,90033,3.2718780891450914,3,1,6,0.04428376262037253,0.014350293781169128,0.04175135783546033
1952,151016,3.5406115908248132,4,1,7,0.03955210043968851,0.013660804153202309,0.0421346082534301
1953,101319,3.0643018584865622,3,1,6,0.04771069592080459,0.011912869254532714,0.041107788272683306
1954,146264,2.97584504731171,3,1,6,0.042648908822403325,0.010125526445331729,0.039121041404583494
1955,131752,3.2371880502762767,3,1,6,0.045350355212824094,0.010314833930414718,0.0399083125872852
1956,145114,3.3052221012445386,3,1,6,0.043489945835687806,0.008600135066223796,0.038466309246523424
1957,201524,3.5805561620452155,3,1,6,0.03772255413747246,0.0075871856453821876,0.03957841249677458
1958,145072,3.1615956214845045,3,1,6,0.04127605602735194,0.0066932281901400685,0.037519300761001434
1959,166956,3.245771340952107,3,1,6,0.037548815256714344,0.0060135604590431015,0.03765063849157862
1960,221903,3.420566643984083,3,1,6,0.03470435280280122,0.005606053095271357,0.036853940685795145
1961,189708,3.404611297362262,3,1,6,0.03783709701225041,0.005471566829021443,0.036909355430451006
1962,293341,3.6320971156435684,3,1,6,0.030565110230073533,0.0044964733876273685,0.03667063247210584
1963,196122,3.257115468942801,3,1,6,0.036905599575774266,0.004614474663729719,0.03603879218037752
1964,282097,3.122663481001216,2,1,6,0.03359837219112575,0.003899367947904444,0.03592026856010521
1965,240059,3.339387400597353,3,1,6,0.034204091494174346,0.003986519980504793,0.03565790076606168
1966,261058,3.310858123482138,3,1,6,0.03446743635513947,0.0036390380681687595,0.034601506178703584
1967,328734,3.494734344485207,3,1,6,0.03155742941101316,0.003257953238788808,0.03494010354876587
1968,257701,3.179250371554631,3,1,6,0.03369796779989212,0.0032945157372303562,0.03461375780458749
1969,265631,3.2179489592705672,3,1,6,0.03272961363696256,0.002797113288735125,0.03313619268835339
1970,313825,3.3672269576993545,3,1,6,0.031192543615072094,0.002526886003345814,0.033869194614833106
1971,213840,3.2739665170220724,3,1,6,0.03523662551440329,0.0025158997381219605,0.03360456416011971
1972,343169,3.390466504841638,3,1,6,0.032039607307186836,0.002054381368946496,0.03370933854747952
1973,258456,3.1920945925031727,3,1,6,0.0369734113350048,0.0025497570186027796,0.03411412387408302
1974,272529,3.1684371204532362,2,1,7,0.03475960356512518,0.0020401498556116963,0.032950621768692505
1975,201758,3.5580794813588557,3,1,7,0.036459520812061975,0.0021907433658144904,0.03472972571100031
1976,214262,3.873981387273525,3,1,8,0.03858360325209323,0.002156238623741027,0.03495720193034696
1977,245024,4.298456477732794,4,1,9,0.036233185320621655,0.0019018545122110487,0.03517614601018676
1978,205326,4.44949494949495,4,1,9,0.042868414131673534,0.002069879119059447,0.03623993064687375
1979,226895,4.676894598823244,4,1,10,0.04479164371184909,0.0015998589656008285,0.034262544348707555
1980,260233,4.804336882716642,4,1,10,0.04494433834294651,0.0012373526800982197,0.0345459645778975
1981,284704,4.741078453411262,4,1,10,0.04808854108126335,0.0010748004945487243,0.034358491626390916
1982,307826,4.790667454990807,3,1,10,0.04249803460396458,8.34887241493571e-4,0.031150715014326275
1983,338659,4.316935324323286,3,0,11,0.049016857665084936,0.0010128182035616948,0.03505886452153936
1984,405126,3.966284563321041,2,0,10,0.040841614707523094,0.0010095624571121082,0.03519152066270741
1985,271154,4.011650206155911,3,0,11,0.05291457990662133,0.001146949703858324,0.03985189228261431
1986,272995,4.13836883459404,3,0,10,0.061799666660561546,9.414091833183758e-4,0.03974431766149563
1987,284006,4.246142687126328,3,0,10,0.06704435821778414,9.471630881037724e-4,0.039594233924635396
1988,303669,4.446983393102358,4,0,10,0.06682275767365124,0.0012217249702801405,0.039967859742021744
1989,341508,4.3276965693336615,3,0,9,0.07081239678133455,0.0012854750108342997,0.04006348313948722
1990,328924,4.164682419039049,3,0,9,0.07827340054237453,0.001419780861232382,0.042246841215599955
1991,305838,4.195521812201231,3,0,9,0.09037464278474225,0.001334039589586644,0.041299642294286516
1992,287246,4.2087792345237185,3,0,9,0.09348084916761243,0.0016048961517305723,0.044975386950558055
1993,359750,4.3250006949270325,3,0,10,0.08672411396803335,0.0017623349548297428,0.04506184850590688
1994,328625,4.28109243058197,3,0,10,0.079315329022442,0.0021726892354507416,0.047220996576645115
1995,279678,4.317393574038716,3,0,10,0.06325488597601528,0.00256366249758651,0.05331845908509071
1996,170638,4.547451329715538,3,0,10,0.05560308958145314,0.0032114769277652106,0.06349699363564974
1997,110738,4.826816449637884,3,0,10,0.054579277212880854,0.0034134624067619066,0.0719536202568224
1998,117568,5.546313622754491,4,0,12,0.04221386771910724,0.004082743603701687,0.07814201143168209
1999,74086,6.0009043543989415,4,0,12,0,0.006411467753691656,0.08668304402991119
2000,19,7.315789473684211,6,1.8,9,0,0,0.05263157894736842
