n_cells,n_gps,mean_share_married,mean_dose,total_women,state,band
10399,3468,0.487052790464738,0.6854412597616759,358417,raj,19-21
13872,3468,0.7303187326613229,0.3452070501303898,769234,raj,22-25
17336,3468,0.865444635491911,0.07090722194347655,859007,raj,26-30
20804,3468,0.9382756084078019,0,918956,raj,31-36
60300,20352,0.44998936990087435,0.6552337293045181,752580,up,19-21
81418,20357,0.5126997095094109,0.3911915699657634,2255839,up,22-25
101749,20357,0.7736358756197942,0.05898982931489298,2771888,up,26-30
122112,20357,0.9165652281773282,0,3458582,up,31-36
