district_std,n_parts,n_electors,share_with_candidate,share_with_main_town
8ajamer,5,4692,1,1
8alavar,193,163740,1,1
8baadamer,99,93819,1,1
8baaraa,29,19210,1,0.9310344827586207
8beekaaner,18,14704,1,1
8bharathapur,23,21268,1,1
8chooru,28,32013,1,1
8dhoulapur,11,8003,1,1
8dousaa,13,11847,1,0.7692307692307693
8gamgaanagar,152,142867,0.9868421052631579,0.9407894736842105
8jaalour,28,24965,1,1
8jaisalamer,2,879,1,1
8jayapur,25,22326,1,1
8karoulee,20,17737,1,1
8paalee,188,170801,1,1
8savaaeemaadhoopur,121,107346,1,0.9090909090909091
8seekar,17,17228,1,1
8suajhhun,6,5712,1,1
8toumk,110,108507,1,0.990909090909091
a savaaeemaadhoopur,1,540,1,1
aad,15,11852,1,1
ajamer,1884,1767395,0.9989384288747346,0.9835456475583864
alavar,2268,2018195,0.9995590828924162,0.8465608465608465
amet,4,2416,1,1
baadamer,1688,1215486,0.9994075829383886,0.9881516587677726
baamsavaadaa,1274,1108562,1,0.989010989010989
baaraa,662,550378,1,1
beekaaner,1153,1125826,1,0.9939288811795317
bharathapur,1363,1307469,1,0.9926632428466617
bheelavaadaa,1582,1371410,1,0.9962073324905183
booadee,876,750354,0.997716894977169,0.9657534246575342
chiththoudagadh,312,246716,1,0.9935897435897436
chooru,126,122037,1,0.9920634920634921
dhoulapur,645,528867,1,0.9658914728682171
doomgarapur,1003,882051,0.9980059820538385,0.9002991026919243
dousaa,791,687174,0.9949431099873578,0.8975979772439949
ee jhhaalaavaad,10,8031,1,1
gamgaanagar,1243,1061991,0.995172968624296,0.9082864038616251
h alavar,3,2566,1,1
h aret,8,6032,1,1
h baadamer,285,203994,1,0.9929824561403509
h baaraa,318,255634,1,0.9842767295597484
h beekaaner,237,214252,1,1
h dhoulapur,260,211241,1,0.9653846153846154
h dousaa,425,351850,1,0.8776470588235294
h jaalour,286,271681,1,0.993006993006993
h jaisalamer,179,105051,1,1
h jayapur,55,46124,1,1
h karoulee,321,288162,1,1
h paalee,109,89056,1,1
h savaaeemaadhoopur,9,8913,1,1
h seekar,550,518596,1,1
h toumk,127,106151,1,0.968503937007874
hai ajamer,1,845,1,1
hai bharathapur,4,3592,1,0.75
hai chiththoudagadh,3,1410,1,1
hai jayapur,2,1691,1,1
hai jhhaalaavaad,7,6210,1,1
hai savaaeemaadhoopur,8,6597,1,1
hanumaanagadh,1059,1047216,1,0.9886685552407932
he ajamer,1,1222,1,1
he alavar,7,5018,1,1
he bheelavaadaa,13,10710,1,1
he jayapur,8,7240,1,1
he kootaa,3,2310,1,1
hi ajamer,8,4404,1,1
hi alavar,186,155841,1,0.978494623655914
hi bharathapur,292,262971,1,0.9965753424657534
hi chooru,76,66547,1,1
hi hanumaanagadh,11,10644,1,1
hi jayapur,1445,1553799,1,1
hi joodhapur,198,165030,1,0.9595959595959596
hi kootaa,106,80099,1,1
hi qe,26,21238,1,1
hi savaaeemaadhoopur,1,1073,1,1
hi suajhhun,432,371563,1,1
hu seekar,2,1701,1,1
jaalour,1001,942689,1,0.997002997002997
jaisalamer,427,290925,1,1
jayapur,2991,2799922,0.9996656636576395,0.9893012370444667
jhhaalaavaad,653,562393,1,0.9908116385911179
joodhapur,2119,2000332,0.998112317130722,0.9263803680981595
karoulee,687,635888,1,0.9941775836972343
kootaa,1272,1211060,0.9984276729559748,0.9889937106918238
naagour,2481,2291386,0.9991938734381298,0.9911326078194277
paalee,1370,1246669,0.9992700729927008,0.9846715328467154
prathaapagadh,417,343157,1,0.9928057553956835
qe,1261,1134992,0.9968279143536876,0.9484536082474226
raajasamand,954,802351,1,0.9989517819706499
sajhhuajhhunoo,4,2725,1,1
savaaeemaadhoopur,802,752999,1,0.9613466334164589
seekar,1366,1264436,1,0.9948755490483162
siroohee,702,693664,1,0.9829059829059829
suajhhun,408,373427,1,1
suajhhunoo,884,815692,1,0.997737556561086
toumk,804,676325,1,0.8843283582089553
udayapur,2362,2054674,0.9991532599491956,0.9847586790855207
४alavar,6,4655,1,1
४baadamer,25,21525,1,1
४baaraa,6,4910,1,1
४beekaaner,7,5750,1,1
४bharathapur,26,28019,1,1
४chooru,2,2277,1,1
४dhoulapur,6,4776,1,1
४jaalour,7,5751,1,1
४jayapur,5,4416,1,1
४naagour,1,712,1,1
४paalee,37,31968,1,1
४seekar,6,5531,1,1
४toumk,24,26372,1,1
