state,outcome,term,estimate,se,p,mean_outcome,n
raj,matched_to_rolls,treat_2005,-0.008297008268796606,0.008411950196158929,0.32401405242810777,0.6644951140065146,5219
raj,matched_to_rolls,treat_2010,-0.008166967634451914,0.007924550601706713,0.30278059567620036,0.6644951140065146,5219
raj,log_electors_bridged,treat_2005,-0.014334182915164985,0.02373985319859839,0.546014591702756,8.018767084072651,3456
raj,log_electors_bridged,treat_2010,-0.03818984656517586,0.02280907936621221,0.09415695281515522,8.018767084072651,3456
up,matched_to_rolls,treat_2005,-0.0032385346728451246,0.004428615598152359,0.46461661899943174,0.6244095454266609,32600
up,matched_to_rolls,treat_2010,-0.004444321592356241,0.004582496567949756,0.33212984347142605,0.6244095454266609,32600
up,log_electors_bridged,treat_2005,-0.04872610333963093,0.009704242956636936,5.180677194732587e-7,7.5372693441253915,20353
up,log_electors_bridged,treat_2010,0.011285238933274721,0.010107340920836316,0.2642047265160565,7.5372693441253915,20353
