covar,term,estimate,se,p,state
log_pop,treat_2005,-0.030179464243433367,0.009091835701966186,9.04967228279899e-4,up
log_pop,treat_2010,-0.022730891471558094,0.009206440062499977,0.013563069988772778,up
lit_rate,treat_2005,-0.004527902262945864,0.0014339158482126635,0.001594290620192925,up
lit_rate,treat_2010,-0.0031494098896419917,0.0014512256907641037,0.03001462952840555,up
f_lit_rate,treat_2005,-0.006153428173771969,0.001489043051598618,3.614808825031624e-5,up
f_lit_rate,treat_2010,-0.004355391118320345,0.001508010359442623,0.0038822816197903232,up
