state,design,outcome,spec,term,estimate,se,p,n,r2
raj,natal,natal_share_w,s1,dose_main,-0.02058360137550581,0.010100391147129874,0.041635550401931905,251260,0.8000651200842056
raj,natal,natal_share_w,s2,dose_main,-0.013854767770891336,0.0049943764233779005,0.0055656551316234535,250279,0.8620761416187682
raj,natal,natal_share_w,s3,dose_main,-0.017002683394307626,0.008682655288170344,0.05028246947284928,251260,0.8526092891388755
raj,natal,natal_share_w,s4,exp_2005,-0.016428169811570057,0.004944005641765977,9.003171490113757e-4,250279,0.8622510770664247
raj,natal,natal_share_w,s4,exp_2010,0.002795440795673734,0.005308585083573047,0.598513060242921,250279,0.8622510770664247
raj,natal,natal_ratio,s1,dose_main,-0.01592632781423858,0.008019183770476123,0.04710878321332539,234369,0.6968002636004487
raj,natal,natal_ratio,s2,dose_main,-0.01100453033339902,0.004333757402115663,0.011152259487412306,233177,0.7646187023022951
raj,natal,natal_ratio,s3,dose_main,-0.012964323057010878,0.006793168064239192,0.056417457376993045,234369,0.7533982129554733
raj,natal,natal_ratio,s4,exp_2005,-0.013567165744298133,0.004224564393638685,0.0013325790074355745,233177,0.7648005490245761
raj,natal,natal_ratio,s4,exp_2010,0.0019382720208840165,0.004700153517746048,0.6800829642583022,233177,0.7648005490245761
up,natal,natal_share_w,s1,dose_main,-0.001550911241425954,0.005024281438328131,0.757565891105466,1228964,0.8318008536488004
up,natal,natal_share_w,s2,dose_main,-0.007286957589892103,0.00240416253805218,0.002440910753581253,1227149,0.8639548638004046
up,natal,natal_share_w,s3,dose_main,-0.0011296928224065507,0.0038775498000421208,0.770792985279523,1228964,0.863353783137822
up,natal,natal_share_w,s4,exp_2005,-0.007413109653233047,0.002224128158964915,8.606538459589755e-4,1227149,0.8639765820545162
up,natal,natal_share_w,s4,exp_2010,6.993666819774495e-5,0.0025217894269490677,0.977875430330172,1227149,0.8639765820545162
up,natal,natal_ratio,s1,dose_main,-0.05480077227409202,0.035151411246657695,0.1190147957536734,1129671,0.24894717681484635
up,natal,natal_ratio,s2,dose_main,-0.017890950182753874,0.008516989194486348,0.03568747496886371,1127894,0.8258687972851312
up,natal,natal_ratio,s3,dose_main,-0.06072627512761536,0.03920587153600399,0.12142046163600229,1129671,0.26019492407580114
up,natal,natal_ratio,s4,exp_2005,-0.010541420240833148,0.004887831011772638,0.03104410179109202,1127894,0.8258763198897225
up,natal,natal_ratio,s4,exp_2010,-0.026065908236835234,0.01417901013740324,0.06602712712103376,1127894,0.8258763198897225
