district_part,n_linked,n_married_with_hh,linkage_rate
8chooru,9438,13106,0.7201281855638639
_jayapur,1644,2317,0.7095381959430298
_paalee,10059,13745,0.7318297562750091
prathaapagadh,86014,121618,0.7072472824746336
h_beekaaner,67998,88166,0.7712496880883788
h_seekar,150354,209627,0.7172453930075802
hi_kootaa,23152,31402,0.737277880389784
jhhaalaavaad,150534,207541,0.7253217436554705
_baadamer,7397,9682,0.7639950423466226
suajhhun_,101245,151259,0.6693486007444185
_naagour,217,315,0.6888888888888889
_siroohee,747,1000,0.747
gamgaanagar,312027,417954,0.7465582336812185
h_toumk,33087,44308,0.7467500225692877
_suajhhun_,321,476,0.6743697478991597
h_baaraa,75792,103314,0.7336082234740693
naagour,731318,967706,0.7557233291929574
8toumk,24064,37958,0.6339638547868697
bharathapur,384709,527336,0.7295329732845851
8baaraa,5857,7744,0.7563274793388429
_prathaapagadh,16507,23487,0.7028143228168774
paalee,369615,512988,0.7205139301504129
sajhhuajhhunoo,798,1098,0.726775956284153
toumk,207086,279412,0.7411492706111406
a_savaaeemaadhoopur,164,228,0.7192982456140351
suajhhunoo,224779,330403,0.6803176726603573
_toumk,7180,10123,0.709275906351872
_baamsavaadaa,30727,42277,0.7268018071291719
hi_savaaeemaadhoopur,319,431,0.740139211136891
jaalour,299080,396776,0.7537754299655222
siroohee,201608,282065,0.7147572368071189
_hanumaanagadh,173,221,0.7828054298642534
dhoulapur,151387,208190,0.7271578846246217
h_aret,1950,2525,0.7722772277227723
amet,730,967,0.7549120992761117
karoulee,186158,257156,0.7239107778935743
qe,358794,471994,0.7601664427937643
8savaaeemaadhoopur,30864,43020,0.7174337517433752
savaaeemaadhoopur,189804,270384,0.7019794070655069
8dousaa,3597,4894,0.734981610134859
8jayapur,6417,9119,0.7036955806557736
hai_bharathapur,1113,1480,0.7520270270270271
he_alavar,1501,2066,0.7265246853823815
8bharathapur,6555,8787,0.7459883919426425
booadee,216840,300989,0.7204249989202263
hi_joodhapur,54151,69745,0.7764140798623558
8karoulee,5057,7139,0.7083625157585096
h_paalee,27014,37010,0.7299108349094839
hai_savaaeemaadhoopur,1886,2697,0.6992955135335558
hu_seekar,561,762,0.7362204724409449
8ajamer,1344,1863,0.7214170692431562
8beekaaner,4998,6236,0.8014753046824887
h_dousaa,106356,144788,0.7345636378705418
doomgarapur,263642,371992,0.7087302952751672
he_bheelavaadaa,3379,4681,0.7218543046357616
hi_hanumaanagadh,3458,4471,0.7734287631402371
_bharathapur,7529,10724,0.7020701230883999
_baaraa,1406,1912,0.7353556485355649
_dhoulapur,1507,1965,0.7669211195928753
beekaaner,339342,451635,0.7513633797203494
h_savaaeemaadhoopur,2125,3345,0.6352765321375187
h_karoulee,86286,118455,0.7284285171584146
he_jayapur,1940,2833,0.6847864454641722
raajasamand,243497,340140,0.7158728758746399
he_ajamer,380,529,0.718336483931947
8alavar,48957,67482,0.7254823508491153
_chiththoudagadh,42043,59656,0.7047572750435832
aad,3427,5008,0.6843051118210862
joodhapur,583251,806886,0.7228418884452079
_seekar,50666,68166,0.7432737728486342
chooru,36255,49607,0.7308444372769972
hi_qe,7023,9086,0.7729473915914594
_joodhapur,768,1077,0.713091922005571
hi_alavar,46524,64639,0.719751233775275
jaisalamer,93155,121783,0.764926139116297
kootaa,307499,453306,0.6783475180121155
8jaalour,7980,10486,0.7610146862483311
alavar,575716,816623,0.7049960630548001
h_jayapur,13302,19048,0.6983410331793364
hai_chiththoudagadh,418,593,0.7048903878583473
hi_ajamer,1364,1931,0.7063697566027964
h_dhoulapur,58558,81917,0.7148455143620982
hanumaanagadh,320994,426228,0.7531039725217489
_chooru,739,943,0.7836691410392365
hai_jayapur,548,715,0.7664335664335664
hi_jayapur,361042,568872,0.6346629821822836
ee_jhhaalaavaad,2440,3298,0.739842328684051
8paalee,51255,69957,0.732664350958446
8dhoulapur,2391,3193,0.7488255559035389
ajamer,474486,711955,0.6664550428046716
_alavar,1436,2015,0.7126550868486352
h_alavar,737,1070,0.688785046728972
8jaisalamer,301,385,0.7818181818181819
baamsavaadaa,306907,426572,0.719472914302861
8seekar,4963,6776,0.7324380165289256
hai_ajamer,229,335,0.6835820895522388
_jaalour,1782,2404,0.7412645590682196
hai_jhhaalaavaad,1915,2582,0.7416731216111542
8baadamer,27490,38066,0.7221667629905952
8suajhhun_,1645,2402,0.6848459616985845
_savaaeemaadhoopur,17777,25519,0.6966182060425565
_beekaaner,1752,2302,0.7610773240660296
baadamer,387610,511666,0.7575449609706332
h_baadamer,66564,86916,0.7658428827833771
hi_bharathapur,80800,108361,0.7456557248456548
h_jaalour,84929,113800,0.7463005272407733
hi_suajhhun_,104771,152616,0.6865007600775803
seekar,322192,448237,0.7187983142846307
he_kootaa,624,874,0.7139588100686499
_jhhaalaavaad,14168,18977,0.7465879749170048
h_jaisalamer,32574,43255,0.7530690093630794
baaraa,158303,218438,0.724704492808028
bheelavaadaa,391094,572248,0.6834344549915421
hi_chooru,22112,28493,0.776050257958095
8gamgaanagar,39990,55167,0.7248898798194573
dousaa,204764,281271,0.727995420786359
udayapur,598912,843810,0.7097711570140197
chiththoudagadh,31717,44238,0.7169627921696279
jayapur,771898,1109332,0.6958223507480177
