district_std,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std,village_cand_3_std
mirjaapur, 229ke0abee0apee0ajee0 kaa0 musaphapharagamj ,meerajaapur ,meerajaapur,ke abee apee ajee kaa musaphapharagamj,ke abee apee ajee kaa musaphapharagamj
mathuraa, 308praa0avi0 saraay saalavaahan k0 n0  २,saraay saalavaahan ,saraay saalavaahan,praa avi saraay saalavaahan k n,praaevi saraay saalavaahan
kannouj, 286praa0apaa0 p0 bhaag ranuaaam ,ranavaam ,ranavaam,praa apaa p ranuaaam,praaepaa ranuaa
merath, 5praa0 vi0 phathehapur hamsaapur ,phathehapur hamsaapur ,phathehapur hamsaapur,praa vi phathehapur hamsaapur,praa vi phathehapur hamsaapur
goorakhapur, 89janathaa i0akaa0 indarapur kam0asam03 ,indarapur ,indarapur,janathaa i akaa indarapur kam asam,janathaa i akaa indarapur
baaraabamkee, 428praa൦avi൦ dhediyaa athi0 kaksh ,dhediyaa ,dhediyaa,praaavi dhediyaa athi,praanvi dhediyaa
ilaahaabaad, 5raajakeey baalikaa intar kaalej phaaphaamaoo uththaree bhaag-1 ,ilaahaabaad ,ilaahaabaad,raajakeey baalikaa intar kaalej phaaphaamaoo bhaag,raajakeey baalikaa iamtar kaalej phaaphaamaoo
maoo, 123praa0apaa0 goomthaa poo0 bhaag ,goomthaa ,goomthaa,praa apaa goomthaa poo,praae apaa goomthaa
aagaraa, 152poo0 maa0 vi0 haselaa HO nam0  1,haselaa ,haselaa,poo maa vi haselaa ho nam,poo maa vi hamselaa
baagapath, 185javaahar smaarak intar kaalij kamaraa n0  2nirashudaa ,nirapudaa ,nirapudaa,javaahar smaarak intar kaalij kamaraa n nirashudaa,javaahar smaarak intar kaalij nirapashudaa
baaraabamkee, 262poo0amaa0avi൦ paigambarapur kaksh sam0  १,biloulee (maharaaj ,biloulee maharaaj,poo amaa avi paigambarapur sam,poo amaa avi paigambarapur
kaanapur nagar, 53chandraavathee sarasvathee vi ni i kaalej naee basthee nayaa sivaleeraad k.sam  २,kaanapur ,kaanapur,chandraavathee sarasvathee ni kaalej naee basthee nayaa sivaleeraad ksam,chandraavathee sarasvathee vi ni dai kaalej naee basthee
bijanour, 336ji0ap0apraa0askool seh kaksh  २,Oe ,NA,ji ap apraa askool seh,ji ap apr askool seh
prathaapagadh, 244islaamiyaa skool dharamapur k൦asam൦൧൯ ,dharamapur ,dharamapur,islaamiyaa skool dharamapur kasam,islaamiyaa skool dharamapur
bijanour, 1praa0avi0 kaasamaabaad ,kaasamaabaad ,kaasamaabaad,praa avi kaasamaabaad,praaevi kaasamaabaad
bijanour, 369praa൦0avi0aharag൉avachaandan kaksh sam02 ,haragaamvachaandan ,haragaamvachaandan,praa avi aharagavachaandan sam,praaevi aharagavachaandan
etaa, 360praa0apaa0 jaithapuraa ,daasapur ,daasapur,praa apaa jaithapuraa,praaepaa jaithapuraa
bhadoohee, 223praa0avi0 arathaa ,arathaa ,arathaa,praa avi arathaa,praa avi arathaa
mahaaraajagamj, 187praa൦ vi൦ od഼avaliyaa ,odavaliyaa ,odavaliyaa,praa vi odavaliyaa,praa vi odavaliyaa
barelee, 228praa൦ paa൦ kataghar k0anam൦൨ ,barelee ,barelee,praa paa kataghar k anam,praa paa kataghar
sulthaanapur, 38praa0aevi0 jalaalapur bakharaa ,jalaalapur bakharaa ,jalaalapur bakharaa,praa aevi jalaalapur bakharaa,praa avi jalaalapur bakharaa
soonabhadr," 199u0apraa0akanyaavi0 anaparaa (gaamv), k0asam0-3 ",anaparaa ,anaparaa,u apraa akanyaavi anaparaa k asam,uchchapraathamik kanyaa anaparaa gaaav
ilaahaabaad, 346praa0 paa0 juguneedeeh poorvee bhaag ,juguneedeeh ,juguneedeeh,praa paa juguneedeeh,praa paa juguneedeeh
aagaraa, 250em൦ dee൦ jain haa൦ sai൦ skool moothee kataraa k൦ n൦  ५,aagaraa ,aagaraa,250em dee jain haa sai skool moothee kataraa k n,em dee jain haa sai skool moothee kataraa
ilaahaabaad, 324saahajee uchchathar maadhyamik vidyaalay maadhoupur ,maadhavapur ,maadhavapur,saahajee uchchathar maadhoupur,saahajee uchchathar vidayaathray maadhoupur
aajamagadh, 331praa0avi0 telhavaa chakavalee ,telhaaa chakabalee ,telhaaa chakabalee,praa avi telhavaa chakavalee,praa avi telhavaa chakavalee
haradooee, 11praa0apaa൦ baiphariyaa ,NA,NA,praa apaa baiphariyaa,praa apaa baiphariyaa
kaasagamj, 14praaepaa0 haivathapur m0 bheekamapur ,bheekapur ,bheekapur,praaepaa haivathapur m bheekamapur,praaepaa hevathapur m abheekamapur
vaaraanasee, 277be0apraa0apaa0 thelavariyaa choukaaghaat k0asam0  4,vaaraanasee ,vaaraanasee,be apraa apaa thelavariyaa choukaaghaat k asam,be apraaepaa thelavariyaa choukaaghaat
aleegadh, 37damgraaham iamsteetayoot praaimar saiksan mailarooj baaee paas kamaraa n0  4,aleegadh഼ ,aleegadh,damgraaham iamsteetayoot praaimar saiksan mailarooj baaee kamaraa n,iamgraaham iamsteetayoot praaimar saiksan mailarooj baaipaas
aleegadh, 104praaeemaree skool mour ,mour ,mour,praaeemaree skool mour,praaeemaree skool mour
aagaraa, 341sanaphalaavar joo0ahaa0askool saheed nagar tamkee ke paas k0an൦  ४,aagaraa ,aagaraa,sanaphalaavar joo ahaa askool saheed nagar tamkee k an,raaj phaaudesan skool saheed nagar pulis choukee
merath, 186nagar nigam praa0avi0 k0anam0-1 saraay bahaleem ,ALS ,als,nagar nigam praa avi k anam saraay bahaleem,nagar nigam praa avi saraay bahaleem
goorakhapur, 173baalabihaar narsaree skool basanan‍thapur k0anam0  4,goorakhapur ,goorakhapur,baalabihaar narsaree skool basananthapur k anam,baalabihaar narsaree skool basanthapur
bhadoohee, 93praanpaa൦ bhatevaraa nayaa bhavan kaksh  3,bhatevaraa ,bhatevaraa,praanpaa bhatevaraa nayaa,praa paa bhatevaraa nayaa
seethaapur, 318praa0 vi0 sahadevaa m0 kamkarakuee ,kamkarakuee ,kamkarakuee,praa vi sahadevaa m kamkarakuee,praa vi sahadevaa m kamkarakuee
muraadaabaad, 270chandrasain joo0ahaa0 skool dheemaree ,muraadaabaad ,muraadaabaad,chandrasain joo ahaa skool dheemaree,chandrasain joo ahaa skool dheemaree
NA, 234basan‍th i0akaa0 musaphapharagamj ,NA,NA,basanth i akaa musaphapharagamj,basanth i akaa musaphapharagamj
aajamagadh, 296praa0apaa0 hasanaadeeh (k0asam0-1 ,hasanaadeeh ,hasanaadeeh,praa apaa hasanaadeeh k asam,praaepaa hasanaadeeh
ilaahaabaad, 77praathamik vidyaalay bhadaraaumaragamj kaksh sam01 ,bhadaraa umaragamj ,bhadaraa umaragamj,praathamik bhadaraaumaragamj sam,vidayaalay bhadaraa umaragamj
goorakhapur, 394praa0 vi0 ahiroolee ,atharouraa ,atharouraa,praa vi ahiroolee,praa vi ahiroolee
sulthaanapur, 321pamth Skxze haa൦ skoo൦ amahat  3०bhaag ,amahat ,amahat,pamth skxze haa skoo amahat bhaag,ud go haa skoo amahat
vaaraanasee, 53dabloo0aech0asmith memooriyal slool sigaraa k0as01 ,vaaraanasee ,vaaraanasee,dabloo aech asmith memooriyal slool sigaraa k as,daubloo ech smith memooriyal skool sigaraa
chithrakoot, 218poorv maadhyamik vidyaalay rehataa  -u0 bhaag ,rehamtaa ,rehamtaa,poorv rehataa u,rehataa
phathehapur, 270praa0 paa0 kustheekalaa kaksh sam0  2,kuroostheekalaam ,kuroostheekalaam,praa paa kustheekalaa sam,praa aevi kuroostheekalaa
soonabhadr, 191praathamik vidyaalay kirahaliyaa ,kirahaliyaa ,kirahaliyaa,praathamik kirahaliyaa,kirahaliyaa
gaajeepur, 30praa0 paa0 kabeerapur ,kabeerapur ,kabeerapur,praa paa kabeerapur,praaepaa kabeerapur
itaavaa, 38praa0apaa0 rajapuraa thoothaaraam ,rajapuraa thoothaaraam ,rajapuraa thoothaaraam,praa apaa rajapuraa thoothaaraam,praaepaa rajapuraa thoothaaraam
bulandasahar, 69gulaavathee dee.en intar kaalej puraanaa bhavan poorvee bhaag k.nam  8,gulaavathee ,gulaavathee,gulaavathee deeen intar kaalej puraanaa knam,gulaavathee deeen intar kaalej puraanaa
baamdaa, 191praa0avi0 audahaa ,audahaa ,audahaa,praa avi audahaa,praaevi audahaa
aagaraa, 173praa0 vi0 nagalaa baharaavathee k0 nam0  1,n൦ baharaavathee ,n baharaavathee,praa vi nagalaa baharaavathee k nam,praa vi nagalaa baharaavathee
maoo, 67praaepaa0amaachhil j050abhaag ,maachhil jameen ,maachhil jameen,praaepaa amaachhil j abhaag,praaepaa aemaachhil j maachhil
kaasagamj, 14gamgesvar joo0ah0 maanapur nagariyaa k0anam0  4,maanapur nagariyaa ,maanapur nagariyaa,gamgesvar joo ah maanapur nagariyaa k anam,tha joo ahaa askool maanapur nagariyaa
mujaphpharanagar, 38nesanal haaee skool kamaraa nambar6 dathadhedt‌ Holl ,dadheddookalaa ,dadheddookalaa,nesanal haaee skool kamaraa nambar dathadhedt holl,nesanal haaee skool dadhedoo kalaam
baaraabamkee, 241praa0 vi0 khairaa kaksh sam0  १,khairaa ,khairaa,praa vi khairaa sam,praa vi khairaa
haatharas, 40praa0 paa0 barddhavaaree ,Hell er ,hell er,praa paa barddhavaaree,praa paa barddhavaaree
kousaambee, 414praa.vi diyaa d.bhaag ,diyaa uparahaar ,diyaa uparahaar,praavi diyaa dbhaag,praavi diyaa
seethaapur, 372praa0avi0 basaaraa k0anam0-1 ,basaaraa ,basaaraa,praa avi basaaraa k anam,praa avi basaaraa
baharaaich, 253praa0avi൦-soohabathiyaa k0anam൦-൯ ,soohabathiyaa ,soohabathiyaa,praa avisoohabathiyaa k anam,praa avisoohabathiyaa
raamapur, 82praathamik vadyaalay khedaa taamdaa athirikth kaksh s0-2 ,khedaa taandaa ,khedaa taandaa,praathamik vadyaalay khedaa taamdaa s,khedaa taamdaa
itaavaa, 325joo0 haa0 ber poorvee ,ber ,ber,joo haa ber,joo haa ber
aagaraa, 325praa0avi0 goopaalapuraa k0an01 ,kamatharee ,kamatharee,praa avi goopaalapuraa k an,praaevi goopaalapuraa
mahaaraajagamj, 76praa0avi0akhajuriyaa k0anam൦൨ ,khajuriyaa ,khajuriyaa,praa avi akhajuriyaa k anam,praa aevi akhajuriyaa
haradooee, 408praa൦ paa൦ laa>ainaa k൦ n൦  २,laanaa ,laanaa,praa paa laaainaa k n,praaepaa loonaa
badaayoom, 28praa vidhaalay nimathoolee k nam.-1 ,nimathoolee ,nimathoolee,praa vidhaalay nimathoolee nam,vidhaalay nimathoolee
mainapuree, 107praa0 paa0 beeloom kaksh sam൦  2,beelooouഁ ,beelooou,praa paa beeloom sam,beeloom
jaaloun, 317taaun haal bhavan uraee ,uraee ,uraee,taaun haal uraee,taaun haal uraee
kheeree, 39doulathaapur ,doulathaapur ,doulathaapur,doulathaapur,praaepaa doulathaapur
siddhaarthanagar, 251kapiyaa graant ,NA,NA,kapiyaa graant,praaevi kapiyaa graant
goorakhapur, 97poo0amaa0avi0 rithaaakhoor k0an0  3,rithuaakhoor ,rithuaakhoor,poo amaa avi rithaaakhoor k an,poo amaa avi rithaaakhoor
aleegadh, 120praa0 skool  3koudiyaagamj k0anam0  १,koudiyaagamj ,koudiyaagamj,praa skool koudiyaagamj k anam,praa skool n koudiyaagamj
kaanapur nagar, 14praa0 skool ramel baamgar kaksh sam0  2,ramel baagar ,ramel baagar,praa skool ramel baamgar sam,praaskool ramel baamgar
goorakhapur, 64praa0 vi0 jam0 jainul aavadeen urph semaraa ,jam0ajainul aavadeen ,jam ajainul aavadeen,praa vi jam jainul aavadeen urph semaraa,praa avi ajam jainul aavdeen urph semaraa
baliyaa, 2praa0apaa0 bhoopaalapur paschimee poo0 ,bhoopaalapur ,bhoopaalapur,praa apaa bhoopaalapur poo,praaepaa bhoopaalapur
ilaahaabaad, 345janathaa sikshaa sadan intar kaalej bhaarathagamj siroomanapur madhy bhaag-2 ,bhaarathagamj ,bhaarathagamj,janathaa sikshaa sadan intar kaalej bhaarathagamj siroomanapur madhy bhaag,janathaa sikshaa sadan iakaaabhaarathagamj siroomanapur
saahajahaaapur, 257praa0 skool kutaraa ,kutaraa ,kutaraa,praa skool kutaraa,praa skool kutaraa
mahaaraajagamj, 74praaevi0 adabadahavaa k0anam0  2,ad഼abad഼ahavaa ,adabadahavaa,praaevi adabadahavaa k anam,praa avi adabadahavaa
kheeree, 55laalapur ,laalapur ,laalapur,laalapur,praaepaa laalapur
basthee, 260praathamik vidyaalay sakthipur ,poore deevaan ,poore deevaan,praathamik sakthipur,sakthipur
bijanour, 278praa൦avi0 basedaa khemachamd ,basedaa khemachand ,basedaa khemachand,praaavi basedaa khemachamd,praaevi basedaa khemachamd
muraadaabaad, 225aar0aes0adee0 akaadamee pablik skool kaksh-൫ ,muraadaabaad ,muraadaabaad,aar aes adee akaadamee pablik skool kaksh,aar aes adee akaadamee pablik skool
mahoobaa, 22raa൦ai൦akaa“൦asreenagar kaksh sam൦  -4,sreenagar ,sreenagar,raaaiakaaasreenagar sam,raaaiakaaasreenagar
gaajiyaabaad, 680evarest p0 skool blaak see saaleemaar gaardan ,gaajiyaabaad ,gaajiyaabaad,evarest p skool blaak see saaleemaar gaardan,evarest p skool blaak see saaleemaar gaardan
seethaapur, 331praanvi൦ tikoulee k൦an൦-1 ,tikoulee ,tikoulee,praanvi tikoulee kan,praanavi tikoulee
mirjaapur, 96mahesabhatatataachaary i0akaa0 akoodee ,akoodhee ,akoodhee,mahesabhatatataachaary i akaa akoodee,mahesabhatataachaary i akaa akoothee
haradooee, 108joo0ahaa0 skool maadhoomgamj athi0akaksh ,davabaalathayaarapur ,davabaalathayaarapur,joo ahaa skool maadhoomgamj athi akaksh,ju ahaa asakool maadhoumgamj n paa
mirjaapur, 35praa0avi0 goodhanaa pratham ,goodhanaa ,goodhanaa,praa avi goodhanaa pratham,praa aevi goodhanaa pratham
basthee, 377jooniyar haaee skool kudarahaa ,kudarahaa ,kudarahaa,jooniyar haaee skool kudarahaa,jooniyar haaee skool kudarahaa
auraiyaa, 3praa.vi rahamaapur ,rahamaapur ,rahamaapur,praavi rahamaapur,praa vi rahamaapur
merath, 334gaamdhee sathaabdee i0akaa0ak0an0  -4kailee ,kailee ,kailee,gaamdhee sathaabdee i akaa ak an kailee,gaamdhee sathaabdee i akaa kailee
gaajeepur, 139praa0 paa0 sahaabudadeenapur (poo0achhoor ,sahaabuddeenapur ,sahaabuddeenapur,praa paa sahaabudadeenapur poo achhoor,praa paa sahaabudadeenapur
jounapur, 31praa0apaa0 saareejahaamgeepatatee poo0abhaag ,saareejahaamgeerapattee ,saareejahaamgeerapattee,praa apaa saareejahaamgeepatatee poo abhaag,praae apaa saareejahaamgeer patatee
gaajeepur, 294praa൦avi൦ raeesapur poo൦achhoor ,raisapur ,raisapur,praaavi raeesapur pooachhoor,praaevi raeesapur
aajamagadh, 188praa0avi0 khajuree kaksh  -१,khajuree ,khajuree,praa avi khajuree,praa vi khajaree
baaraabamkee, 413praa൦avi൦ saraayapurakhoo ,WING ,wing,praaavi saraayapurakhoo,praanavi saraayapurakhoo
kaanapur nagar, 104praa vidyaalay ibraahimapur roums kaksh sam  ०2,kharapathapur ,kharapathapur,praa ibraahimapur roums sam,ibraahimapur roums
mathuraa, 6praaevi0 uhnjaanee k0an0  1,ujhhaanee baamgar ,ujhhaanee baamgar,praaevi uhnjaanee k an,praanavi uhnjaanee
mujaphpharanagar, 208madan moohan maalaveey intar kaalij nayaa bhavan uththar me k0anam0-34 ,mujaphpharanagar ,mujaphpharanagar,madan moohan maalaveey intar kaalij nayaa uththar me k anam,madan moohan maalaveey intar kaalij maalaveey chaik
auraiyaa, 124poo0amaa0avi൦ sibadhoonaa k0an൦  2,vidhoonaa ,vidhoonaa,poo amaa avi sibadhoonaa k an,poo amaa avi bidhoolanaa
kuseenagar, 368praa0apaa൦ jamasadaa ,jamasadaa ,jamasadaa,praa apaa jamasadaa,praa paa jamasadaa
kheeree, 39jhhakharaa m0 bhrudiyaa ,bhrudiyaa ,bhrudiyaa,jhhakharaa m bhrudiyaa,praaepaa jhhakharaa m bhrudiyaa
mirjaapur, 348praa0 vi0 bedoulee ,hariharapur ,hariharapur,praa vi bedoulee,praa vi bedoulee
sraavasthee, 195baraavaam haragun ,baraamvaa haragun ,baraamvaa haragun,baraavaam haragun,praaevi baraavaam haragun
ilaahaabaad, 363praathamik vidyaalay madaraa kaksh sam0  1,madaraa ,madaraa,praathamik madaraa sam,vidayaalay madaraa
basthee, 143praathamik vidyaalay parasaakuthub paschimee ,parasaa kuthub ,parasaa kuthub,praathamik parasaakuthub,parasaakuthub
basthee, 181praathamik vidyaalay dhainugaamvaakhurd madhy ,thenugaamvaakalaa ,thenugaamvaakalaa,praathamik dhainugaamvaakhurd madhy,dhenugaavaa khurd
balaraamapur, 316praa0 paa0 harakhad഼ee k0an൦  २,harakhad഼ee ,harakhadee,praa paa harakhadee k an,praa paa harakhadee
saamalee, 223praaimaree paathasaalaa n0  1k0 n0  2maalemdee ,maalendee ,maalendee,praaimaree paathasaalaa n k n maalemdee,praaimaree paathasaalaa n maalemdee
auraiyaa, 215praa0avi0 ludhapuraa ,sariyaapur ,sariyaapur,praa avi ludhapuraa,praa aevi thrudhapuraa
baharaaich, 332praa0avi0 soonaaree mahareekalaam k0anam02 ,mahareekalaa ,mahareekalaa,praa avi soonaaree mahareekalaam k anam,praa vi soonaaree mahareekalooaam
prathaapagadh, 280praa0avi0araayapur bhagadaraa kaksh sam൦  1,raayapur thiyaaee ,raayapur thiyaaee,praa avi araayapur bhagadaraa sam,praaevi araayapur bhagadaraa
kuseenagar, 219praa0apaa൦ chakhanee khaas poorvee khand ,chakhanee khaas ,chakhanee khaas,praa apaa chakhanee khaas khand,praaepaa chakhanee khaas
aagaraa, 106gu0ade0ak0ai0akaa0asamasaabaad k.n.1 ,samasaabaad ,samasaabaad,gu ade ak ai akaa asamasaabaad kn,gulakandee de ak ai akaa samasaabaad
aleegadh," 61j഼aakir hasain maaഁadal skool doodapur, kamaraa n0-൪ ",aleegadh഼ ,aleegadh,jaakir hasain maaadal skool doodapur kamaraa n,jaakir hasain maaadal skool doodapur
baharaaich, 326praa0avi൦ chhidakuree kam0anam൦-2 ,chhidakuree ,chhidakuree,praa avi chhidakuree kam anam,praaevi chhidakuree
devariyaa, 224praanvindoohanee toolaa mathiyaa ,doohanee ,doohanee,praanvindoohanee toolaa mathiyaa,praanavigdoohanee toolaa mathiyaa
kousaambee, 33praa0avi0 palhaanaa poo0 bhaag ,palhaanaa uparahaar ,palhaanaa uparahaar,praa avi palhaanaa poo,praa avi palhaanaa
basthee, 417praathamik vidyaalay sehadaakalaa poorvee ,semhadaakalaa ,semhadaakalaa,praathamik sehadaakalaa,sehadaakalaa
jaaloun, 150praaimaree skool suraavalee maadhoumgadh഼ ,suraavalee maadhougathadh ,suraavalee maadhougathadh,praaimaree skool suraavalee maadhoumgadh,praaimaree skool suraavalee maadhougadh
haradooee, 422praanpaa൦ naveen biroulee k൦anam൦-൨ ,baraalaa ,baraalaa,praanpaa naveen biroulee kanam,praa paa naveen biroolee
lalithapur, 388poo0amaa0 vi0 patanaamadaavaraa poo0 bhaag ,pamtanaamadaavaraa ,pamtanaamadaavaraa,poo amaa vi patanaamadaavaraa poo,poo maa vi patanaamadaavaraa
baharaaich, 1masaood gaajee garls intar kaalej daragaah k൦anam൦-1 ,baharaaich ,baharaaich,masaood gaajee garls intar kaalej daragaah kanam,masaood gaajee garls intar kaalej daragaah
kheeree, 49loukee m0 piparaachheet ,piparaachheet ,piparaachheet,loukee m piparaachheet,praa paa loukee m piparaachheet
peeleebheeth, 361gyaasapur ,beesalapur ,beesalapur,gyaasapur,nagar paalikaa parishad beesalapur kaaryaalay
sambhal, 220aachaary mukthes hakeem raees intar k൉alej kaksh-൩ ,NA,NA,aachaary mukthes hakeem raees intar kalej kaksh,aachaary mukthes hakeem raees intar kalej
baliyaa, 209praa0apaa0 piluee ,Wes ,wes,praa apaa piluee,praa apaa piluee
baaraabamkee, 157praa0 vi0 amooleekeerathapur ,amooleekaloo ,amooleekaloo,praa vi amooleekeerathapur,praaevi aamoolee keerathapur
soonabhadr," 215praa0avi0 poorvee paraasee, k0asam0-3 ",paraasee ,paraasee,praa avi paraasee k asam,paraasee
bijanour, 241moohibullaa iglis skool bakhseevaalaa rood bijanour kaksh  1,mukarapur khemaa ,mukarapur khemaa,moohibullaa iglis skool bakhseevaalaa rood bijanour,moohibullaa iglis skool bakhseevaalaa rood bukhaaraa
amethee, 386k0apraa0 vi0 raamagamj kaksh sam01 ,raamapur ,raamapur,k apraa vi raamagamj sam,k apraa avi araayapur raamagamj
merath, 223sarvooday iam0 kaa0 paamchalee khurd k0 nam0  3,paamchalee khumrd ,paamchalee khumrd,sarvooday iam kaa paamchalee khurd k nam,sarvooday i kaa paamchalee khurd
baliyaa, 54joo0ahaa0askool baghudee u0 ,baghudee ,baghudee,joo ahaa askool baghudee u,joo ahaa skool baghudee
pharookhaabaad, 16gourakhed഼aa ,gourakhedaa ,gourakhedaa,gourakhedaa,praaimaree paathasaalaa gourakhedaa
basthee, 423praathamik vidyaalay makadee ,makadee ,makadee,praathamik makadee,makadee
barelee, 7haartamain kaalej k0anam൦൧ ,barelee ,barelee,haartamain kaalej k anam,haartamain kaalej
goutham buddh nagar, 297praa0apaa0 bairamgapur urph naee basthee k0anam0  2,bairamgapur oorph naee ,bairamgapur oorph naee,praa apaa bairamgapur urph naee basthee k anam,praa apaa bairamgapur urph naee basthee
goorakhapur, 376praa0 vi0 bheeteevaal ,haralaalapuraa ,haralaalapuraa,praa vi bheeteevaal,praa vi bheeteebaal
goorakhapur, 208poorv maadhyamik vidyaathray dultahee ,dultahee ,dultahee,poorv vidyaathray dultahee,poo maa vi dultahee
kuseenagar, 180praa0apaa0 piparaa oorph thithalaa ,piparaa oorph thithalaa ,piparaa oorph thithalaa,praa apaa piparaa oorph thithalaa,praaepaa piparaa oorph thithalaa
sambhal, 99kanyaa jooniyar haaee skool maee kaksh-൨ ,maee ,maee,kanyaa jooniyar haaee skool maee kaksh,kanyaa joo ahaa maee
kannouj, 100praa0 vi0 u0 bhaag mathoulee ,mathoulee ,mathoulee,praa vi u mathoulee,praa vi mathoulee
baliyaa, 264praa0apaa0abairiyaa ,bairiyaa ,bairiyaa,praa apaa abairiyaa,praa apaa abairiyaa
chandoulee, 209k൦ joo൦ haa൦ skool katesar kaksh sam01 ,NA,NA,209k joo haa skool katesar sam01,k ajoo ahaa asakool katesar
balaraamapur, 234praa0apaa൦ nan‍douree ,nan‍douree ,nandouree,praa apaa nandouree,praa paa nandouree
seethaapur, 373raanb൦asoo൦ab൦ai൦akaa൦akamalaapur m൦amahoolee k൦anam൦-2 ,mahoolee ,mahoolee,raanbasooabaiakaaakamalaapur mamahoolee kanam,raabasooabaiakaaakamalaapur mamahoolee
prathaapagadh, 155praa0avi0 maharoopur ,maharoopur ,maharoopur,praa avi maharoopur,praa vi maharoopur
kaanapur nagar, 37aar e intar kaalej bakathouree puravaa kaksh sam  2bakthouree puravaa ,kaanapur ,kaanapur,37aar intar kaalej bakathouree puravaa sam 2bakthouree puravaa,aar intar kaalej bakathouree puravaa
baaraabamkee, 400raamasevak i0akaa0 lakhapedaabaag kamaraa n0  8,navaabagamj ,navaabagamj,raamasevak i akaa lakhapedaabaag kamaraa n,raamasevak i akaa lakhapedaabaag
baaraabamkee, 217praanvi൦ raamanagar d൦abhaag ,raamanagar ,raamanagar,praanvi raamanagar dabhaag,praaavi raamanagar
prathaapagadh, 72jilaa parishad haal kaksh samkhyaa  ०2,belhaa prathaapagadh ,belhaa prathaapagadh,jilaa parishad haal samkhyaa,jilaa parashid haal
aagaraa, 299manan‍saa devee joo0ahaa0 nahatoolee k0an൦൧ ,jaithapurakalaa ,jaithapurakalaa,manansaa devee joo ahaa nahatoolee k an,ara devee joo ahaa nahatoulee
raamapur, 367praathamik vidyaalay kaksh sam0  २,raayapur ,raayapur,praathamik sam,raayapur
kousaambee, 316praa0avi0 nan‍daa kaa pooraa (yusuphapur ,yoosuphapur ,yoosuphapur,praa avi nandaa pooraa yusuphapur,praa avi nandaa pooraa yusuphapur
