district_std,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std,village_cand_3_std
kaanapur dehaath, 273poorv maadhyamik vidyaalay dhoukalapur majaraa malaasaa ,malaasaa ,malaasaa,poorv dhoukalapur majaraa malaasaa,dhoukalapur majaraa malaasaa
jaaloun, 437uchch praaimaree Seat att ,naree ,naree,uchch praaimaree seat att,praaimaree skool naree
balaraamapur, 302praa0apaa0 gularihaa  30bhaag ,gularihaa ,gularihaa,praa apaa gularihaa bhaag,praaepaa gulnarihaa
ambedakar nagar, 229praathamik vidyaalay amaroulaa kaksh  २,akabarapur ,akabarapur,praathamik amaroulaa,amaroulaa
kousaambee, 353jagath naraayan karavariyaa i0akaa0 naaraa poorvee bhaag ,naaraa ,naaraa,jagath naraayan karavariyaa i akaa naaraa,jagath naraayan karavariyaa i akaa naaraa
lakhanaoo, 15mahaathmaa gaamdhee maantesaree skool nagariyaa thaakuragamj kaksh samkhyaa-1 ,NA,NA,mahaathmaa gaamdhee maantesaree skool nagariyaa thaakuragamj samkhyaa,mahaathmaa gaamdhee maantesaree skool nagariyaa thaakuragamj
saahajahaaapur, 19praa00apaa0 khaanapur dehaa ,khaanapur dehaa ,khaanapur dehaa,praa apaa khaanapur dehaa,praaepaa khaanapur dehaa
aleegadh," 172dee e vee kanyaa i kaa jee tee rood, kamaraa n0-൧൧ ",aleegadh഼ ,aleegadh,172dee vee kanyaa jee tee rood kamaraa n0,sua kanyaa id jee tee rood
unnaav, 440praa0apaa0 pathedhaa ,Ads ,ads,praa apaa pathedhaa,praapaa patethaa
gaajeepur, 17praa0 paa0 hameerapur ,hameerapur ,hameerapur,praa paa hameerapur,praa paa hameerapur
kaanapur nagar, 380praa.vi tharepaah kaksh sam  १,NA,NA,praavi tharepaah sam,tharepaah
sulthaanapur, 21praa൦avi൦ haiഁadhanaakalaam ,haimdhanaakhurd ,haimdhanaakhurd,praaavi haiadhanaakalaam,praa vi hadhanaa kalaam
balaraamapur, 8praa൦ paa൦ hindulee kalaa k൦ n൦2 ,hinduleekalaam ,hinduleekalaam,praa paa hindulee kalaa k n,praa hindulee kalaam
jhhaamsee, 201praa.vidyaalay semaree ,semaree ,semaree,praavidyaalay semaree,praa vi semaree
ilaahaabaad, 129praathamik vidyaalay sukulapur d0 bhaag ,chilaraa ,chilaraa,praathamik sukulapur d,sukulapur
ilaahaabaad, 334mook badhir vidyaalay jaarj taaun kamaraa nam.-10 ,ilaahaabaad ,ilaahaabaad,mook badhir jaarj taaun kamaraa nam,mook badhir vidayaalay jaarjataaun
siddhaarthanagar, 154jood഼eekuiyaa ,NA,NA,joodeekuiyaa,praa vi joodeekuiyaam
merath, 145praathamik fates nam.-2 kam0an0-2amujajaphapharanagar sainee ,mujaphphar nagar sainee ,mujaphphar nagar sainee,praathamik fates nam kam an amujajaphapharanagar sainee,praa vi n mujaphapharanagar sainee
mahaaraajagamj, 98praa൦ paa൦ hathihavaa k൦ n൦  १,hathihavaa ,hathihavaa,praa paa hathihavaa k n,praa paa hathihavaa
auraiyaa, 134praa0avi0 thurkeepur bhagavaanadaas ,thurkeepur bhagavaanadaas ,thurkeepur bhagavaanadaas,praa avi thurkeepur bhagavaanadaas,praaevi thurkeepur bhagavaanadaas
