district_std,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std,village_cand_3_std
savaaeemaadhoopur,86gaamvadee kalaam,gaavadee kalaam,gaavadee kalaam,gaamvadee kalaam,raajakeey gaamvadee kalaam
baamsavaadaa,144mootaag൉av,MOTA GAVE,mota gave,mootaagav,raajakeey vidyaalayabhavan daamyaa mootaagav
jayapur,43jaahoothaa,jaahoothaa,jaahoothaa,jaahoothaa,raajakeey vidhaalay jaahoothaa baamyaa
joodhapur,85baamsavaadaa nagar,baamsavaadaa nagar,baamsavaadaa nagar,baamsavaadaa nagar,raajakeey baamsavaadaa nagar
baadamer,mathadaan kendr kaa bhavan evam pathaa  :,samadadee,samadadee,NA,samadadee gaaav daayaam
naagour,19daagad഼ee,daagad഼ee,daagadee,daagadee,raajakeey daagadee
jayapur,60nrisimhapuraa,narasimhapuraa,narasimhapuraa,nrisimhapuraa,raajakeey nrisimhapuraa kamaraa nam
raajasamand,57pipalaanthree Hat,pipalaanthree kalaam,pipalaanthree kalaam,pipalaanthree hat,raajakeey aadars pipalaanthree baamyaa
dousaa,59paapadad഼aa,०paapadadaa,paapadadaa,paapadadaa,raajakeey paapadadaa kamaraa
hi jayapur,mathadaan kendr kaa bhavan evam pathaa  :,jayapur,jayapur,NA,kamaraa nam baamyaa
udayapur,45chiththoodeeyaa,chiththoodiyaa,chiththoodiyaa,chiththoodeeyaa,raajakeey vidhaalag chiththoodeeyaa lasaadiyaa
baaraa,148gulaabapuraa,gulaabapuraa,gulaabapuraa,gulaabapuraa,raajakeey gulaabapuraa
jayapur,65mahaapuraa,mahaapuraa,mahaapuraa,mahaapuraa,raajakeey saasthree samskrith mahaavidhaalay kamaraa mahaapuraa
paalee,mathadaan kendr kaa bhavan evam pathaa  :,०Sodpura,sodpura,NA,soodapuraa naananaa
joodhapur,121baaraa kalaam,baaraa kalaam,baaraa kalaam,baaraa kalaam,raajakeey baaraa kalaam daamyaa
raajasamand,77jhhoor,jhhoor,jhhoor,jhhoor,raajakeey samskath vidhaalay budhdapuraa
h jaisalamer,52arjanaa,sulthaanaa,sulthaanaa,arjanaa,raajakeey arjanaa
gamgaanagar,276 8St UA,8GM,8gm,st ua,raajakeey baalikaa goomaavaalee daayaam
toumk,186palaaee,palaaee,palaaee,palaaee,raajakeey palaaee daamyaa
hi suajhhun,253chiraanaa,chiraanaa,chiraanaa,chiraanaa,raajakeey samskrith chiraanaa
hi jayapur,38soorajapool baajaar,jayapur,jayapur,soorajapool baajaar,anjuman islaamiyaa mamsooriyaa midil skool baaboo teebaa kakshaa see
dousaa,127laalasoot,laalasoot,laalasoot,laalasoot,raajakeey kamaraa khooharaapaadaa laalasoot
paalee,3kalaalee,kalaalee,kalaalee,kalaalee,raajakeey aadars vighaalay daayaa kalaalee
suajhhun,162soolaanaa,soolaanaa,soolaanaa,soolaanaa,raajakeey daamyaa
alavar,230soorer,Surer,surer,soorer,raajakeey kamaraa soorer
booadee,108paandulaa,Pandoola,pandoola,paandulaa,raajakeey paamdulaa
raajasamand,137phatheh puraa,phathehapuraa,phathehapuraa,phatheh puraa,raajakeey phathehapuraa
hi jayapur,176AAT,jayapur,jayapur,176aat,raajakeey vidhaalay peelee thalaaee aamer k nam
jaalour,125|Get,Khara,khara,125get,raajakeey baayaa kamaraa khaaraa
paalee,58desooree,desooree,desooree,desooree,raajakeey aadars madhy desuree
bheelavaadaa,259ganesapuraa,Ganeshpura,ganeshpura,ganesapuraa,raajakeey kamaraa ganesapuraa
kootaa,58devaleekalaam,:,NA,devaleekalaam,raajakeey devalee kalaa kamaraa nam
udayapur,77karanajee kaa gud഼aa,०karanajee kaa gudaa,karanajee kaa gudaa,karanajee gudaa,raajakeey vidhaalagn karanajee gudaa
doomgarapur,160daiyaanaa,Daiyana,daiyana,daiyaanaa,raajakeey vidhaalay daiyaanaa
alavar,135lamgadabaas,Langar Bas,langar bas,lamgadabaas,raajakeey lamgadabaas
seekar,105ATA,saamer,saamer,105ata,raajakeey vidhaalay saamer baayaa
kootaa,199bisanapuraa,bisanapuraa,bisanapuraa,bisanapuraa,raajakeey k an bisanapuraa
karoulee,152dhavaan,dhavaan,dhavaan,dhavaan,raajakeey dhavaan
naagour,223moondavaa,moondavaa,moondavaa,moondavaa,raajakeey moondavaa
kootaa,243hareepuraa maamjhhee,haripuraa maamjhhee,haripuraa maamjhhee,hareepuraa maamjhhee,raajakeey haripuraa maamjhhee kamaraa n
paalee,mathadaan kendr kaa bhavan evam pathaa  :,sinalaa,sinalaa,NA,sinalaa
booadee,274koolaahedaa,Kolahera,kolahera,koolaahedaa,raajakeey koolaahedaa
ajamer,175sikharaanee,sikharaanee,sikharaanee,sikharaanee,raajakeey sikharaanee
alavar,56maajaree khurd,maajaree khud,maajaree khud,maajaree khurd,raajakeey maajaree khurd kamaraa
gamgaanagar,212 24WH Us sree gamgaanagar,24ML,24ml,wh us sree gamgaanagar,raajakeey emael
savaaeemaadhoopur,139kaanaseer,kaanaseer,kaanaseer,kaanaseer,raajakeey kaanaseer
jayapur,mathadaan kendr kaa bhavan evam pathaa  :,jayapur,jayapur,NA,maanasaroovar
hi kootaa,157chatharapuraa,Chatarpura,chatarpura,chatharapuraa,raajakeey chatharapuraa kamaraa nambar
karoulee,175pahaadee meeraan,pahaadee meeraan,pahaadee meeraan,pahaadee meeraan,raajakeey pahaadee meeraan
jayapur,29goonadaa,goonedaa,goonedaa,goonadaa,raajakeey goonadaa kamaraa
seekar,88khanneepuraa,khaneepuraa,khaneepuraa,khanneepuraa,raajakeey khanneepuraa daayaam
bheelavaadaa,161karamadaas,karamadaas,karamadaas,karamadaas,raajakeey kamaraa karamadaas
naagour,33kookapuraa,kookapuraa,kookapuraa,kookapuraa,raajakeey kamaraa kookapuraa
jayapur,111kalyaanapuraa kalaam,kalyaanapuraa kalaam,kalyaanapuraa kalaam,kalyaanapuraa kalaam,raajakeey kalyaanapuraa kalaam kamaraa
hanumaanagadh,122bhaadaraa,bhaadaraa,bhaadaraa,bhaadaraa,lamooriyaa pablik seeniyar saikandaree skool vaard nambar bhaadaraa
raajasamand,19dhelaanaa,dhelaanaa,dhelaanaa,dhelaanaa,raajakeey vidhaalay
karoulee,215raayasanaa,gaamv  ०raayasanaa,gaamv raayasanaa,raayasanaa,raajakeey daayaam raayasanaa
baadamer,92baandaaberaa,baandaa beraa,baandaa beraa,baandaaberaa,raajakeey ahamad thalaa
naagour,64huladhaanee,haladhaanee,haladhaanee,huladhaanee,raajakeey huladhaanee
baaraa,196Ace,khedaleegamj,khedaleegamj,196ace,raajakeey samskrith raamanagar kamaraa nambar
dhoulapur,221baksapuraa,Bakspura,bakspura,baksapuraa,raajakeey baksapuraa
beekaaner,182akkaasar,Akasar,akasar,akkaasar,raajakeey baalikaa baayaam akaasar
joodhapur,242graam pamchaayath bhavan paal,paal,paal,graam paal,atal sevaa kemdr paal
jayapur,40avast |e,baasadee khurd,baasadee khurd,avast,raajakeey baasadee khurd kamaraa nam
jayapur,177manooharapuraa,jayapur,jayapur,manooharapuraa,raajakeey vidhaalay kamaraa manooharapuraa
gamgaanagar,172nethevaalaa sree gamgaanagar,2HH II,2hh ii,nethevaalaa sree gamgaanagar,raajakeey nethevaalaa madhy kamaraa n
udayapur,68WAT,paaner,paaner,68wat,raajakeey vidhaalay daayaam paaner
gamgaanagar,5 3kyoo doulathapuraa,30,NA,kyoo doulathapuraa,raajakeey aadars vidhaalay kyoo doulathapuraa daayaam
jayapur,236lasaad഼iyaa,lasaadiyaa,lasaadiyaa,lasaadiyaa,raajakeey lasaadiyaa
hi suajhhun,167vijayapuraa,०vijayapuraa,vijayapuraa,vijayapuraa,raajakeey vijayapuraa
udayapur,276dhaakad഼oo kaa khedaa,dhaakad഼oo kaa khedaa,dhaakadoo kaa khedaa,dhaakadoo khedaa,raajakeey vidhaalay dhaakadoom khedaa
dhoulapur,62kheralee,kheralee,kheralee,kheralee,raajakeey kamaraan kheralee
baaraa,137saamgoodaa,Soni,soni,saamgoodaa,raajakeey soonee kamaraa nambar
naagour,54maanajee kee dhaanee,maanajee kee dhaanee,maanajee kee dhaanee,maanajee dhaanee,raajakeey kamaraa maanajee dhaanee
kootaa,8Alea,kootaa,kootaa,alea,raajakeey karanee nagar naanthaa kamaraa
hi jayapur,mathadaan kendr kaa bhavan evam pathaa  :,jayapur,jayapur,NA,thibaaraa ghoodaa nikaas rood chaar daravaajaa
8gamgaanagar,229raajiyaasar gaamv,०raajiyaasar,raajiyaasar,raajiyaasar,raajakeey vidhaalay raajiyaasar gaaav
ajamer,"4traambe stesan, hareejan basthee ajamer",ajamer (nagar nigam,ajamer nagar nigam,traambe stesan hareejan basthee ajamer,raajakeey taambe stesan kamaraa
baamsavaadaa,88daad,DAD,dad,daad,raajakeey vidhaalay daad
hi bharathapur,202baagarain,०baagarain,baagarain,baagarain,raajakeey vidyaalaybarejaa baagarain
naagour,11moolaa bhaakaree,moolaa bhaakaree,moolaa bhaakaree,moolaa bhaakaree,raajakeey moolaa bhaakaree ooamtavaaliyaa
dousaa,222qorale,dhoolakoot,dhoolakoot,qorale,raajakeey dhoolakoot
jaalour,6pur,Pur,pur,6pur,raajakeey pavaaroom dhaanee raajeev nagar
jayapur,mathadaan kendr kaa bhavan evam pathaa  :,saahapuraa,saahapuraa,NA,kamaraa
prathaapagadh,159nalavaa,nalavaa,nalavaa,nalavaa,raajakeeyauchch nalavaa daamyaa
hanumaanagadh,218durajaanaa,Durjana,durjana,durajaanaa,raajakeey baayaam durjaanaa
joodhapur,126baagooniyoom kee dhaanee hanumaan saagar,०hanumaan nagar,hanumaan nagar,baagooniyoom dhaanee hanumaan saagar,raajakeey baagooniyoom dhaanee hanumaan saagar
jaalour,56koomathaa,Komta,komta,koomathaa,raajakeey nayaakhedaa koomathaa kamaraa
doomgarapur,152kathisour,Katisour,katisour,kathisour,raajakeey vidhaalay kathisoor
h seekar,138phathehapur vaard n  31,phathehapur,phathehapur,phathehapur vaard,sree es devadaa skool phathehapur madhy
8beekaaner,209khaaraa loohaan,Khara Lohan,khara lohan,khaaraa loohaan,raajakeey khaaraa loohaan
hi jayapur,mathadaan kendr kaa bhavan evam pathaa  :,jayapur,jayapur,NA,vibhaag kamaraa nam
h baaraa,5mookhamapuraa,Mokhampura,mokhampura,mookhamapuraa,raajakeey mookhamapuaraa
raajasamand,22doomgar khedaa,doomgar khedaa,doomgar khedaa,doomgar khedaa,raajakeey aadars doomgarakhedaa
bheelavaadaa,9itaavaa,itaavaa,itaavaa,itaavaa,raajakeey sikshaakarmee eetaavaa kamaraa eetaavaa
bheelavaadaa,35paalaraam,Palran,palran,paalaraam,raajakeey paalaraa kamaraa paalaraa
paalee,269sumel,Sumel,sumel,sumel,raajakeey aadars maadyamik baamyaa sumel
h baaraa,mathadaan kendr kaa bhavan evam pathaa  :,Chhipabarod,chhipabarod,NA,kamaraa nambar
jayapur,99pahaad഼apuraa,pahaadapuraa,pahaadapuraa,pahaadapuraa,raajakeey pahaadapuraa kamaraa
jayapur,127laalavaas,laalavaas,laalavaas,laalavaas,raajakeey laalavaas daamyaa kamaraa
h baaraa,54deegood khaalasaa,Digod Khalsa,digod khalsa,deegood khaalasaa,raajakeey deegood khaalasaa kamaraa
gamgaanagar,38anoopagadh഼,anoopagadh഼,anoopagadh,anoopagadh,maathaa moohinee devee kanyaa mahaavidyaalay kamaraa anoopagadh
h baadamer,289baamdhaniyaa,baamdhaniyaa,baamdhaniyaa,baamdhaniyaa,raajakeey praathaamik baamdhaniyaa
jayapur,222meenaavaalaa,jayapur,jayapur,meenaavaalaa,raajakeey meenaavaalaa kamaraa nambar
paalee,42saaramgavaas,saamragavaas,saamragavaas,saaramgavaas,soonaanaa khethalaajee toost raajakeey saamgaravaas
dousaa,171choundiyaavaas,choundiyaavaas,choundiyaavaas,choundiyaavaas,raajakeey daamyaa choundiyaavaas
h seekar,178War,ganesvar,ganesvar,178war,raajakeey aadars ganesvar baayaam
hanumaanagadh,55janaanaa,1Mrn,1mrn,janaanaa,raajakeey janaanaa baayaam
bheelavaadaa,16kuvaar,kumvaar,kumvaar,kuvaar,raajakeey kuvaamr kamaraa kuvaar
karoulee,49goopaalapuraa,०goopaalapuraa Abt,goopaalapuraa abt,goopaalapuraa,raaj goopaalapuraa
h jaalour,65kisanagadh,Kishangarh,kishangarh,kisanagadh,raajakeey daayaa kamaraa kisanagadh
udayapur,21gadaavan,saagavaadaa,saagavaadaa,gadaavan,raajakeey aadars gadaavan saagavaadaa kamaraa
h jaisalamer,182chainapuraa,chainapuraa,chainapuraa,chainapuraa,raajakeey chainapuraa
joodhapur,50khethaasar,khethaasar,khethaasar,khethaasar,graam khethaasar
dousaa,177hariyaanaa,०hariyaanaa,hariyaanaa,hariyaanaa,raajakeey hariyaanaa
baadamer,262kammoo kaa vaadaa,kammoom kaa baadaa,kammoom kaa baadaa,kammoo vaadaa,raajakeey kammoom baadaa baayaa
beekaaner,mathadaan kendr kaa bhavan evam pathaa  :,beekaaner,beekaaner,NA,kamaraa n
ajamer,200tikaavadaa,tikaavadaa,tikaavadaa,tikaavadaa,raajakeey kamaraa tikaavadaa
hi jayapur,mathadaan kendr kaa bhavan evam pathaa  :,jayapur,jayapur,NA,kamaraa
ajamer,mathadaan kendr kaa bhavan evam pathaa  :,ajamer (nagar nigam,ajamer nagar nigam,NA,ajamer kakshaanarsaree
jaisalamer,104paaboopaadiyaa,paaboopaad഼iyaa,paaboopaadiyaa,paaboopaadiyaa,raajakeey pookaran graameen
bharathapur,254kurakaa,Kurka,kurka,kurakaa,atal sevaa kemdr kurakaa
