district_std,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std,village_cand_3_std
bheelavaadaa,124bhagunagar,bhagoonagar,bhagoonagar,bhagunagar,raajakeey bhagunagar kamaraa
jayapur,180mahaaraanee phaarm,jayapur,jayapur,mahaaraanee phaarm,vidyaasthalee skool daayaam mahaaraanee phaarm
raajasamand,34kookad഼aa,kukadaa,kukadaa,kookadaa,raajakeey aadars kukadaa daayaa
jayapur,182tigariyaa,thigariyaa,thigariyaa,tigariyaa,raajakeey samskrith tigariyaa
qe,12neemaraasar,nimaraasar,nimaraasar,neemaraasar,raajakeey neemaraasar
joodhapur,152budakiyaa,Budkiya,budkiya,budakiyaa,raajakeey budakiyaa daamyaa
jhhaalaavaad,278peethaapuraa,०peethaapuraa,peethaapuraa,peethaapuraa,raajakeey peethaapuraa
h seekar,236peethalapur,peethalapur,peethalapur,peethalapur,raajakeey peethalapur daayaa
jaisalamer,33nookh  ॥,nookh,nookh,nookh,raajakeey nookh
qe,80sirasalaa,sirasalaa,sirasalaa,sirasalaa,raajakeey aadars baamyaa sirasalaa
gamgaanagar,7 75Seat,75jeebee,jeebee,seat,raajakeey jeebee
h dousaa,236mahaaraajapuraa,mahaaraajapuraa,mahaaraajapuraa,mahaaraajapuraa,raajakeey mahaaraajapuraa
seekar,199baajour,baajoor,baajoor,baajour,raajakeey baajour daamyaa
joodhapur,157jaagariyaa,०jaagariyaa,jaagariyaa,jaagariyaa,raajakeey jaagariyaa
seekar,"aadars uchch maadhyamik vidhaalay, moondavaad഼aa (madhy bhaag",mundavaadaa,mundavaadaa,aadars vidhaalay moondavaadaa madhy,raajakeey vidhaalay chhaathr moondavaadaa
siroohee,227sindrath,०Sindrath,sindrath,sindrath,raajakeey daamyaa sindarath
hi jayapur,178maalaveey nagar,jayapur,jayapur,maalaveey nagar,raajakeey saiktar maalaveeyanagarkamaraa nam
bheelavaadaa,105kooseethal,Koshithal,koshithal,kooseethal,raajakeey baalikaa kooseethal kamaraa kooseethal
hi joodhapur,17jaalelee phoojadaaraa,:,NA,jaalelee phoojadaaraa,raajakeey vidayaalay jaalelee aaeechaa
baadamer,108jaaleelaa,jaaleelaa,jaaleelaa,jaaleelaa,raajakeey jaaleelaa
baamsavaadaa,62ghantaalee,ghamtaalee,ghamtaalee,ghantaalee,raajakeey vidhaalay baamyaa ghantaalee
bheelavaadaa,96Areva,soodaas,soodaas,areva,raajakeey soodaas kamaraa soodaas
hi jayapur,113chaaഁadee kee takasaal,jayapur,jayapur,chaaadee takasaal,nireekshan vidhik maap vijnjaan nireekshak kamaraa chaaadee takasaal
paalee,157aasan jilelaav,०aasan jilelaav,aasan jilelaav,aasan jilelaav,raajakeey aasan jilelaav
joodhapur,26roopanagar,०roopanagar,roopanagar,roopanagar,raajakeey vidhaalay jaatoom dhaanee roopanagar
raajasamand,101haamelaa kee ber,gaamv  ०haamelaa kee ber,gaamv haamelaa kee ber,haamelaa ber,raajakeey haamelaa ver
kootaa,74booreenaa,booreenaa,booreenaa,booreenaa,raajakeey booreenaa kamaraa nam
savaaeemaadhoopur,10MATA,Jaitpura,jaitpura,mata,raajakeey sikshaakarmee jaithapuraa
dhoulapur,115Teret,loohaaree,loohaaree,teret,raajakeey luhaaree daamyaa
qe,260paaboosar,he,NA,paaboosar,raajakeey baamyaam
h baadamer,53joonaa meethaa khedaa,joonaameethaa khedaa,joonaameethaa khedaa,joonaa meethaa khedaa,raajakeey joonaameethaakhedaa baayaa
paalee,154bisalapur,bisalapur,bisalapur,bisalapur,raajakeey aadars baayaam bisalapur
baamsavaadaa,18ghoodee,GHORI,ghori,ghoodee,raajakiy vidhaalay ghoodee
hi jayapur,185haranaathapuraa,jayapur,jayapur,haranaathapuraa,raajakeey beriyaa haranaathapuraa kamaraa nambar
joodhapur,127He Sear,kuee iamdaa,kuee iamdaa,127he sear,raajakeey vidhaalay he sat aat att
jayapur,80doodoo,doodoo,doodoo,doodoo,raajakeey baalikaa baayaam doodoo
baadamer,25lookhoo kee dhaanee,lookhoom kee dhaanee,lookhoom kee dhaanee,lookhoo dhaanee,raajakeey lookhoom thalaa
udayapur,96ver kee bhaagal,at At ANT,at at ant,96ver bhaagal,raajakeey vidhaalay ver bhaagal
8gamgaanagar,26 1peejeeem,2peejeeem-bee,peejeeembee,peejeeem,raajakeey kamaraa peejeeembee
qe,70lutaanaa maganee,lutaanaa maganee,lutaanaa maganee,lutaanaa maganee,raajakeey vidhaalay lutaanaa maganee
ajamer,mathadaan kendr kaa bhavan evam pathaa  :,ajamer (nagar nigam,ajamer nagar nigam,NA,kamaraa
siroohee,167giravar-3,Girwar,girwar,giravar,raajakeey dhaamasaraa phalee giravar
baaraa,253Aaatt,Telni,telni,aaatt,raajakeey thelanee
h seekar,65roohal,roohal,roohal,roohal,raajakeey vidhaalay roohal daayaa
paalee,46manihaaree,Manihari,manihari,manihaaree,raajakeey aadars daayaam manihaaree
8seekar,44dh഼aanee raamasimh,dhaanee raam simh,dhaanee raam simh,dhaanee raamasimh,raajakeey dhaanee raamasimh
jayapur,mathadaan kendr kaa bhavan evam pathaa  :,saaramgapuraa,saaramgapuraa,NA,saaramgapuraa
beekaaner,mathadaan kendr kaa bhavan evam pathaa  :,beekaaner,beekaaner,NA,relave kaaloonee laalagadh beekaaner
bharathapur,11naivaadaa,nevaadaa,nevaadaa,naivaadaa,raajakeey aadars vidyaalaynaivaadaa baaee or
toumk,80soohelaa,soohelaa,soohelaa,soohelaa,raajakeey soohelaa soohelaa
gamgaanagar,180 3ee ee saaഁavathasar,3eeee,eeee,ee ee saaavathasar,raajakeey saamvathasar aeeee baayaam
kootaa,mathadaan kendr kaa bhavan evam pathaa  :,kootaa,kootaa,NA,kamaraa nambar
dousaa,122laalasoot,laalasoot,laalasoot,laalasoot,raajakeey vidhaalay gaamdhee saalaa laalasoot
hi alavar,184kyaaraa,Kyara,kyara,kyaaraa,raajakeey kyaaraa
ajamer,234daamdoolaa,daadoulaa,daadoulaa,daamdoolaa,raajakeey daamdoolaa
8gamgaanagar,249 3/4dee je em,3DJM,3djm,dee je em,raajakeey deejeem
ajamer,208daadiyaa,daadiyaa,daadiyaa,daadiyaa,raajakeey daadiyaa kamaraa
alavar,143rathavaakaa,:,NA,rathavaakaa,raajakeey rathavaakaa
udayapur,55dhaamaniyaa jaageer,dhaamaniyaa jaageer,dhaamaniyaa jaageer,dhaamaniyaa jaageer,raajakeey vidhaalay dhaamaniyaa jaageer
seekar,63raajapuraa,raajapuraa,raajapuraa,raajapuraa,raajakeey vidyaalaydaayaam raajapuraa
udayapur,mathadaan kendr kaa bhavan evam pathaa  :,udayapur,udayapur,NA,udayapur
jaalour,108paal,Pal,pal,paal,raajakeey paal
hi jayapur,256Alearst,jayapur,jayapur,alearst,thilak baal vidyaa bihaar saikandaree skool saamane baayaa kamaraa
jhhaalaavaad,205semalaa beh,semalaabeh,semalaabeh,semalaa beh,raajakeey semalaabeh
dhoulapur,77madhaa,AST,ast,madhaa,raajakeey vidhaalay madhaa baayaa
bharathapur,10bas staind deeg,deeg,deeg,10bas staind deeg,kisanalaal joosee raajakeey deeg vaayaam
toumk,140paleee,palei,palei,paleee,raajakeey paleee daamyaa
joodhapur,"raathaanaad഼aa, (madhy bhaag joodhapur",joodhapur,joodhapur,raathaanaadaa madhy joodhapur,raajakeey raathaanaadaa madhy joodhapur
suajhhun,74pakoodee kee dhaanee,pakoodee kee dhaanee,pakoodee kee dhaanee,pakoodee dhaanee,raajakeey
savaaeemaadhoopur,96khaat kalaam,khaat kalaam,khaat kalaam,khaat kalaam,raajakeey khaat kalaam
baaraa,224Hear,kataavar,kataavar,hear,raajakeey kataavar kamaraa nambar
naagour,39Aaa,laalaas,laalaas,39aaa,raajakeey baalikaa kamaraa laalaas
baamsavaadaa,271kharakootee,KHARKOTI,kharkoti,kharakootee,raajakeey vidhaalay kharakootee
qe,mathadaan kendr kaa bhavan evam pathaa  :,ghantel,ghantel,NA,ghantel
h seekar,52theemoolee,theemoolee,theemoolee,theemoolee,raajakeey baalikaa vidhaalay theemoolee
gamgaanagar,2 4ephadee,6FD,6fd,ephadee,raajakeey ephadee
bharathapur,2mahamgaayaa,Mahganwa,mahganwa,mahamgaayaa,raajakeey baalikaa mamhagaayaa
savaaeemaadhoopur,137lahasood഼aa,lahasood഼aa,lahasoodaa,lahasoodaa,raajakeey vidyaalayabhavan lahasoodaa
chiththoudagadh,231bhaisarood഼agadh,n Bhainsrorgarh,n bhainsrorgarh,bhaisaroodagadh,raajakeey vidayaalay bhaisaroodagadh
jayapur,217bagaraanaa,bagaraanaa,bagaraanaa,bagaraanaa,raajakeey kamaraa nam bagaraanaa
udayapur,192dhaalaa,dhaalaa,dhaalaa,dhaalaa,raajakeey vidhaalay dhaalaa
doomgarapur,172suramanaa,1,NA,suramanaa,raajakeey vighaalay suramanaa
baaraa,mathadaan kendr kaa bhavan evam pathaa  :,baaraam,baaraam,NA,nambar
beekaaner,mathadaan kendr kaa bhavan evam pathaa  :,beekaaner,beekaaner,NA,jayanaaraayan vyaas kaaloonee beekaaner
baaraa,214naaraayanapuraa,naaraayanapuraa,naaraayanapuraa,naaraayanapuraa,raajakeey naaraayanapuraa
8baadamer,46devadoom kee dhaanee,Deodon Ki Dhani,deodon ki dhani,devadoom dhaanee,raajakeey devadoo dhaanee
baamsavaadaa,122kheradaa,KHERDA,kherda,kheradaa,raajakeey vidhaalay baayaa kheradaa
beekaaner,maamdaliyaa,Mandeliya,mandeliya,maamdaliyaa,raajakeey
seekar,193ch൉amoo puraahithaan,choumoo puroohithaan,choumoo puroohithaan,chamoo puraahithaan,raajakeey choumoo puroohithaanbaamyaa
doomgarapur,204soohanavadalee,:,NA,soohanavadalee,raajakeey vidhaalay soohanavadalee
jayapur,276Tele US HTATAT,jayapur,jayapur,tele us htatat,aanand vihaar kaaloonee jagathapuraa saamudaayik hal daamyaa
seekar,142seekar vaard n  ०९,seekar,seekar,seekar vaard,islaamiyaa nayaa seekar
udayapur,63barootheebraam,barootee braahamnaan,barootee braahamnaan,barootheebraam,raajakeey baroothee braahamanaan kamaraa
savaaeemaadhoopur,92peepalavaad഼aa,Peepalwara,peepalwara,peepalavaadaa,raajakeey peepalavaadaa baamee or
alavar,112baanasoor baadh bhaavasimh,Barh Bhaosingh,barh bhaosingh,baanasoor baadh bhaavasimh,raajakeey baalikaa baanasoor
४baadamer,232phakeeroo kaa nivaan,०phakeeroom kaa nivaan,phakeeroom kaa nivaan,phakeeroo nivaan,raajakeey phakeeroo nivaan
jayapur,40eetaavaa bhoopajee,itaavaa bhoopajee,itaavaa bhoopajee,eetaavaa bhoopajee,raajakeey eetaavaa bhoopajee
ajamer,"98krishnaa kaamloonee, byaavar",byaavar,byaavar,krishnaa kaamloonee byaavar,raajakeey krishnaa kaloonee byaavar kamaraa nam
h seekar,mathadaan kendr kaa bhavan evam pathaa  :,daadiyaaraamapuraa,daadiyaaraamapuraa,NA,samaayoojith hoone kaaran band
hi jayapur,251Alearer,jayapur,jayapur,alearer,brajabaal seesaiskool jhhootavaadaa knam
baamsavaadaa,221aambaapuraa,aabaapuraa,aabaapuraa,aambaapuraa,raajakeey baalikaa aaambaapuraa daamyaa
savaaeemaadhoopur,224bhaavad഼,Bhawar,bhawar,bhaavad,raajakeey bhaavad baamyee or
naagour,156Waa,parabathasar,parabathasar,156waa,raajakeey parabathasar vaard
8savaaeemaadhoopur,159baharaavand഼aa khurd,baharaavandaa khurd,baharaavandaa khurd,baharaavandaa khurd,raajakeey blaak bee baharaavandaa khurd
jayapur,93muhaanaa,muhaanaa,muhaanaa,muhaanaa,raajakeey vidhaalay kamaraa muhaanaa
jayapur,mathadaan kendr kaa bhavan evam pathaa  :,gaamv  ०jayasimhapu൦araa,gaamv jayasimhapuaraa,NA,nam
jayapur,30kaaloohedaa,kaaluhedaa,kaaluhedaa,kaaloohedaa,raajakeey kaaloohedaa kamaraa
naagour,17kalavaanee,kalavaanee,kalavaanee,kalavaanee,raajakeey kalavaanee
8baadamer,102joonaa keraadoo maarg baadamer,baad഼amer,baadamer,joonaa keraadoo maarg baadamer,raajakeey junaa keraadu maarg baadamer
savaaeemaadhoopur,163khilacheepur,khilacheepur,khilacheepur,khilacheepur,raajakeey khilacheepur
naagour,137khares,khares,khares,khares,raajakeey khares khares
savaaeemaadhoopur,71poonethaa,Pooneta,pooneta,poonethaa,raajakeey poonethaa
jayapur,95kadavoom kaa baas,kadavoom kaa baas,kadavoom kaa baas,kadavoom baas,raajakeey kadavookaavaas
h dhoulapur,108ATT,Tajpur,tajpur,108att,raajakeey thaajapuraa
suajhhunoo,123kakaraanaa,०kakaraanaa,kakaraanaa,kakaraanaa,raajakeey daamyaa kakaraanaa
jayapur,140jaithapuraa,:,NA,jaithapuraa,raajakeey jaithapuraa kamaraa
suajhhunoo,128dhoolavaa,dhoolavaa,dhoolavaa,dhoolavaa,raa maa vi baamyaa dhulavaa
baamsavaadaa,81paalee chhootee,paalee chhootee,paalee chhootee,paalee chhootee,raajakeey vidhaalay paalee chhootee daamyaa
joodhapur,nam  1,joodhapur,joodhapur,NA,darjeeyoom bagechee masooriyaa
jaalour,82thalavaad,Thalwar,thalwar,thalavaad,raajakeey daayaam kamaraa thalavaad
raajasamand,241maadarechoo kaa gudaa,maadarechoo kaa gudhaa,maadarechoo kaa gudhaa,maadarechoo gudaa,raajakeey vidhaalay
seekar,64khandelasar,khandelasar,khandelasar,khandelasar,raajakeey vidhaalay khandelasar baayaa
joodhapur,240kadavaa,kadavaa,kadavaa,kadavaa,raajakeey kadavaa
ajamer,161nayaagaamv(meenaa,०nayaa gaaഁav,nayaa gaaav,nayaagaamvmeenaa,sarvasikshaa abhiyaan raajakeey nayaagaamv meenaa
raajasamand,32binool,binool,binool,binool,raajakeey aadars binool daamyaa
bheelavaadaa,mathadaan kendr kaa bhavan evam pathaa  :,Karoi Kalan,karoi kalan,NA,kaarooee kalaam
udayapur,119bhaat maadad഼aa,bhaat maadadaa,bhaat maadadaa,bhaat maadadaa,raajakeey vidhaalay raav maadadaa
h jayapur,15jayachandapuraa,jayachandapuraa,jayachandapuraa,jayachandapuraa,raajakeey jayachandapuraa baamyaa
suajhhun,51naamgaliyaa,०dudhavaa naamgaliyaa,dudhavaa naamgaliyaa,naamgaliyaa,raajakeey uthkrisht baalikaa naamgaliyaa
jaisalamer,208khoomathal,khoomathal,khoomathal,khoomathal,raajakeey khoothamal
ajamer,mathadaan kendr kaa bhavan evam pathaa  :,saravaad,saravaad,NA,saravaad
prathaapagadh,251WATT,raayapur,raayapur,watt,raajakeey vidhaalagn raayapur baamyaa
h baadamer,169ratharedee kalaa,Ratreri Kalan,ratreri kalan,ratharedee kalaa,raajakeey ratheradee kalaa
bharathapur,73bharathapur,bharathapur,bharathapur,bharathapur,jilaa parishad sabhaa bharathapur baayaam
beekaaner,45beekaaner,beekaaner,beekaaner,beekaaner,kaaryaalay adhikshan abhiyanthaa peeechaeedee gamgaanagar rood beekaaner
jaalour,mathadaan kendr kaa bhavan evam pathaa  :,Bhadrajoon,bhadrajoon,NA,bhaadraajoon
baaraa,mathadaan kendr kaa bhavan evam pathaa  :,baaraam,baaraam,NA,nambar
baadamer,184saaranoo kee naadee,०saaranoom kee naadee,saaranoom kee naadee,saaranoo naadee,raajakeey praathimak saaranoom naadee
alavar,202Atax,Sonkhar (Rural),sonkhar rural,atax,raajakeey nayaa kanam soumkhar
udayapur,186ASAT,Jhallara,jhallara,asat,raajakeey vidhaalay daayaam jhhallaaraa
naagour,156naagour,naagour,naagour,naagour,paareek samaaj haathee chouk naagour
paalee,mathadaan kendr kaa bhavan evam pathaa  :,paalee,paalee,NA,nagar paalee
raajasamand,130Waraa,janaavad,janaavad,waraa,raajakeey vidhaalay
udayapur,90khootavaadaa,khootavaadaa,khootavaadaa,khootavaadaa,raajakeey vidhaalay khutavaadaa
hi chooru,87Lata,०rathanasaraa,rathanasaraa,lata,raajakeey daamyaa rathanasaraa
h dousaa,125saalimapur,saalimapur,saalimapur,saalimapur,raajakeey saalimapur paschim
baamsavaadaa,158baageedouraa,baageedouraa,baageedouraa,baageedouraa,raajakeey vidhaalayabhavan daamyaa baageedouraa
qe,33noodiyaa,noodeeyaa,noodeeyaa,noodiyaa,raajakeey daayaam noodiyaa
jayapur,"272getoor, rood jagathapuraa",jayapur,jayapur,getoor rood jagathapuraa,raajakeey vidhaalay getoor kamaraa nambar
seekar,190dh഼aanee kairalee than siroohee,siroohee,siroohee,dhaanee kairalee than siroohee,raajakeey dhaanee kairalee than siroohee daayaam
udayapur,mathadaan kendr kaa bhavan evam pathaa  :,udayapur,udayapur,NA,chamanapuraa haatheepool udayapur
qe,133raamapuraa,!raamapuraa,raamapuraa,raamapuraa,aaresmemooriyal vidhaalay raamapuraa
alavar,177WT TST ATT,kisanagadhabaas,kisanagadhabaas,177wt tst att,raajakeey gamj
alavar,92tapookad഼aa,tapookadaa,tapookadaa,tapookadaa,raajakeey baalikaa tapookadaa
doomgarapur,28aaamtharee,Antri,antri,aaamtharee,raajakeey vidhaalay aaamtharee daayaam
toumk,38devalee,devalee nagarapaalikaa,devalee nagarapaalikaa,devalee,raajakeey kanyaa devalee daamyaa
paalee,84tevaalee khurd,Tewali Khurd,tewali khurd,tevaalee khurd,raajakeey baalikaa tevaalee khurd
kootaa,mathadaan kendr kaa bhavan evam pathaa  :,kootaa,kootaa,NA,kamaraa nambar
prathaapagadh,83prathaapagadh,prathaapagadh഼,prathaapagadh,prathaapagadh,burahaanee baage noonihaal prathaapagadh daayaam
joodhapur,2khedaa baagoodiyaa,gaamv  ०khed഼aa bagoodiyaa,gaamv khedaa bagoodiyaa,khedaa baagoodiyaa,raajakeey khedaa bagoodiyaa
udayapur,202kalyaanaakalaa,Kalyan-Kalan,kalyankalan,kalyaanaakalaa,raaumaavikalyaanaakalaam
h jaalour,227devadaa,Dedwa,dedwa,devadaa,raajakeey kamaraa devadaa
h jaisalamer,22thibanasar,thibanasar,thibanasar,thibanasar,raajakeey thibanasar
qe,mathadaan kendr kaa bhavan evam pathaa  :,chooru,chooru,NA,daamyaa chooroo
४paalee,245gamvaar (phulaad,gvaar,gvaar,gamvaar phulaad,raajakeey vidhaalay gamvaar phulaad
baamsavaadaa,99laambee doomgaree,BERWA,berwa,laambee doomgaree,raajakeey vidhaalay laambee doomgaree daayaa
hanumaanagadh,190nagarapaalikaa raavathasar,०raavathasar,raavathasar,nagarapaalikaa raavathasar,raajakeey joodhaabaas raavathasar
gamgaanagar,208ghamood഼avaalee  2pee pee,2peepee,peepee,ghamoodavaalee pee pee,raajakeey vidayaalay baamayaa peepee ghamoodvaalee
naagour,177Helvarg,hasainapuraa,hasainapuraa,helvarg,raajakeey jaataavaas
hi joodhapur,168baraseemgoom kaa baas,Barsingon Ka Bas,barsingon ka bas,baraseemgoom baas,raajakeey baayaam barasimgoom baas
joodhapur,javaaharakhaanaa,joodhapur,joodhapur,javaaharakhaanaa,khathriyoo nyaathi nooharaa javaahar khaanaa daayaa
qe,233kheemvanasar,he kheevamnag‌ asar,he kheevamnag asar,kheemvanasar,raajakeey
8toumk,111toomk,toomk,toomk,toomk,kaaryaa mu chi ev savaa adhikaaree darabaar skool toomk
toumk,99saroolee,saroolee,saroolee,saroolee,raajakeey saroolee
udayapur,260karaget,karaget,karaget,karaget,raajakeey karaget baamyaa
jayapur,210jaithapuraa,jaithapuraa,jaithapuraa,jaithapuraa,nayaagraam jaithapuraa graam sevak kaaryaalay kamaraa nambar
hi jayapur,231khaatheepuraa,jayapur,jayapur,khaatheepuraa,enemintaranesanal skool jasavanth nagar khaatheepuraa knam
qe,135bhaimsalee,bhemsalee,bhemsalee,bhaimsalee,saheed raajakumaar raajakeey aadars vidhaalay bhaimsalee
dousaa,42kaaloothaa,kaaloothaa,kaaloothaa,kaaloothaa,raajakeey daamyaa kamaraa nam kaaloothaa
udayapur,47sanavaad vaard thnj5  9,sanavaad,sanavaad,sanavaad vaard thnj,raajakeey baalikaa sanavaad kanam
jayapur,98bhaimsalaanaa,bhensalaanaa,bhensalaanaa,bhaimsalaanaa,raajakeey bhaimsalaanaa kamaraa
seekar,"110thoodee kuee ke paas, vaard  6,lakshm",lakshmanagadh഼,lakshmanagadh,thoodee kuee vaard lakshm,jaajoodiyaa lakshmanagadh
alavar,210ascit,Badli,badli,ascit,raajakeey badalee
karoulee,81pareethaa,pareethaa,pareethaa,pareethaa,raajakeey pareethaakamaraanam
qe,127kanavaaree,kanavaaree,kanavaaree,kanavaaree,raajakeey baamyaa kanavaaree
karoulee,76aleepuraa,aleepuraa,aleepuraa,aleepuraa,raajakeey jaatav basthee aleepuraa
baadamer,132ATCT,dhaaranaa,dhaaranaa,atct,raajakeey aadars dhaaranaa
joodhapur,vidhaalay darbee kooloonee daayaa bhaag,joodhapur,joodhapur,vidhaalay darbee kooloonee daayaa,darbee sikshaa nikethan
naagour,41jaakhed഼aa,jaakhed഼aa,jaakhedaa,jaakhedaa,raajakeey daayaam jaakhedaa
joodhapur,kabeer nagar daamyaa bhaag,joodhapur,joodhapur,kabeer nagar daamyaa,raajakeey kabeer nagar
ajamer,"51raamagamj, ajamer",ajamer (nagar nigam,ajamer nagar nigam,raamagamj ajamer,raajakeey raamagamj ajamer kamaraa
doomgarapur,51gad഼aagookal,:,NA,gadaagookal,raajakeey vidhaalay gadaagookal
bheelavaadaa,200daathadaa,Dantra,dantra,daathadaa,raajakeey kamaraa
qe,72saaramgasar,saaramgasar,saaramgasar,saaramgasar,raajakeey aadars baayaam saaramgasar
paalee,181baasanaa,"baasanaa, naadhal kudee",baasanaa naadhal kudee,baasanaa,raajakeey aadars baayaa bhaagbaasanaa
hanumaanagadh,119 26pee൦avee൦aen഼an,26Pbn,26pbn,peeaveeaenan,raajakeey peebeeen
raajasamand,203raamaavathoo kee bhaagal,raamaavathoo kee bhaagal,raamaavathoo kee bhaagal,raamaavathoo bhaagal,raajakeey vidhaalay
joodhapur,65himgoolee,Hingoli,hingoli,himgoolee,raajakeey himgoolee daayaa
udayapur,217nayaakhoolaa,०nayaakhoolaa,nayaakhoolaa,nayaakhoolaa,raajakeey vidhaalay nayaakhoolaa
bheelavaadaa,mathadaan kendr kaa bhavan evam pathaa  :,bheelavaad഼aa (n.p,bheelavaadaa np,NA,kaloonee daamyaa bheelavaadaa vaard
jayapur,244Alearst,jayapur,jayapur,alearst,mahaaraanaa prathaap seeseskool khiranee phaatak rood jhhootavaadaa knam
toumk,224looneraa,luneraa,luneraa,looneraa,raajakeey looneraa
joodhapur,86himgoolaa,himgoolaa,himgoolaa,himgoolaa,raajakeey vidhaalay baayaam higoolaa
bharathapur,22Garett ShT,deeg,deeg,garett sht,daamoodaralaal gupthaa raajakeey puraanee deeg
udayapur,117goovardhanapuraa,goovardhanapuraa,goovardhanapuraa,goovardhanapuraa,raajakeey goovardhanapuraa
ajamer,226paandaravaad഼aa,paamdaravaadaa,paamdaravaadaa,paandaravaadaa,raajakeey paandaravaadaa
h baaraa,244baamalee,baamalee,baamalee,baamalee,raajakeey baamalee
hi jayapur,237kaacharoodaa,kaacharoodaa,kaacharoodaa,kaacharoodaa,raajakeey dhaanee raigaraan kaacharoodaa kamaraa
beekaaner,"bhaag, saadhunaa",Sadhoona,sadhoona,saadhunaa,raajakeey madhy
qe,246noohand,noohand,noohand,noohand,raajakeey aadars vidhaalay daayaa noohand
udayapur,242teed഼ee,gaamv jaavar,gaamv jaavar,teedee,raajakeey teedee baamyaa
chiththoudagadh,106UAT?,raajagadh഼,raajagadh,106uat,raajakeey vidayaalay raajagadh
joodhapur,20laalapuraa,०chaamdasamaa,chaamdasamaa,laalapuraa,raajakeey vidhaalay laalapuraa
udayapur,124saraad഼ee,saraadee,saraadee,saraadee,raajakeey saraadee
h dousaa,50didavaanaa,Didwana,didwana,didavaanaa,didavaanaa
joodhapur,233naathu nagar,naathoonagar,naathoonagar,naathu nagar,raajakeey naathoonagar baamyaa
jayapur,39khedakee mukkad,khedakee mukkad഼,khedakee mukkad,khedakee mukkad,raajakeey khedakee mukkad kamaraa
jayapur,159paapadee,paapadee,paapadee,paapadee,raajakeey paapadee
jhhaalaavaad,177maamthaniyaa,Mathaniya,mathaniya,maamthaniyaa,raajakeey aadars
alavar,165AIT,khairathal,khairathal,165ait,raajakeey naveen kuthalee khairathal
h toumk,34moor bhaatiyaan,Mor Bhatiyan,mor bhatiyan,moor bhaatiyaan,raajakeey moorabhaatiyaan
hi jayapur,mathadaan kendr kaa bhavan evam pathaa  :,jayapur,jayapur,NA,nambar
naagour,12thaakariyaas,thaakariyaas,thaakariyaas,thaakariyaas,raajakeey thaakariyaas kamaraa nam thaakariyaas
paalee,258paaladeejood,paaladee,paaladee,paaladeejood,raajakeey aadars daamyaa paaladee jood
jayapur,63goopaalapuraa,goopaalapuraa,goopaalapuraa,goopaalapuraa,raajakeey goopaalapuraa
ajamer,8raamapuraa,Rampura,rampura,raamapuraa,raajakeey raamapuraa
prathaapagadh,213GAAS,saalamagadh,saalamagadh,gaas,raajakeey vidhaalagm saalamagadh
paalee,2bhaamgesar,Bhangesar,bhangesar,bhaamgesar,raajakeey aadars baayaa bhaamgesar
hi jayapur,6thneemdad഼,jayapur,jayapur,thneemdad,raajakeey bandh dhaanee knam
h dousaa,50aloodaa,aloodaa,aloodaa,aloodaa,raajakeey madhy aloodaa
joodhapur,49bhoopaalagadh,Bhopalgarh,bhopalgarh,bhoopaalagadh,raajakeey aadars bhoopaalagadh baamyaa
chooru,117saradaarasahar,saradaarasahar,saradaarasahar,saradaarasahar,jay devee soonee raa baamyaa
suajhhun,47jhhunjhhunoo,jhhujhhanoom,jhhujhhanoom,jhhunjhhunoo,dharmadaas
suajhhunoo,107gudh഼aa baavanee,gudhaa goodajee,gudhaa goodajee,gudhaa baavanee,raajakeey maadhmik gudhaa baavanee baamyaa gudhaa goodjee
dhoulapur,115bharakoojaraa,Bharkunjara,bharkunjara,bharakoojaraa,raajakeey bharakooajaraa
joodhapur,233baapinee,०baapinee,baapinee,baapinee,raajakeey vidayaalay baapinee daayaa
h baadamer,215gamgaavaas,Gangawas,gangawas,gamgaavaas,raajakeey vidhaalay madhy gamgaavaas
naagour,44baagaraasar,baagaraasar,baagaraasar,baagaraasar,raajakeey baagaraasar
gamgaanagar,163 6emaeladee-bee,bee,bee,emaeladeebee,raajakeey emaeladeebee
qe,205jeemdaraasar,jindaraasar,jindaraasar,jeemdaraasar,raajakeey daayaam jimdaraasar
jayapur,127daamthil,daamthil,daamthil,daamthil,raajakeey daamthil kamaraa
joodhapur,7jammesvar nagar,bhed,bhed,jammesvar nagar,raajakeey vidhaalay khamrigiyoo dhaanee jambhesvar nagar
8savaaeemaadhoopur,44bhaarajaa gaddee,:,NA,bhaarajaa gaddee,raajakeey bhaarajaa gadadee
bharathapur,177mahuaa,Mahua,mahua,mahuaa,raajakeey aadars mahuaa baamyaa
baaraa,160goovindapuraa,goovindapuraa,goovindapuraa,goovindapuraa,raajakeey goovindapuraa
karoulee,187hindoun,hindoun,hindoun,hindoun,raajakeey baalikaa vidhaalay moohan nagar kamaraa hindoun
bheelavaadaa,154antaalee,Antali,antali,antaalee,raa maa kamaraa antaalee
hi jayapur,mathadaan kendr kaa bhavan evam pathaa  :,jayapur,jayapur,NA,nam kamaraa nam
jayapur,60nayaabaas,०nayaabaas,nayaabaas,nayaabaas,raajakeey nayaabaas kamaraa
hi bharathapur,3kanaavar,Kanawar,kanawar,kanaavar,raajakeey kanaavar baamyaa
beekaaner,86sevadaa,Seora,seora,sevadaa,raajakeey baayaam sevadaa
alavar,211koolaahedaa,Kolahera,kolahera,koolaahedaa,raajakeey koolaahedaa
