wife_birth_year,n_couples,mean_gap,med_gap,p10,p90,share_negative,share_implausible,share_contested
1907,12,-61.25,-57,-86.7,-45.199999999999996,1,1,0.08333333333333333
1908,32,-77.21875,-80.5,-89,-67.1,1,1,0.125
1909,17,-55.529411764705884,-53,-81.4,-36.4,1,1,0.11764705882352941
1910,10,-57.3,-59,-78.6,-32,1,1,0.1
1911,14,-45.42857142857143,-41.5,-81.4,-18.299999999999997,0.9285714285714286,0.9285714285714286,0.21428571428571427
1912,20,-47.45,-45,-75.5,-17.9,0.95,0.95,0.3
1913,105,-49.36190476190476,-50,-70,-28,0.9714285714285714,0.9714285714285714,0.14285714285714285
1914,305,-40.82295081967213,-43,-66.19999999999999,-14.399999999999977,0.9311475409836065,0.8918032786885246,0.18360655737704917
1915,186,-42.763440860215056,-47,-67.5,-8,0.9247311827956989,0.8763440860215054,0.13978494623655913
1916,327,-38.78593272171254,-41,-64,-1,0.9021406727828746,0.8470948012232415,0.19571865443425077
1917,439,-37.25512528473804,-40,-61,-6,0.9271070615034168,0.8587699316628702,0.15945330296127563
1918,284,-36.693661971830984,-40,-67,2,0.8415492957746479,0.7887323943661971,0.12323943661971831
1919,490,-26.90612244897959,-28,-57,4,0.7510204081632653,0.6510204081632653,0.15714285714285714
1920,491,-26.89205702647658,-27,-58,2,0.8024439918533605,0.604887983706721,0.13441955193482688
1921,351,-24.643874643874643,-26,-63,3,0.6695156695156695,0.5698005698005698,0.16809116809116809
1922,836,-22.754784688995215,-21,-56,5,0.6650717703349283,0.5430622009569378,0.180622009569378
1923,537,-23.312849162011172,-25,-57,4.400000000000034,0.6499068901303539,0.5605214152700186,0.19180633147113593
1924,1496,-16.767379679144383,-5,-51,5,0.5327540106951871,0.4338235294117647,0.1731283422459893
1925,917,-17.887677208287894,-9,-52,4,0.5921483097055616,0.4514721919302072,0.16902944383860413
1926,1657,-12.733856366928183,1,-46,4,0.46650573325286665,0.3602896801448401,0.15328907664453834
1927,1983,-12.703479576399396,1,-47,5,0.47100353000504286,0.3590519415027736,0.15128593040847202
1928,2161,-14.892642295233689,-5,-47,5,0.5520592318371125,0.43035631652012957,0.17769551133734382
1929,5788,-11.521250863856254,0,-40,5,0.47408431237042153,0.3590186592950933,0.1781271596406358
1930,4233,-10.950153555398062,1,-43.799999999999955,5,0.43231750531537916,0.3304984644460194,0.14245216158752658
1931,4839,-7.9580491837156435,2,-37,4,0.36846455879313905,0.25852448853068816,0.13907832196734862
1932,10318,-6.514925373134329,2,-35,5,0.3250629967047878,0.24016282225237448,0.1522581895716224
1933,8325,-5.795195195195195,2,-33,5,0.335015015015015,0.2132132132132132,0.1378978978978979
1934,21690,-3.290133702166897,2,-28,5,0.23024435223605347,0.1586445366528354,0.13702166897187645
1935,12788,-3.342352205192368,2,-25.299999999999955,5,0.2599311854863935,0.15475445730372223,0.12152017516421645
1936,22915,-1.9732489635609862,2,-20,5,0.20170194195941524,0.11686668121317914,0.1150338206415012
1937,22711,-1.676676500374268,2,-20,5,0.22235920919378274,0.12073444586323807,0.12689885958346175
1938,23724,-1.432136233350194,2,-19,5,0.216194570898668,0.11549485752824144,0.11764457932894959
1939,41805,-0.2755412032053582,3,-15,5,0.17607941633775864,0.09546704939600527,0.12034445640473627
1940,32593,-0.5331206087196637,2,-11,6,0.17598870923204368,0.08765685883471912,0.11533151290154328
1941,32891,-0.21756711562433492,2,-9,5,0.18403210604724696,0.0800218904867593,0.108145085281688
1942,63753,0.49627468511285744,3,-7,6,0.1515222813044092,0.07271814659702289,0.1128574341599611
1943,42999,0.23174957557152492,2,-8,6,0.17844601037233424,0.07344356845508035,0.10621177236679923
1944,109478,1.0279142841484135,2,-3,6,0.1236686822923327,0.05711649829189426,0.1130090063757102
1945,68190,0.8020530869628978,2,-4,6,0.14189763894999266,0.05565332160140783,0.1092242264261622
1946,124021,1.1362269293103586,2,-2,5,0.11563364268954451,0.043766781432176806,0.10334540118205787
1947,101452,1.594103615502898,3,-2,6,0.12025391318061744,0.04403067460473919,0.10635571501793951
1948,108195,1.5005869032764916,2,-2,6,0.12385969776791904,0.045168445861638706,0.10760201488053976
1949,165368,1.9849547675487398,3,-1,6,0.10295220357021914,0.03743771467272991,0.10886628610130133
1950,133625,1.5013732460243219,2,-2,6,0.11450701590271281,0.0415266604303087,0.11051824134705332
1951,117571,1.5149399086509427,2,-2,6,0.13011712071854453,0.04058824029735224,0.1061741415825331
1952,219891,2.225452610611621,3,0,6,0.09546548062449123,0.03367122801751777,0.10557048719592889
1953,127112,1.8784221788658821,3,-2,7,0.12777707848196865,0.03851721316634149,0.10946252124111021
1954,240862,2.127367538258422,2,0,6,0.09481777947538425,0.03566357499314961,0.10302579900523952
1955,164112,1.9324790387052744,2,-2,7,0.12117334503266063,0.03419615872087355,0.10791410743882227
1956,250900,1.8456396970904743,2,-1,6,0.10879633320047828,0.03055799123156636,0.10491032283778398
1957,216668,2.316424206620267,3,-1,7,0.11432698875699226,0.029367511584544096,0.10640703749515387
1958,237586,2.418130697936747,2,-1,7,0.10811243086713863,0.021364895237934896,0.10682447618967447
1959,362057,2.6343448683494586,3,0,7,0.09436359468260523,0.018005452180181573,0.09968872304637115
1960,335395,2.4282741245397217,2,0,6,0.09103296113537769,0.01676828813786729,0.0985584161958288
1961,294522,2.4888463340599345,2,-1,7,0.10646063791499447,0.016609964620639545,0.09833560820583861
1962,513013,2.8971760949527594,3,0,6,0.07744248196439467,0.013605893028051921,0.09335435944118375
1963,363774,2.81910471886391,3,-1,7,0.10309972675342383,0.01316476713563916,0.10054319440091926
1964,614382,2.917069510499982,2,0,6,0.06966024395245954,0.010998043562474162,0.09007588112932996
1965,400677,2.8484365211878897,3,0,7,0.09233372517014952,0.011859927073428223,0.09577040858347247
1966,590178,2.777363778385504,2,0,6,0.07376079758987966,0.009239585345438155,0.09094374917397802
1967,524941,3.5860258581440583,3,0,10,0.0762980982624714,0.00903339613404173,0.09251706382241053
1968,536675,3.1090566916662783,2,0,7,0.07363674477104393,0.00822658033260353,0.09422276051614105
1969,548719,3.1823483422298118,3,0,7,0.07373719517640176,0.007625032120265564,0.09484453791467035
1970,559096,3.130483852504758,2,0,7,0.07475818106371715,0.009309671326570035,0.09341329574885172
1971,509310,3.3097425929198327,2,0,8,0.08342463332744302,0.0057764426380789696,0.10011584300327894
1972,632694,3.5284276443272735,3,0,8,0.07163020354231271,0.004431842249175747,0.09791305117481752
1973,471764,3.529152288008411,3,0,8,0.080283785960777,0.004966466283989453,0.10087670954121128
1974,419114,3.423059119953044,2,0,8,0.07314477683875986,0.004313862099571954,0.0945422963680526
1975,469545,3.707979000947726,3,0,9,0.08474587100277929,0.005015493722646392,0.10513582297756338
1976,519206,4.062152594538584,3,0,10,0.08243548803365139,0.005184839928660301,0.10898371744548406
1977,555066,3.8793350700637403,3,0,9,0.08491602800387701,0.003666230682477399,0.105005530873806
1978,543690,3.9030366569184647,3,0,9,0.08368003825709504,0.0036822453971932533,0.10518126138056613
1979,470921,3.867478834029487,3,0,9,0.08567042030404251,0.0030281087486011453,0.1053085337031052
1980,542475,4.6426821512512095,3,0,10,0.08370339646988341,0.003896953776671736,0.10849163555924236
1981,551609,4.3270432498382005,3,0,10,0.09544260517866822,0.0027972712555451415,0.10971539623175111
1982,637192,4.332701917161546,3,0,10,0.08131144144935906,0.0028076309809288253,0.10894204572562116
1983,671233,4.397227192346026,3,0,10,0.08334810714014358,0.0034384483480400995,0.1170264274849419
1984,643858,4.495293993396059,2,0,11,0.0722115746018532,0.004069220231790239,0.12023924529942938
1985,606281,4.2306785137584715,3,0,10,0.0743681560200633,0.003015103557591282,0.11040260209374861
1986,779562,6.861912201980086,3,0,18,0.06421554667877603,0.016016686293072263,0.1033439290268125
1987,600429,4.154153113856926,3,0,10,0.06413914051453211,0.0023966197502119316,0.10772963997408519
1988,467281,4.345721311159666,3,0,10,0.06579338770461457,0.002634389157701683,0.11632615064597106
1989,511159,4.492797740037836,3,0,10,0.06822143403520235,0.0029990668265647284,0.11232512779780851
1990,470967,4.6420279977153385,3,0,10,0.06589209010397756,0.003454594483265282,0.11260873904116424
1991,518175,4.92516041877744,3,0,10,0.06029816181791866,0.004044965503932069,0.11472186037535581
1992,416484,5.078644077563604,3,0,11,0.05540909134564593,0.004441947349718116,0.11792289739821937
1993,364164,5.288279456508606,3,0,11,0.0437412814006876,0.005579903559934535,0.11906723344427236
1994,293990,5.235586244430083,3,0,11,0.041467396850233,0.004357291064321916,0.11139154393006565
1995,201996,5.584556129824353,3,0,12,0.024059882373908395,0.005846650428721361,0.11860135844274144
1996,126459,5.789156959963308,4,1,12,0.027447631248072497,0.005393052293628765,0.1153733621173661
1997,188328,10.13627288560384,10,2,17,0.009425045665009983,0.0071099358565906295,0.09650184783993883
1998,32624,6.81436978911231,5,1,15,6.130456105934282e-5,0.008000245218244238,0.10918342324668956
1999,379,19.9155672823219,19,0,35,0,0.07651715039577836,0.04221635883905013
