match_stage,ref_source,n,share
fuzzy_district_lgd,lgd2024,34904,0.9735579605042954
fuzzy_tehsil_lgd,lgd2024,232,0.006471047640299007
t13n_exact_lgd,lgd2024,716,0.019970991855405556
