district_std,n_parts,n_electors,n_matched,share_parts_matched,electors_matched,share_electors_matched,share_rural_electors_matched
h beekaaner,237,214252,236,0.9957805907172996,NA,NA,NA
h dhoulapur,260,211241,236,0.9076923076923077,NA,NA,NA
h dousaa,425,351850,304,0.7152941176470589,NA,NA,NA
h jaalour,286,271681,144,0.5034965034965035,NA,NA,NA
h jaisalamer,179,105051,153,0.8547486033519553,NA,NA,NA
h jayapur,55,46124,49,0.8909090909090909,NA,NA,NA
h karoulee,321,288162,204,0.6355140186915887,NA,NA,NA
h paalee,109,89056,77,0.7064220183486238,NA,NA,NA
h savaaeemaadhoopur,9,8913,9,1,NA,NA,NA
h seekar,550,518596,317,0.5763636363636364,NA,NA,NA
h toumk,127,106151,99,0.7795275590551181,NA,NA,NA
hai ajamer,1,845,0,0,0,0,0
hai bharathapur,4,3592,3,0.75,NA,NA,NA
hai chiththoudagadh,3,1410,3,1,NA,NA,NA
hai jayapur,2,1691,2,1,NA,NA,NA
hai jhhaalaavaad,7,6210,7,1,NA,NA,NA
hai savaaeemaadhoopur,8,6597,6,0.75,NA,NA,NA
hanumaanagadh,1059,1047216,629,0.5939565627950897,NA,NA,NA
he ajamer,1,1222,1,1,1222,1,1
he alavar,7,5018,6,0.8571428571428571,NA,NA,NA
he bheelavaadaa,13,10710,12,0.9230769230769231,NA,NA,NA
he jayapur,8,7240,8,1,NA,NA,NA
he kootaa,3,2310,3,1,NA,NA,NA
hi ajamer,8,4404,3,0.375,NA,NA,NA
hi alavar,186,155841,156,0.8387096774193549,NA,NA,NA
hi bharathapur,292,262971,198,0.678082191780822,NA,NA,NA
hi chooru,76,66547,69,0.9078947368421053,NA,NA,NA
hi hanumaanagadh,11,10644,7,0.6363636363636364,NA,NA,NA
hi jayapur,1445,1553799,1350,0.9342560553633218,NA,NA,NA
hi joodhapur,198,165030,166,0.8383838383838383,NA,NA,NA
hi kootaa,106,80099,94,0.8867924528301887,NA,NA,NA
hi qe,26,21238,21,0.8076923076923077,NA,NA,NA
hi savaaeemaadhoopur,1,1073,1,1,1073,1,1
hi suajhhun,432,371563,0,0,0,0,NA
hu seekar,2,1701,2,1,NA,NA,NA
jaalour,1001,942689,522,0.5214785214785215,NA,NA,NA
jaisalamer,427,290925,366,0.8571428571428571,NA,NA,NA
jayapur,2991,2799922,2310,0.7723169508525577,NA,NA,NA
jhhaalaavaad,653,562393,553,0.8468606431852986,NA,NA,NA
joodhapur,2119,2000332,1761,0.8310523831996225,NA,NA,NA
karoulee,687,635888,448,0.6521106259097526,NA,NA,NA
kootaa,1272,1211060,1133,0.8907232704402516,NA,NA,NA
naagour,2481,2291386,1381,0.5566303909713826,NA,NA,NA
paalee,1370,1246669,946,0.6905109489051094,NA,NA,NA
prathaapagadh,417,343157,314,0.7529976019184652,NA,NA,NA
qe,1261,1134992,900,0.7137192704203014,NA,NA,NA
raajasamand,954,802351,674,0.7064989517819706,NA,NA,NA
sajhhuajhhunoo,4,2725,4,1,NA,NA,NA
savaaeemaadhoopur,802,752999,474,0.5910224438902744,NA,NA,NA
seekar,1366,1264436,795,0.58199121522694,NA,NA,NA
siroohee,702,693664,604,0.8603988603988604,NA,NA,NA
suajhhun,408,373427,0,0,0,0,NA
suajhhunoo,884,815692,0,0,0,0,NA
toumk,804,676325,556,0.6915422885572139,NA,NA,NA
udayapur,2362,2054674,1624,0.6875529212531752,NA,NA,NA
४alavar,6,4655,5,0.8333333333333334,NA,NA,NA
४baadamer,25,21525,20,0.8,NA,NA,NA
४baaraa,6,4910,5,0.8333333333333334,NA,NA,NA
४beekaaner,7,5750,7,1,NA,NA,NA
४bharathapur,26,28019,3,0.11538461538461539,NA,NA,NA
४chooru,2,2277,2,1,NA,NA,NA
४dhoulapur,6,4776,5,0.8333333333333334,NA,NA,NA
४jaalour,7,5751,6,0.8571428571428571,NA,NA,NA
४jayapur,5,4416,5,1,NA,NA,NA
४naagour,1,712,0,0,0,0,0
४paalee,37,31968,32,0.8648648648648649,NA,NA,NA
४seekar,6,5531,1,0.16666666666666666,NA,NA,NA
४toumk,24,26372,23,0.9583333333333334,NA,NA,NA
