district_std,n_parts,n_electors,n_matched,share_parts_matched,electors_matched,share_electors_matched,share_rural_electors_matched
8ajamer,5,4692,3,0.6,NA,NA,NA
8alavar,193,163740,161,0.8341968911917098,NA,NA,NA
8baadamer,99,93819,91,0.9191919191919192,NA,NA,NA
8baaraa,29,19210,26,0.896551724137931,NA,NA,NA
8beekaaner,18,14704,18,1,NA,NA,NA
8bharathapur,23,21268,18,0.782608695652174,NA,NA,NA
8chooru,28,32013,10,0.35714285714285715,NA,NA,NA
8dhoulapur,11,8003,11,1,NA,NA,NA
8dousaa,13,11847,11,0.8461538461538461,NA,NA,NA
8gamgaanagar,152,142867,43,0.28289473684210525,NA,NA,NA
8jaalour,28,24965,4,0.14285714285714285,NA,NA,NA
8jaisalamer,2,879,1,0.5,NA,NA,NA
8jayapur,25,22326,23,0.92,NA,NA,NA
8karoulee,20,17737,14,0.7,NA,NA,NA
8paalee,188,170801,128,0.6808510638297872,NA,NA,NA
8savaaeemaadhoopur,121,107346,89,0.7355371900826446,NA,NA,NA
8seekar,17,17228,15,0.8823529411764706,NA,NA,NA
8suajhhun,6,5712,0,0,0,0,NA
8toumk,110,108507,8,0.07272727272727272,NA,NA,NA
a savaaeemaadhoopur,1,540,1,1,540,1,1
aad,15,11852,3,0.2,NA,NA,NA
ajamer,1884,1767395,793,0.42091295116772826,NA,NA,NA
alavar,2268,2018195,1796,0.7918871252204586,NA,NA,NA
amet,4,2416,1,0.25,NA,NA,NA
baadamer,1688,1215486,1188,0.7037914691943128,NA,NA,NA
baamsavaadaa,1274,1108562,1118,0.8775510204081632,NA,NA,NA
baaraa,662,550378,581,0.877643504531722,NA,NA,NA
beekaaner,1153,1125826,809,0.7016478751084129,NA,NA,NA
bharathapur,1363,1307469,976,0.7160674981658107,NA,NA,NA
bheelavaadaa,1582,1371410,996,0.629582806573957,NA,NA,NA
booadee,876,750354,705,0.8047945205479452,NA,NA,NA
chiththoudagadh,312,246716,240,0.7692307692307693,NA,NA,NA
chooru,126,122037,66,0.5238095238095238,NA,NA,NA
dhoulapur,645,528867,553,0.8573643410852713,NA,NA,NA
doomgarapur,1003,882051,891,0.8883349950149552,NA,NA,NA
dousaa,791,687174,530,0.6700379266750948,NA,NA,NA
ee jhhaalaavaad,10,8031,10,1,NA,NA,NA
gamgaanagar,1243,1061991,382,0.3073209975864843,NA,NA,NA
h alavar,3,2566,3,1,NA,NA,NA
h aret,8,6032,4,0.5,NA,NA,NA
h baadamer,285,203994,224,0.7859649122807018,NA,NA,NA
h baaraa,318,255634,266,0.8364779874213837,NA,NA,NA
