sex_std,age,relation_type,n
f,24,husband,443386
m,26,father,563264
m,36,father,587841
m,56,father,410800
m,64,father,207696
f,43,husband,252762
f,41,husband,316134
f,28,husband,442955
f,60,husband,197633
f,48,husband,382336
m,52,father,363393
m,37,father,488699
f,77,husband,82395
f,44,husband,333539
f,25,father,132530
f,37,husband,372846
f,46,husband,418773
f,49,husband,326391
m,63,father,217826
m,92,father,8616
f,91,husband,32744
f,51,father,4570
m,22,other,336
m,83,father,39600
m,88,father,21554
m,79,father,51985
f,98,husband,5619
f,90,husband,18058
m,71,NA,155
m,47,NA,448
f,59,father,2152
f,84,father,325
f,61,father,2555
f,99,husband,2979
f,86,father,385
f,28,other,357
f,53,father,3053
f,56,NA,284
f,75,father,705
f,24,other,717
m,39,NA,406
m,45,NA,506
f,95,NA,3
m,59,NA,252
m,48,NA,430
f,43,other,53
f,42,NA,276
m,85,NA,30
f,80,NA,35
f,41,other,65
f,89,father,128
f,52,NA,284
m,38,other,83
f,37,other,89
m,68,NA,174
m,80,NA,46
m,22,husband,351
f,48,other,42
f,46,other,49
m,76,husband,5
f,77,other,6
f,44,other,55
m,38,husband,43
f,49,other,49
f,82,NA,53
m,97,NA,4
f,60,other,32
m,76,other,11
m,82,other,11
m,82,husband,5
f,91,other,3
f,98,other,1
f,99,other,1
m,94,husband,1
f,27,husband,418858
f,54,husband,355733
f,23,husband,383838
m,74,father,101168
f,45,husband,317960
m,51,father,458584
f,40,husband,270781
f,34,husband,518860
m,19,father,520672
m,35,father,633709
f,29,husband,461061
f,33,husband,363189
m,27,NA,861
m,77,father,74275
f,47,husband,262090
f,57,husband,249298
m,66,father,257828
f,71,husband,188136
f,65,husband,155038
m,70,father,114995
m,67,father,157452
f,19,father,225011
f,38,father,13645
m,44,NA,453
m,89,father,12281
f,50,father,4065
f,33,other,154
m,90,father,9985
f,65,other,16
f,72,father,894
f,55,father,2661
m,34,NA,849
f,68,father,1333
f,73,father,833
m,41,NA,395
f,78,father,562
m,31,husband,123
f,22,NA,752
f,74,father,795
f,32,NA,672
f,23,other,1051
m,23,other,332
f,64,father,1842
f,21,NA,590
f,35,NA,634
m,99,father,1152
m,40,husband,42
f,62,NA,198
f,81,NA,58
f,79,father,436
f,87,father,221
m,40,other,74
m,49,other,49
f,27,other,399
f,85,father,231
f,29,other,263
m,29,NA,943
f,20,NA,891
m,60,NA,215
m,57,NA,286
m,53,NA,324
m,69,NA,120
m,31,other,148
f,83,father,299
m,46,other,42
f,40,other,71
f,34,other,136
f,66,NA,161
m,23,husband,374
f,47,other,33
f,45,other,49
m,81,NA,61
m,65,other,31
f,71,other,12
m,55,other,40
m,58,other,29
m,93,NA,7
m,46,husband,48
f,18,father,52
m,54,other,41
m,58,husband,36
m,54,husband,36
f,96,NA,9
f,92,NA,18
f,54,other,34
f,57,other,36
m,62,other,35
m,18,father,184
m,55,husband,28
m,62,husband,20
m,49,husband,40
m,65,husband,14
m,91,NA,20
m,78,other,6
m,78,husband,6
m,87,other,2
m,87,husband,3
m,60,father,225605
f,31,husband,388735
f,58,husband,293021
m,27,father,598241
m,29,father,588288
m,34,father,701777
m,57,father,269745
m,44,father,476919
f,30,husband,410946
m,41,father,353257
f,70,husband,118443
m,53,father,347095
f,67,husband,148043
f,22,father,165122
m,69,father,122963
f,76,husband,151208
f,63,husband,190720
f,21,father,122630
f,20,father,181172
f,32,father,36770
m,81,father,71026
m,91,father,16378
f,38,NA,399
f,35,father,26612
m,43,other,66
f,88,husband,36435
m,93,father,6553
f,97,husband,6275
m,20,husband,342
f,62,father,1977
f,66,father,2043
f,81,father,501
m,43,husband,50
f,78,NA,61
f,19,NA,694
m,19,NA,842
m,28,husband,215
m,20,other,729
m,28,other,158
f,96,father,82
m,51,NA,464
m,35,NA,729
f,64,NA,152
m,66,NA,197
f,74,NA,94
f,50,NA,286
f,30,other,210
f,55,NA,216
m,67,NA,180
m,70,NA,103
f,58,other,15
f,31,other,211
f,85,NA,33
m,77,NA,83
f,68,NA,131
f,73,NA,92
m,32,other,123
m,61,other,35
f,83,NA,36
f,79,NA,61
f,92,father,116
m,74,NA,103
m,61,husband,31
m,50,other,48
m,30,other,128
f,72,NA,120
m,32,husband,122
f,67,other,15
m,89,NA,8
f,63,other,29
m,30,husband,162
f,87,NA,25
f,70,other,7
m,90,NA,7
f,76,other,10
m,50,husband,45
m,75,other,7
m,75,husband,3
m,99,NA,1
m,96,other,1
f,88,other,2
m,96,husband,1
m,47,father,406056
f,26,husband,390748
m,71,father,179801
m,48,father,457310
f,36,husband,395535
m,39,father,329828
m,45,father,445258
m,80,father,46435
f,39,husband,300844
m,59,father,240723
f,69,husband,126828
m,68,father,174988
f,93,husband,14515
m,85,father,26147
f,56,father,3449
f,94,husband,11670
f,80,father,396
f,42,father,8211
f,36,other,82
f,52,father,3764
f,61,NA,209
m,97,father,2725
m,26,NA,723
f,82,father,396
f,26,other,493
f,39,other,68
f,59,NA,180
m,36,NA,731
f,25,NA,1171
m,24,husband,351
f,95,father,71
m,37,NA,578
m,42,other,60
m,21,other,391
m,24,other,215
m,64,NA,191
m,63,NA,231
m,83,NA,43
m,56,NA,380
m,52,NA,424
m,79,NA,55
m,88,NA,26
m,86,other,4
