source_file,fn,identical
scripts/00_utils.R,make_match_key,TRUE
scripts/00_utils.R,normalize_string,TRUE
scripts/00_utils.R,normalize_string_strict,TRUE
scripts/00_utils.R,fuzzy_match_within_block,TRUE
scripts/00_utils.R,run_t_tests,TRUE
scripts/00_utils.R,convert_sci_to_decimal,TRUE
scripts/00_utils.R,aggressive_round,TRUE
scripts/00_utils.R,format_coef_stars,TRUE
scripts/00_utils.R,format_se_parens,TRUE
scripts/00_utils.R,format_n_comma,TRUE
scripts/05b_short_term_random_rotation.R,compute_district_chisq,TRUE
