district_std,n_parts_bridged,n_parts_with_treatment,share_parts_with_treatment,electors_bridged,electors_with_treatment
8ajamer,3,0,0,2634,0
8alavar,161,88,0.546583850931677,136452,71432
8baadamer,91,13,0.14285714285714285,87712,9712
8baaraa,26,18,0.6923076923076923,17229,11842
8beekaaner,18,6,0.3333333333333333,14704,5872
8bharathapur,18,12,0.6666666666666666,17992,11548
8chooru,10,7,0.7,11222,7778
8dhoulapur,11,5,0.45454545454545453,8003,4315
8dousaa,11,6,0.5454545454545454,9881,6307
8gamgaanagar,43,29,0.6744186046511628,37695,27620
8jaalour,4,2,0.5,2793,1452
8jaisalamer,1,0,0,485,0
8jayapur,23,8,0.34782608695652173,21033,6159
8karoulee,14,4,0.2857142857142857,12462,3582
8paalee,128,112,0.875,118098,105733
8savaaeemaadhoopur,89,50,0.5617977528089888,78830,42775
8seekar,15,7,0.4666666666666667,15168,7017
8toumk,8,5,0.625,7036,4362
a savaaeemaadhoopur,1,0,0,540,0
aad,3,3,1,2291,2291
ajamer,793,457,0.5762925598991173,688895,390215
alavar,1796,1144,0.6369710467706013,1596171,1046416
amet,1,0,0,518,0
baadamer,1188,308,0.25925925925925924,842937,222281
baamsavaadaa,1118,449,0.4016100178890877,956160,387833
baaraa,581,472,0.8123924268502581,484739,399868
beekaaner,809,319,0.3943139678615575,744774,307471
bharathapur,976,523,0.5358606557377049,926716,478788
bheelavaadaa,996,669,0.6716867469879518,822026,555741
booadee,705,530,0.75177304964539,576520,435922
chiththoudagadh,240,186,0.775,183899,142928
chooru,66,51,0.7727272727272727,54336,41825
dhoulapur,553,260,0.4701627486437613,441042,208095
doomgarapur,891,315,0.35353535353535354,776969,280323
dousaa,530,236,0.44528301886792454,436551,195840
ee jhhaalaavaad,10,7,0.7,8031,5863
gamgaanagar,382,170,0.44502617801047123,313235,144794
h alavar,3,0,0,2566,0
h aret,4,2,0.5,2997,1121
h baadamer,224,49,0.21875,160474,39141
h baaraa,266,195,0.7330827067669173,208742,151225
h beekaaner,236,102,0.4322033898305085,214061,100948
h dhoulapur,236,141,0.597457627118644,191556,121207
h dousaa,304,124,0.40789473684210525,243208,98452
h jaalour,144,98,0.6805555555555556,139715,98793
h jaisalamer,153,27,0.17647058823529413,91357,15911
h jayapur,49,22,0.4489795918367347,41395,19789
h karoulee,204,72,0.35294117647058826,182096,64814
h paalee,77,61,0.7922077922077922,61066,50173
h savaaeemaadhoopur,9,0,0,8913,0
h seekar,317,185,0.583596214511041,286790,165808
h toumk,99,60,0.6060606060606061,81620,47822
hai bharathapur,3,1,0.3333333333333333,2522,1174
hai chiththoudagadh,3,0,0,1410,0
hai jayapur,2,0,0,1691,0
hai jhhaalaavaad,7,4,0.5714285714285714,6210,3147
hai savaaeemaadhoopur,6,4,0.6666666666666666,5147,3449
hanumaanagadh,629,239,0.3799682034976153,601524,230983
he ajamer,1,1,1,1222,1222
he alavar,6,2,0.3333333333333333,4503,1210
he bheelavaadaa,12,9,0.75,10266,7486
he jayapur,8,0,0,7240,0
he kootaa,3,3,1,2310,2310
hi ajamer,3,3,1,1512,1512
hi alavar,156,89,0.5705128205128205,128623,73344
hi bharathapur,198,148,0.7474747474747475,176264,130358
hi chooru,69,35,0.5072463768115942,60428,27841
hi hanumaanagadh,7,5,0.7142857142857143,7208,5264
hi jayapur,1350,114,0.08444444444444445,1465326,120526
hi joodhapur,166,51,0.3072289156626506,137720,42563
hi kootaa,94,88,0.9361702127659575,68749,64710
hi qe,21,15,0.7142857142857143,16748,11322
hi savaaeemaadhoopur,1,1,1,1073,1073
hu seekar,2,1,0.5,1701,1161
jaalour,522,259,0.49616858237547895,495208,249362
jaisalamer,366,128,0.34972677595628415,253348,87984
jayapur,2310,1088,0.470995670995671,2187461,1051670
jhhaalaavaad,553,327,0.5913200723327305,447687,265458
joodhapur,1761,553,0.3140261215218626,1681421,506109
karoulee,448,214,0.47767857142857145,413372,194211
kootaa,1133,1028,0.9073256840247131,1086411,1000883
naagour,1381,815,0.5901520637219406,1226411,731757
paalee,946,825,0.872093023255814,851104,750544
prathaapagadh,314,0,0,256113,0
qe,900,549,0.61,766207,470613
raajasamand,674,461,0.6839762611275965,557899,380765
sajhhuajhhunoo,4,4,1,2725,2725
savaaeemaadhoopur,474,301,0.6350210970464135,424676,274459
seekar,795,386,0.48553459119496856,722865,344660
siroohee,604,506,0.8377483443708609,573308,482108
toumk,556,393,0.7068345323741008,458423,326028
udayapur,1624,636,0.3916256157635468,1374637,538498
४alavar,5,3,0.6,3600,2423
४baadamer,20,1,0.05,16621,900
४baaraa,5,5,1,4304,4304
४beekaaner,7,4,0.5714285714285714,5750,3994
४bharathapur,3,1,0.3333333333333333,2055,509
४chooru,2,0,0,2277,0
४dhoulapur,5,2,0.4,3971,1410
४jaalour,6,5,0.8333333333333334,4915,4471
४jayapur,5,0,0,4416,0
४paalee,32,31,0.96875,27920,27243
४seekar,1,1,1,1130,1130
४toumk,23,4,0.17391304347826086,25701,4416
