repo,rel_path,md5,bytes,source_mtime,repo_head,copied_this_run
quota_raj,data/raj/shrug_gp_raj_05_10_block.parquet,2ec8d3119c9f245bd6730e12c70f94d4,2114308,2026-03-26 18:06:53.323355,c6900d1105170a1eece153ebbc7ca610250ba54d,TRUE
quota_raj,data/up/shrug_gp_up_05_10_block.parquet,8f4b418fd94df34375c1bcee2f166742,12747388,2026-03-26 18:07:39.92334,c6900d1105170a1eece153ebbc7ca610250ba54d,TRUE
quota_raj,data/raj/shrug_gp_raj_05_20_block.parquet,15ad0a8a1c96ec2470b0793573dc8a34,2240870,2026-03-26 18:06:53.648884,c6900d1105170a1eece153ebbc7ca610250ba54d,FALSE
quota_raj,data/raj/raj_05_20.parquet,1cf1385e8b59f49ccd0ba207cbcebb99,925856,2026-03-26 18:06:15.592458,c6900d1105170a1eece153ebbc7ca610250ba54d,FALSE
quota_raj,data/raj/raj_05_10.parquet,771056072d108335b12ee8f7f0e8be4f,640262,2026-03-26 18:06:15.107927,c6900d1105170a1eece153ebbc7ca610250ba54d,FALSE
quota_raj,data/raj/raj_10_15.parquet,d189f4d99d00376e77c0abf931abcf69,638224,2026-03-26 18:06:15.329196,c6900d1105170a1eece153ebbc7ca610250ba54d,FALSE
quota_raj,data/up/up_05_21.parquet,b83a6d2be17fd35ee8976472570341ad,10580873,2026-03-26 18:06:34.68292,c6900d1105170a1eece153ebbc7ca610250ba54d,FALSE
quota_raj,data/up/shrug_gp_up_05_21_block.parquet,580846d29bece1c71713b8020c1e4f8c,13092588,2026-03-26 18:07:41.709883,c6900d1105170a1eece153ebbc7ca610250ba54d,FALSE
quota_raj,data/lgd/raj_village_gp_mapping_2024.csv,c0981d5418ab6f0332ecf512509efa00,4456693,2024-06-09 22:39:11.186986,c6900d1105170a1eece153ebbc7ca610250ba54d,FALSE
quota_raj,data/lgd/up_village_gp_mapping_2024.csv,f8b17f1d7346a4f3f34ab270ca359ba3,10847924,2024-06-12 15:49:42.883581,c6900d1105170a1eece153ebbc7ca610250ba54d,FALSE
quota_raj,data/lgd/processed/lgd_raj_block_gp.csv,65e88e354ca5da3b525ea3aecc174d16,456587,2026-03-24 18:22:56.279217,c6900d1105170a1eece153ebbc7ca610250ba54d,FALSE
quota_raj,data/lgd/processed/lgd_up_block_gp.csv,0242e7bd695ba450b8de84a68b59798d,2566849,2026-03-26 17:00:10.445171,c6900d1105170a1eece153ebbc7ca610250ba54d,FALSE
quota_raj,data/crosswalks/active/raj_district_xwalk.csv,5ea53954d119b24bc204f0a56fe83a87,1879,2026-03-26 15:29:48.546632,c6900d1105170a1eece153ebbc7ca610250ba54d,FALSE
delim_raj,data/gp_2014_delim_processed.csv,fc4c29bb8a78e6a3432699f6eb5e8359,1529972,2023-10-13 16:08:53.777565,e15be5e588b1cb357adbeabbf0bf78162918a1a1,FALSE
delim_raj,data/gp_2019_delim_processed.csv,46c58eff66bf938a1a72be2c9a6d25bc,3802043,2023-08-07 14:43:00.124838,e15be5e588b1cb357adbeabbf0bf78162918a1a1,FALSE
