roll_district,ref_district,note
qe,churu,parser garbled the Churu district header; AC names 19-24 (churu/ratangarh/sardarshahar) identify it
sumjhunu,jhunjhunun,OCR of झुंझुनूं
sumjhun,jhunjhunun,OCR of झुंझुनूं
